key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
f minor	[0.348, 0.109, 0.0, 0.0, 0.065, 0.217, 0.0, 0.065, 0.13, 0.022, 0.043, 0.0]	0.0	16.0	16.0	0	4	4
A- major	[0.115, 0.173, 0.0, 0.231, 0.038, 0.0, 0.0, 0.058, 0.154, 0.0, 0.231, 0.0]	16.0	24.0	1.0	4	6	2
f minor	[0.4, 0.067, 0.0, 0.0, 0.085, 0.158, 0.0, 0.085, 0.133, 0.012, 0.036, 0.024]	24.0	48.0	1.0	6	12	6
A- major	[0.156, 0.089, 0.0, 0.36, 0.009, 0.004, 0.0, 0.084, 0.182, 0.0, 0.116, 0.0]	48.0	77.0	1.0	12	20	8
f minor	[0.34, 0.16, 0.06, 0.0, 0.08, 0.12, 0.0, 0.12, 0.06, 0.0, 0.0, 0.06]	77.0	97.0	2.0	20	25	5
a- minor	[0.021, 0.0, 0.063, 0.411, 0.105, 0.021, 0.0, 0.084, 0.084, 0.021, 0.105, 0.084]	97.0	117.0	2.0	25	30	5
A- major	[0.169, 0.044, 0.0, 0.388, 0.0, 0.013, 0.062, 0.087, 0.087, 0.05, 0.075, 0.025]	117.0	137.0	1.0	30	35	5
G- major	[0.0, 0.432, 0.0, 0.023, 0.0, 0.102, 0.136, 0.0, 0.057, 0.0, 0.17, 0.08]	137.0	148.0	4.0	35	37	2
f minor	[0.287, 0.062, 0.0, 0.1, 0.025, 0.15, 0.1, 0.025, 0.087, 0.1, 0.037, 0.025]	148.0	157.0	1.0	37	40	3
A- major	[0.169, 0.044, 0.0, 0.388, 0.0, 0.013, 0.062, 0.087, 0.087, 0.05, 0.075, 0.025]	157.0	177.0	1.0	40	45	5
G- major	[0.0, 0.432, 0.0, 0.023, 0.0, 0.102, 0.136, 0.0, 0.057, 0.0, 0.17, 0.08]	177.0	188.0	4.0	45	47	2
f minor	[0.301, 0.096, 0.0, 0.0, 0.082, 0.26, 0.0, 0.068, 0.116, 0.014, 0.048, 0.014]	188.0	208.0	1.0	47	52	5
A- major	[0.125, 0.188, 0.0, 0.25, 0.042, 0.0, 0.0, 0.062, 0.167, 0.0, 0.167, 0.0]	208.0	215.0	1.0	52	54	2
f minor	[0.481, 0.0, 0.0, 0.0, 0.037, 0.296, 0.0, 0.037, 0.148, 0.0, 0.0, 0.0]	215.0	221.0	2.0	54	55	1
