COMPOSER	COLLECTION	MOVEMENT	SCORE	URL
Brahms, Johannes	6 Songs, Op.3	3 Liebe und Frühling II	YES	https://musescore.com/score/5004701
Brahms, Johannes	7 Lieder, Op.48	3 Liebesklage des Mädchens	YES	https://musescore.com/score/4946239
Chaminade, Cécile	 	Amoroso	YES	https://musescore.com/score/4999292
Chausson, Ernest	7 Mélodies, Op.2	7 Le Colibri	YES	https://musescore.com/score/5077780
Coleridge-Taylor, Samuel	 	Oh, the Summer	YES	https://musescore.com/score/6232117
Franz, Robert	6 Gesänge, Op.14	5 Liebesfrühling	YES	https://musescore.com/score/4976682
Hensel, Fanny (Mendelssohn)	3 Lieder	1 Sehnsucht	YES	https://musescore.com/score/6012947
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	1 Nach Süden	YES	https://musescore.com/score/5000467
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	2 Vorwurf	YES	https://musescore.com/score/5000464
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	3 Abendbild	YES	https://musescore.com/score/4919798
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	4 Im Herbste	YES	https://musescore.com/score/5000459
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	5 Bergeslust	YES	https://musescore.com/score/5000446
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	1 Schwanenlied	YES	https://musescore.com/score/5100543
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	2 Wanderlied	YES	https://musescore.com/score/5004632
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	3 Warum sind denn die Rosen so blass	YES	https://musescore.com/score/5004640
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	4 Mayenlied	YES	https://musescore.com/score/5101299
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	5 Morgenständchen	YES	https://musescore.com/score/5004650
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	6 Gondellied	YES	https://musescore.com/score/5101361
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	1 Die Ersehnte	YES	https://musescore.com/score/4986023
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	2 Ferne	YES	https://musescore.com/score/5103883
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	3 Der Rosenkranz	YES	https://musescore.com/score/5108166
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	4 Die frühen Gräber	YES	https://musescore.com/score/4986026
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	5 Der Maiabend	YES	https://musescore.com/score/5103913
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	6 Die Mainacht	YES	https://musescore.com/score/4986030
Holmès, Augusta Mary Anne	Les Heures	4 L’Heure d’Azur	YES	https://musescore.com/score/5001674
Jaëll, Marie	4 Mélodies	1 À toi	YES	https://musescore.com/score/5834392
Lang, Josephine	6 Lieder, Op.25	4 Lied (Immer sich rein kindlich erfreu’n)	YES	https://musescore.com/score/4920211
Mahler, Gustav	Kindertotenlieder	2 Nun seh’ ich wohl, warum so dunkle Flammen	YES	https://musescore.com/score/5051724
Mahler, Gustav	Kindertotenlieder	4 Oft denk’ ich, sie sind nur ausgegangen	YES	https://musescore.com/score/5062118
Reichardt, Louise	Sechs Lieder von Novalis, Op.4	5 Noch ein Bergmannslied	YES	https://musescore.com/score/5092612
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	10 Ida (aus Ariels Offenbarungen)	YES	https://musescore.com/score/5002108
