COMPOSER	COLLECTION	MOVEMENT	SCORE
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	13	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	15	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	17	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	18	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	YES
