key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B major	[0.0, 0.64, 0.0, 0.8, 0.96, 0.0, 1.0, 0.0, 0.6, 0.0, 0.8, 0.88]	0.0	15.0	15.0	1	6	5
G major	[0.6, 0.3, 1.0, 0.0, 0.4, 0.0, 0.4, 0.0, 0.0, 0.5, 0.0, 0.1]	15.0	18.0	1.0	6	7	1
c# minor	[0.636, 0.0, 0.0, 1.0, 0.0, 0.0, 0.409, 0.0, 0.636, 0.182, 0.227, 0.0]	18.0	24.0	1.0	7	9	2
E- major	[0.964, 0.0, 0.607, 1.0, 0.0, 0.0, 0.0, 0.857, 0.714, 0.0, 0.893, 0.0]	24.0	30.0	1.0	9	11	2
C# major	[0.586, 0.966, 0.0, 0.0, 0.0, 0.828, 0.69, 0.0, 1.0, 0.0, 0.931, 0.0]	30.0	36.0	1.0	11	13	2
B major	[0.0, 0.0, 0.0, 0.755, 0.0, 0.0, 1.0, 0.0, 0.49, 0.0, 0.041, 0.714]	36.0	48.0	1.0	13	17	4
G major	[0.789, 0.0, 0.868, 0.0, 0.895, 0.0, 0.684, 1.0, 0.0, 0.237, 0.0, 0.658]	48.0	57.0	1.0	17	20	3
B major	[0.0, 0.308, 0.0, 0.692, 0.513, 0.103, 1.0, 0.051, 0.359, 0.0, 0.513, 0.615]	57.0	72.0	1.0	20	25	5
E major	[0.0, 0.232, 0.0, 1.0, 0.2, 0.0, 0.25, 0.249, 0.35, 0.501, 0.297, 0.968]	72.0	79.0	1.0	25	27	2
B major	[0.0, 0.334, 0.0, 0.993, 0.638, 0.0, 0.989, 0.0, 0.521, 0.0, 0.606, 1.0]	79.0	101.0	2.0	27	35	8
E major	[0.0, 0.133, 0.0, 1.0, 0.2, 0.0, 0.351, 0.249, 0.351, 0.501, 0.099, 0.969]	101.0	108.0	1.0	35	37	2
B major	[0.0, 0.105, 0.0, 0.476, 0.743, 0.0, 0.957, 0.0, 0.671, 0.0, 0.529, 1.0]	108.0	121.0	2.0	37	42	5
G# major	[0.0, 0.857, 0.0, 1.0, 0.0, 0.036, 0.0, 0.464, 0.0, 0.0, 0.0, 0.0]	121.0	124.0	1.0	42	43	1
f# minor	[0.258, 0.194, 0.065, 0.065, 0.0, 0.129, 0.258, 0.0, 1.0, 0.29, 0.0, 0.516]	124.0	131.0	3.0	43	45	2
B major	[0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 1.0, 0.1, 0.1, 0.0, 0.0, 0.7]	131.0	134.0	1.0	45	46	1
G major	[0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5]	134.0	139.0	1.0	46	48	2
B major	[0.0, 0.562, 0.0, 0.844, 0.594, 0.188, 1.0, 0.0, 0.812, 0.0, 0.875, 0.875]	139.0	157.0	3.0	48	54	6
E major	[0.0, 0.111, 0.0, 0.889, 0.556, 0.0, 0.389, 0.5, 0.167, 0.556, 0.0, 1.0]	157.0	163.0	1.0	54	56	2
g# minor	[0.0, 0.9, 0.0, 1.0, 0.3, 0.0, 0.0, 0.8, 0.0, 0.0, 0.6, 0.0]	163.0	166.0	1.0	56	57	1
B major	[0.0, 0.125, 0.0, 0.592, 0.169, 0.0, 0.649, 0.056, 0.339, 0.056, 0.169, 1.0]	166.0	194.0	1.0	57	67	10
C major	[0.0, 0.0, 0.808, 0.0, 0.0, 0.923, 0.0, 0.808, 0.077, 0.346, 0.0, 1.0]	194.0	200.0	1.0	67	69	2
B major	[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5]	200.0	212.0	3.0	69	72	3
