key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
A- major	[0.299, 0.287, 0.038, 1.0, 0.0, 0.191, 0.089, 0.274, 0.42, 0.025, 0.522, 0.038]	0.0	20.0	20.0	1	7	6
b- minor	[0.188, 0.968, 0.0, 0.094, 0.0, 0.594, 0.0, 0.0, 0.0, 0.094, 1.0, 0.0]	20.0	23.5	0.5	7	8	1
A- major	[0.383, 0.414, 0.07, 1.0, 0.0, 0.25, 0.156, 0.297, 0.671, 0.078, 0.719, 0.055]	23.5	44.0	0.5	8	15	7
b- minor	[0.172, 0.885, 0.0, 0.086, 0.0, 1.0, 0.0, 0.0, 0.0, 0.086, 0.6, 0.0]	44.0	47.5	0.5	15	16	1
A- major	[0.315, 0.478, 0.044, 1.0, 0.079, 0.123, 0.049, 0.355, 0.512, 0.049, 0.458, 0.034]	47.5	75.0	0.5	16	26	10
G- major	[0.0, 1.0, 0.0, 0.523, 0.0, 0.143, 0.619, 0.0, 0.762, 0.0, 0.738, 0.0]	75.0	81.0	2.0	26	28	2
F- major	[0.0, 0.523, 0.0, 0.143, 0.619, 0.0, 0.762, 0.0, 0.738, 0.0, 0.0, 1.0]	81.0	87.0	2.0	28	30	2
C- major	[0.0, 0.548, 0.0, 0.695, 0.253, 0.0, 1.0, 0.0, 0.063, 0.0, 0.2, 0.484]	87.0	98.5	2.0	30	33	3
A- major	[0.142, 0.406, 0.019, 1.0, 0.0, 0.116, 0.0, 0.264, 0.355, 0.0, 0.31, 0.084]	98.5	114.0	0.5	33	39	6
D- major	[0.217, 0.545, 0.0, 1.0, 0.0, 0.065, 0.565, 0.0, 0.674, 0.391, 0.0, 0.0]	114.0	120.0	3.0	39	41	2
f minor	[0.595, 0.687, 0.0, 0.0, 0.094, 1.0, 0.0, 0.751, 0.375, 0.0, 0.814, 0.0]	120.0	125.0	2.0	41	42	1
A- major	[0.103, 0.459, 0.0, 1.0, 0.016, 0.164, 0.0, 0.219, 0.284, 0.0, 0.301, 0.0]	125.0	141.0	1.0	42	47	5
