-1.5,0,0,,4,f,i,Exposition,First Subject Group,Theme a
12,3,3,,1,f,V6,,,
15,3,3,,3,f,viio43/V,,,
18,4,4,,1,f,V6,,,
22.5,4,4,,4,G-,I,Exposition,First Subject Group,Theme a
36,7,7,,1,G-,V6,,,
39,7,7,,3,G-,viio43/V,,,
42,8,8,,1,G-,V6,,,
48,9,9,,1,f,V6,Exposition,First Subject Group,Theme a'
51,9,9,,3,f,viio43/V,,,
54,10,10,,1,f,V6,,,
60,11,11,,1,f,viio65,,,
63,11,11,,3,f,iv42,,,
66,12,12,,1,f,viio65,,,
88.5,15,15,,4,f,VI6,,,
90,16,16,,1,f,V6,,,
94.5,16,16,,4,f,i,Exposition,Transition,Theme a''
114,20,20,,1,f,V6,,,
123,21,21,,3,f,viio43/V,,,
126,22,22,,1,f,V6,,,
135,23,23,,3,a-,V7,,,
138,24,24,,1,a-,V,Exposition,Transition,Theme b
144,25,25,,1,a-,i,,,
150,26,26,,1,a-,VI6,,,
156,27,27,,1,a-,V6,,,
160.5,27,27,,4,None,None,Exposition,Transition,Theme b'
168,29,29,,1,a-,i,,,
174,30,30,,1,a-,VI6,,,
180,31,31,,1,a-,V6,,,
183,31,31,,3,a-,viio42/ii,,,
186,32,32,,1,a-,viio6/V,,,
189,32,32,,3,a-,viio42,,,
192,33,33,,1,a-,V7,,,
204,35,35,,1,A-,I,,,
208.5,35,35,,4,None,None,Exposition,Second Subject Group,Theme c
213,36,36,,3,A-,V43,,,
216,37,37,,1,A-,I6,,,
220.5,37,37,,4,A-,IV,,,
222,38,38,,1,A-,I64,,,
225,38,38,,3,A-,V7,,,
228,39,39,,1,A-,I,,,
232.5,39,39,,4,None,None,Exposition,Second Subject Group,Theme c'
237,40,40,,3,A-,V43,,,
240,41,41,,1,A-,I6,,,
246,42,42,,1,a-,iv,,,
249,42,42,,3,a-,N6,,,
252,43,43,,1,a-,i64,,,
258,44,44,,1,a-,V7,,,
300,51,51,,1,a-,i,Exposition,Second Subject Group,Theme d
306,52,52,,1,a-,VI6,,,
312,53,53,,1,a-,bII,,,
