mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1	G.I{	G	I		I		I						{	M	0	0	0, 4, 1		0	0
3	3	0	0	3/8	2	1	I(6)	G	I		I(6)		I			6				M	0	0	0, 4, 3		0	0
3	3	1/4	1/4	3/8	2	1	I(+7)	G	I		I(+7)		I			+7				M	0	0	0, 4, 1	5	0	0
4	4	0	0	3/8	2	1	I(64)	G	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
4	4	1/4	1/4	3/8	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
7	7	0	0	3/8	2	1	I(64)	G	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
7	7	1/4	1/4	3/8	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
8	8	0	0	3/8	2	1	I(94)	G	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
8	8	1/4	1/4	3/8	2	1	I}	G	I		I		I						}	M	0	0	0, 4, 1		0	0
9	9	0	0	3/8	2	1	I6{	G	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
10	10	0	0	3/8	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	0	0	3/8	2	1	iii6	G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
12	12	0	0	3/8	2	1	IV6	G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
13	13	0	0	3/8	2	1	V6	G	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	13	1/4	1/4	3/8	2	1	V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	14	0	0	3/8	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
15	15	0	0	3/8	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	0	0	3/8	2	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	0	0	3/8	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	18	1/8	1/8	3/8	2	1	IV	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	0	0	3/8	2	1	V(9)	G	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
19	19	1/8	1/8	3/8	2	1	V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	0	0	3/8	2	1	vi(6)	G	I		vi(6)		vi			6				m	0	0	3, 0, -1		3	3
20	20	1/8	1/8	3/8	2	1	vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
21	21	0	0	3/8	2	1	ii6(2)	G	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
21	21	1/8	1/8	3/8	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
22	22	0	0	3/8	2	1	V(6v5)	G	I		V(6v5)		V			6v5				M	0	0	1, 5, 4		1	1
22	22	1/8	1/8	3/8	2	1	V(64)	G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
23	23	0	0	3/8	2	1	V(4)	G	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
