mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	F.I[I{		F	I	I	I		I						{	M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	3/4	2	1	viio6		F	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
3	3	1/2	1/2	3/4	2	1	V7/IV		F	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
4	4	0	0	3/4	2	1	IV		F	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	0	0	3/4	2	1	V43		F	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	3/4	2	1	I]		F	I	I	I		I							M	0	0	0, 4, 1		0	0
7	7	0	0	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
8	8	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	3/4	2	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	0	0	3/4	2	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	9	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	9	1/2	1/2	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
10	10	0	0	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	3/4	2	1	viio6		F	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
11	11	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	3/4	2	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	12	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	1/2	1/2	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
13	13	0	0	3/4	2	1	I}{		F	I		I		I						}{	M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
14	14	1/4	1/4	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
14	14	1/2	1/2	3/4	2	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
15	15	0	0	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	1/2	1/2	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
16	16	0	0	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
16	16	1/4	1/4	3/4	2	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
16	16	1/2	1/2	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	0	0	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
17	17	1/4	1/4	3/4	2	1	vi6		F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
17	17	1/2	1/2	3/4	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
18	18	0	0	3/4	2	1	viio43/V		F	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
18	18	1/4	1/4	3/4	2	1	V6		F	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	1/2	1/2	3/4	2	1	v6		F	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
19	19	0	0	3/4	2	1	viio43/IV		F	I		viio43/IV		vii	o	43		IV			o7	0	0	-2, -5, 4, 1		4	-2
19	19	1/4	1/4	3/4	2	1	IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
19	19	1/2	1/2	3/4	2	1	vi		F	I		vi		vi							m	0	0	3, 0, 4		3	3
20	20	0	0	3/4	2	1	#viio43/iii		F	I		#viio43/iii		#vii	o	43		iii			o7	0	0	3, 0, 9, 6		9	3
20	20	1/4	1/4	3/4	2	1	III6		F	I		III6		III		6					M	0	0	8, 5, 4		4	8
20	20	1/2	1/2	3/4	2	1	iii		F	I		iii		iii							m	0	0	4, 1, 5		4	4
21	21	0	0	3/4	2	1	#viio43/ii		F	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
21	21	1/4	1/4	3/4	2	1	II6		F	I		II6		II		6					M	0	0	6, 3, 2		2	6
21	21	1/2	1/2	3/4	2	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
22	22	0	0	3/4	2	1	viio43		F	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
22	22	1/4	1/4	3/4	2	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	0	0	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
26	26	0	0	3/4	2	1	V(64)}		F	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
26	26	1/4	1/4	3/4	2	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
27	27	0	0	3/4	2	1	V.I{		F	V		I		I						{	M	0	0	0, 4, 1		0	0
28	28	0	0	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
28	28	1/2	1/2	3/4	2	1	V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
29	29	0	0	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
29	29	1/2	1/2	3/4	2	1	V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
30	30	0	0	3/4	2	1	V(64)		F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
30	30	1/2	1/2	3/4	2	1	V		F	V		V		V							M	0	0	1, 5, 2		1	1
32	32	0	0	3/4	2	1	V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
32	32	1/2	1/2	3/4	2	1	I		F	V		I		I							M	0	0	0, 4, 1		0	0
33	33	0	0	3/4	2	1	V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
33	33	1/2	1/2	3/4	2	1	I		F	V		I		I							M	0	0	0, 4, 1		0	0
34	34	0	0	3/4	2	1	V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	1/2	1/2	3/4	2	1	I}		F	V		I		I						}	M	0	0	0, 4, 1		0	0
35	35	0	0	3/4	2	1	V65/IV{		F	V		V65/IV		V		65		IV		{	Mm7	0	0	4, 1, -2, 0		0	4
36	36	0	0	3/4	2	1	ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
37	37	0	0	3/4	2	1	V65/V		F	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
38	38	0	0	3/4	2	1	iii6		F	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
39	39	0	0	3/4	2	1	V65/vi		F	V		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
40	40	0	0	3/4	2	1	vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
40	40	1/4	1/4	3/4	2	1	IV6		F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
40	40	1/2	1/2	3/4	2	1	I64		F	V		I64		I		64					M	0	0	1, 0, 4		0	1
41	41	0	0	3/4	2	1	ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
41	41	1/2	1/2	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
42	42	0	0	3/4	2	1	ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
42	42	1/4	1/4	3/4	2	1	V(64)		F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
42	42	1/2	1/2	3/4	2	1	V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	0	0	3/4	2	1	I}{		F	V		I		I						}{	M	0	0	0, 4, 1		0	0
44	44	0	0	3/4	2	1	viio6		F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
45	45	0	0	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
46	46	0	0	3/4	2	1	ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
47	47	0	0	3/4	2	1	ii65		F	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
47	47	1/4	1/4	3/4	2	1	V(4)		F	V		V(4)		V			4				M	0	0	1, 0, 2		1	1
47	47	1/2	1/2	3/4	2	1	V		F	V		V		V							M	0	0	1, 5, 2		1	1
48	48	0	0	3/4	2	1	I}{		F	V		I		I						}{	M	0	0	0, 4, 1		0	0
49	49	0	0	3/4	2	1	viio6		F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
50	50	0	0	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
51	51	0	0	3/4	2	1	ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
53	53	1/4	1/4	3/4	2	1	V(4)		F	V		V(4)		V			4				M	0	0	1, 0, 2		1	1
53	53	1/2	1/2	3/4	2	1	V		F	V		V		V							M	0	0	1, 5, 2		1	1
