mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	4	1		C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	4	1		V43(4)		C	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
3	2	1/4	1/4	3/4	4	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	1/2	1/2	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	4	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	3	1/4	1/4	3/4	4	1		V\\		C	I		V		V						\\	M	0	0	1, 5, 2		1	1
5	4	0	0	3/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/2	1/2	3/4	4	1		#viio7/vi		C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	4	5/8	5/8	3/4	4	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
6	5	0	0	3/4	4	1		ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	5	1/4	1/4	3/4	4	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	1/2	1/2	3/4	4	1		V7(9)		C	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
6	5	9/16	9/16	3/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	3/4	4	1		I(4+2)		C	I		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
7	6	1/4	1/4	3/4	4	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
8	7	0	0	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	1/8	1/8	3/4	4	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	8	1/4	1/4	3/4	4	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
9	8	1/2	1/2	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
11	10	1/8	1/8	3/4	4	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	10	1/4	1/4	3/4	4	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
12	11	0	0	3/4	4	1		V2/V		C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
12	11	1/4	1/4	3/4	4	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	12	0	0	3/4	4	1		V.V2		C	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	1/4	1/4	3/4	4	1		I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	3/4	4	1		IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	1/8	1/8	3/4	4	1		ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	13	3/16	3/16	3/4	4	1		viio7/V		C	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
14	13	1/4	1/4	3/4	4	1		V(64+2)		C	V		V(64+2)		V			64+2				M	0	0	1, 0, 4	3	1	1
14	13	1/2	1/2	3/4	4	1		V7(4)		C	V		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
14	13	23/32	23/32	3/4	4	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	14	0	0	3/4	4	1		I(4+2)		C	V		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
15	14	1/4	1/4	3/4	4	1		I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
15	14	1/2	1/2	3/4	4	1		I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	0	0	3/4	4	1		I.V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	15	3/8	3/8	3/4	4	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	1/2	1/2	3/4	4	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	15	5/8	5/8	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
17	16	0	0	3/4	4	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
17	16	1/4	1/4	3/4	4	1		V\\		C	I		V		V						\\	M	0	0	1, 5, 2		1	1
17	16	3/8	3/8	3/4	4	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
18	17	0	0	3/4	4	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	17	3/8	3/8	3/4	4	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	17	1/2	1/2	3/4	4	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	17	5/8	5/8	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
19	18	0	0	3/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	0	0	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
22	21	0	0	3/4	4	1		IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	21	1/4	1/4	3/4	4	1		ii43		C	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
22	21	1/2	1/2	3/4	4	1		Ger6		C	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
23	22	0	0	3/4	4	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
23	22	1/2	1/2	3/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	23	0	0	3/4	4	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
24	23	1/2	1/2	3/4	4	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	24	0	0	3/4	4	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	24	1/2	1/2	3/4	4	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
26	25	0	0	3/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
27	26	0	0	3/4	4	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
28	26	0	1/4	2/4	4	1		IV.I		C	IV		I		I							M	0	0	0, 4, 1		0	0
29	27	0	0	2/4	4	1		ii		C	IV		ii		ii							m	0	0	2, -1, 3		2	2
30	28	0	0	2/4	4	1		V		C	IV		V		V							M	0	0	1, 5, 2		1	1
31	28	0	1/4	2/4	4	1		V	I	C	IV		V		V							M	0	0	1, 5, 2		1	1
32	29	0	0	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
33	30	0	0	2/4	4	1		V		C	IV		V		V							M	0	0	1, 5, 2		1	1
34	31	0	0	2/4	4	1		V7		C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	32	0	0	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
35	32	1/4	1/4	2/4	4	1		I.IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
36	33	0	0	2/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
36	33	1/4	1/4	2/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
37	34	0	0	2/4	4	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
37	34	1/4	1/4	2/4	4	1		ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
38	35	0	0	2/4	4	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	35	1/4	1/4	2/4	4	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
38	35	3/8	3/8	2/4	4	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	36	0	0	2/4	4	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
40	36	0	1/4	2/4	4	1		IV.#viio7/ii		C	IV		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
42	38	0	0	2/4	4	1		ii6		C	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
43	39	1/4	1/4	2/4	4	1		viio43		C	IV		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
44	40	0	0	2/4	4	1		I6		C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
44	40	1/8	1/8	2/4	4	1		viio6		C	IV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
44	40	3/16	3/16	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
44	40	1/4	1/4	2/4	4	1		V[I		C	IV	V	I		I							M	0	0	0, 4, 1		0	0
45	41	0	0	2/4	4	1		viio		C	IV	V	viio		vii	o						o	0	0	5, 2, -1		5	5
45	41	1/4	1/4	2/4	4	1		I		C	IV	V	I		I							M	0	0	0, 4, 1		0	0
46	42	0	0	2/4	4	1		viio64]		C	IV	V	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
46	42	1/4	1/4	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
47	43	0	0	2/4	4	1		V65		C	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
47	43	1/4	1/4	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
48	44	0	0	2/4	4	1		V\\		C	IV		V		V						\\	M	0	0	1, 5, 2		1	1
49	45	0	0	2/4	4	1		V(64)		C	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
49	45	1/8	1/8	2/4	4	1		V2		C	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
49	45	1/4	1/4	2/4	4	1		I6		C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
50	46	0	0	2/4	4	1		V6		C	IV		V6		V		6					M	0	0	5, 2, 1		1	5
50	46	7/16	7/16	2/4	4	1		V65		C	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
51	47	0	0	2/4	4	1		V7		C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
51	47	1/4	1/4	2/4	4	1		V2		C	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
51	47	3/8	3/8	2/4	4	1		I6		C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
52	48	0	0	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
52	48	3/16	3/16	2/4	4	1		V7/IV		C	IV		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
52	48	1/4	1/4	2/4	4	1		IV		C	IV		IV		IV							M	0	0	-1, 3, 0		-1	-1
53	49	0	0	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
53	49	1/4	1/4	2/4	4	1		V7		C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	50	0	0	2/4	4	1		I		C	IV		I		I							M	0	0	0, 4, 1		0	0
54	50	1/4	1/4	2/4	4	1		ii6		C	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
54	50	7/16	7/16	2/4	4	1		ii		C	IV		ii		ii							m	0	0	2, -1, 3		2	2
