key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
A- major	[0.129, 0.052, 0.006, 0.343, 0.0, 0.04, 0.0, 0.079, 0.241, 0.0, 0.11, 0.0]	0.0	38.5	38.5	1	13	12
b- minor	[0.029, 0.174, 0.0, 0.072, 0.0, 0.319, 0.014, 0.0, 0.0, 0.043, 0.348, 0.0]	38.5	44.5	0.5	13	15	2
A- major	[0.149, 0.064, 0.0, 0.447, 0.0, 0.0, 0.0, 0.043, 0.191, 0.0, 0.106, 0.0]	44.5	49.5	0.5	15	17	2
b- minor	[0.05, 0.15, 0.0, 0.1, 0.0, 0.362, 0.013, 0.0, 0.0, 0.075, 0.25, 0.0]	49.5	56.5	1.0	17	19	2
A- major	[0.112, 0.088, 0.005, 0.322, 0.01, 0.059, 0.029, 0.054, 0.205, 0.015, 0.102, 0.0]	56.5	78.0	0.5	19	27	8
C- major	[0.0, 0.126, 0.0, 0.118, 0.046, 0.0, 0.366, 0.013, 0.017, 0.0, 0.118, 0.197]	78.0	101.5	1.5	27	34	7
d- minor	[0.043, 0.348, 0.0, 0.029, 0.174, 0.0, 0.072, 0.0, 0.319, 0.014, 0.0, 0.0]	101.5	107.5	0.5	34	36	2
C- major	[0.0, 0.087, 0.0, 0.152, 0.065, 0.0, 0.457, 0.0, 0.0, 0.0, 0.043, 0.196]	107.5	112.5	0.5	36	38	2
d- minor	[0.082, 0.266, 0.0, 0.063, 0.127, 0.0, 0.114, 0.0, 0.329, 0.013, 0.006, 0.0]	112.5	119.5	1.0	38	40	2
C- major	[0.013, 0.114, 0.0, 0.105, 0.105, 0.004, 0.298, 0.009, 0.083, 0.013, 0.075, 0.18]	119.5	144.0	0.5	40	49	9
A- major	[0.124, 0.018, 0.005, 0.415, 0.005, 0.005, 0.0, 0.101, 0.217, 0.0, 0.111, 0.0]	144.0	164.5	2.5	49	55	6
b- minor	[0.029, 0.174, 0.0, 0.072, 0.0, 0.319, 0.014, 0.0, 0.0, 0.043, 0.348, 0.0]	164.5	170.5	0.5	55	57	2
A- major	[0.149, 0.064, 0.0, 0.447, 0.0, 0.0, 0.0, 0.043, 0.191, 0.0, 0.106, 0.0]	170.5	175.5	0.5	57	59	2
b- minor	[0.049, 0.148, 0.0, 0.099, 0.0, 0.358, 0.012, 0.0, 0.0, 0.074, 0.259, 0.0]	175.5	182.5	1.0	59	61	2
A- major	[0.109, 0.081, 0.006, 0.306, 0.006, 0.055, 0.018, 0.052, 0.266, 0.009, 0.092, 0.0]	182.5	216.0	0.5	61	72	11
