key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c minor	[0.268, 0.0, 0.132, 0.115, 0.0, 0.024, 0.068, 0.221, 0.047, 0.058, 0.007, 0.059]	0.0	57.0	57.0	1	20	19
E- major	[0.131, 0.0, 0.035, 0.259, 0.0, 0.089, 0.128, 0.032, 0.07, 0.153, 0.099, 0.003]	57.0	71.0	14.0	20	24	4
c minor	[0.127, 0.0, 0.119, 0.063, 0.0, 0.0, 0.016, 0.524, 0.032, 0.0, 0.0, 0.119]	71.0	84.0	13.0	24	29	5
A- major	[0.132, 0.041, 0.013, 0.264, 0.0, 0.035, 0.0, 0.031, 0.395, 0.0, 0.091, 0.0]	84.0	103.0	19.0	29	33	4
b- minor	[0.099, 0.149, 0.0, 0.071, 0.0, 0.241, 0.014, 0.0, 0.0, 0.17, 0.256, 0.0]	103.0	111.0	8.0	33	35	2
A- major	[0.126, 0.045, 0.014, 0.273, 0.0, 0.039, 0.0, 0.035, 0.367, 0.0, 0.101, 0.0]	111.0	127.0	16.0	35	39	4
G- major	[0.0, 0.383, 0.0, 0.0, 0.0, 0.044, 0.3, 0.0, 0.111, 0.0, 0.128, 0.033]	127.0	136.0	9.0	39	43	4
A major	[0.0, 0.466, 0.0, 0.003, 0.0, 0.009, 0.086, 0.0, 0.062, 0.313, 0.0, 0.061]	136.0	162.0	26.0	43	49	6
a minor	[0.144, 0.062, 0.0, 0.0, 0.1, 0.025, 0.05, 0.0, 0.0, 0.613, 0.0, 0.006]	162.0	176.0	14.0	49	53	4
f minor	[0.281, 0.0, 0.0, 0.0, 0.083, 0.125, 0.0, 0.0, 0.26, 0.25, 0.0, 0.0]	176.0	184.0	8.0	53	55	2
G- major	[0.234, 0.0, 0.0, 0.047, 0.0, 0.328, 0.0, 0.0, 0.297, 0.094, 0.0, 0.0]	184.0	188.0	4.0	55	56	1
f minor	[0.251, 0.091, 0.019, 0.019, 0.019, 0.241, 0.039, 0.032, 0.116, 0.019, 0.135, 0.019]	188.0	208.0	20.0	56	61	5
c minor	[0.044, 0.0, 0.153, 0.0, 0.0, 0.204, 0.0, 0.19, 0.31, 0.0, 0.0, 0.099]	208.0	227.5	19.5	61	67	6
a minor	[0.071, 0.0, 0.107, 0.0, 0.304, 0.085, 0.0, 0.067, 0.129, 0.107, 0.0, 0.129]	227.5	244.0	16.5	67	73	6
F major	[0.189, 0.014, 0.054, 0.0, 0.304, 0.054, 0.0, 0.095, 0.074, 0.108, 0.0, 0.108]	244.0	259.0	15.0	73	78	5
c minor	[0.129, 0.016, 0.194, 0.0, 0.065, 0.242, 0.0, 0.097, 0.032, 0.065, 0.0, 0.161]	259.0	269.5	10.5	78	81	3
A- major	[0.152, 0.087, 0.109, 0.13, 0.0, 0.174, 0.0, 0.065, 0.13, 0.0, 0.022, 0.13]	269.5	277.0	7.5	81	84	3
F major	[0.233, 0.019, 0.01, 0.068, 0.049, 0.223, 0.0, 0.155, 0.097, 0.078, 0.068, 0.0]	277.0	292.0	15.0	84	89	5
c minor	[0.052, 0.0, 0.103, 0.0, 0.0, 0.302, 0.0, 0.224, 0.224, 0.034, 0.0, 0.06]	292.0	301.0	9.0	89	92	3
d minor	[0.025, 0.068, 0.049, 0.0, 0.148, 0.037, 0.0, 0.191, 0.037, 0.216, 0.21, 0.019]	301.0	313.0	12.0	92	96	4
a minor	[0.051, 0.019, 0.114, 0.0, 0.297, 0.089, 0.0, 0.019, 0.108, 0.152, 0.076, 0.076]	313.0	325.0	12.0	96	100	4
F major	[0.161, 0.011, 0.046, 0.0, 0.374, 0.092, 0.0, 0.08, 0.063, 0.08, 0.0, 0.092]	325.0	340.0	15.0	100	105	5
c minor	[0.118, 0.015, 0.235, 0.0, 0.088, 0.221, 0.0, 0.088, 0.029, 0.059, 0.0, 0.147]	340.0	350.5	10.5	105	108	3
A- major	[0.158, 0.105, 0.088, 0.158, 0.0, 0.158, 0.0, 0.07, 0.14, 0.0, 0.018, 0.105]	350.5	359.5	9.0	108	111	3
c minor	[0.267, 0.0, 0.054, 0.137, 0.0, 0.031, 0.067, 0.311, 0.072, 0.034, 0.016, 0.01]	359.5	398.0	38.5	111	122	11
