0,1,1,,1,c#,i,Exposition,First Subject Group,Theme a
4,2,2,,1,c#,i42,,,
8,3,3,,1,c#,VI,,,
10,3,3,,3,c#,N6,,,
12,4,4,,1,c#,V7,,,
16,5,5,,1,c#,i,Exposition,First Subject Group,Theme b
20,6,6,,1,c#,V65,,,
24,7,7,,1,c#,i,,,
26,7,7,,3,E,ii,,,
28,8,8,,1,E,I64,,,
30,8,8,,3,E,V7,,,
32,9,9,,1,E,I,,,
36,10,10,,1,e,i,Exposition,Transition,Theme b'
40,11,11,,1,e,V43/VI,,,
44,12,12,,1,e,VI,,,
45,12,12,,2,e,i64,,,
46,12,12,,3,b,viio7,,,
47,12,12,,4,b,V65,,,
48,13,13,,1,b,i,,,
50,13,13,,3,b,ii¿65,,,
52,14,14,,1,b,i64,,,
54,14,14,,3,b,V,,,
56,15,15,,1,b,i,,,
58,15,15,,3,b,V/iv,,,
59,15,15,,4,None,None,Exposition,Second Subject Group,Theme c
60,16,16,,1,b,N6,,,
64,17,17,,1,b,V/iv,,,
67,17,17,,4,None,None,Exposition,Second Subject Group,Theme c
68,18,18,,1,b,N6,,,
72,19,19,,1,b,V/iv,,,
74,19,19,,3,f#,viio65,Exposition,Second Subject Group,Theme d
76,20,20,,1,f#,V65,,,
78,20,20,,3,f#,i,,,
80,21,21,,1,f#,N6,,,
82,21,21,,3,f#,viio7/V,,,
84,22,22,,1,f#,i64,,,
86,22,22,,3,f#,V,,,
88,23,23,,1,f#,i,Development,d1,Theme b''
92,24,24,,1,f#,V65,,,
96,25,25,,1,f#,i,,,
98,25,25,,3,c#,viio65,,,
99,25,25,,4,c#,iv64,,,
100,26,26,,1,c#,V65,,,
104,27,27,,1,c#,i,,,
106,27,27,,3,c#,iio6,,,
107,27,27,,4,c#,viio7/V,,,
108,28,28,,1,c#,V7,Development,Re-transition,Theme e
116,30,30,,1,c#,i64,,,
124,32,32,,1,c#,V7,,,
128,33,33,,1,c#,i64,,,
132,34,34,,1,c#,viio7/V,,,
136,35,35,,1,c#,viio7,,,
148,38,38,,1,c#,V7,,,
158,40,40,,3,c#,VI,,,
160,41,41,,1,c#,ii¿65,,,
162,41,41,,3,c#,V7,,,
164,42,42,,1,c#,i,Recapitulation,First Subject Group,Theme b
168,43,43,,1,c#,V65,,,
172,44,44,,1,c#,i,,,
174,44,44,,3,E,ii,,,
176,45,45,,1,E,I64,,,
178,45,45,,3,E,V7,,,
180,46,46,,1,E,I,Recapitulation,Transition,Theme b''
184,47,47,,1,E,V65,,,
188,48,48,,1,E,I,,,
190,48,48,,3,c#,V43,,,
191,48,48,,4,c#,i,,,
192,49,49,,1,c#,V65,,,
194,49,49,,3,c#,i,,,
196,50,50,,1,c#,N6,,,
198,50,50,,3,c#,V7,,,
200,51,51,,1,c#,i,,,
202,51,51,,3,c#,V/iv,,,
203,51,51,,4,None,None,Recapitulation,Second Subject Group,Theme c
204,52,52,,1,c#,N6,,,
208,53,53,,1,c#,V/iv,,,
211,53,53,,4,None,None,Recapitulation,Second Subject Group,Theme c
212,54,54,,1,c#,N6,,,
216,55,55,,1,c#,V/iv,,,
218,55,55,,3,c#,iv,Recapitulation,Second Subject Group,Theme d'
220,56,56,,1,c#,V65/III,,,
223,56,56,,4,c#,III,,,
224,57,57,,1,c#,VI65,,,
225,57,57,,2,c#,iio,,,
226,57,57,,3,c#,V65,,,
227,57,57,,4,c#,i,,,
228,58,58,,1,c#,ii¿43,,,
230,58,58,,3,c#,i64,,,
231,58,58,,4,c#,ii¿65,,,
232,59,59,,1,c#,i64,,,
234,59,59,,3,c#,V7,,,
236,60,60,,1,c#,i,Recapitulation,Coda,Theme b'''
240,61,61,,1,c#,V65,,,
244,62,62,,1,c#,i,,,
248,63,63,,1,c#,V7,,,
252,64,64,,1,c#,i,,,
256,65,65,,1,c#,V7,,,
260,66,66,,1,c#,i,,,
