mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
4	4	0	0	3/8	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	4	1/8	1/8	3/8	2	1	vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	4	1/4	1/4	3/8	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	3/8	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	1/8	1/8	3/8	2	1	vi64	Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
5	5	1/4	1/4	3/8	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	0	0	3/8	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	1/8	1/8	3/8	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	1/4	1/4	3/8	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	0	0	3/8	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	1/4	1/4	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/8	2	1	I}{	Eb	I		I		I						}{	M	0	0	0, 4, 1		0	0
9	9	0	0	3/8	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	0	0	3/8	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	0	0	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/8	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
12	12	1/4	1/4	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	3/8	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	13	1/8	1/8	3/8	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
