mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1	D.I6{		D	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
2	2	0	0	2/4	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	0	0	2/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	4	0	0	2/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
5	5	0	0	2/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	1/8	1/8	2/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	1/4	1/4	2/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	2/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	1/8	1/8	2/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	1/4	1/4	2/4	2	1	V2		D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	0	0	2/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	1/4	1/4	2/4	2	1	V(64)/V		D	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
8	8	0	0	2/4	2	1	V7/V		D	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
8	8	1/4	1/4	2/4	2	1	I/V}		D	I		I/V		I				V		}	M	0	0	1, 5, 2		1	1
9	9	0	0	2/4	2	1	I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	1/4	1/4	2/4	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
10	10	0	0	2/4	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	10	1/4	1/4	2/4	2	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
11	11	0	0	2/4	2	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
11	11	1/4	1/4	2/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
12	12	0	0	2/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
13	13	0	0	2/4	2	1	V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
13	13	1/4	1/4	2/4	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
14	14	0	0	2/4	2	1	V2		D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	1/4	1/4	2/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	2/4	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
15	15	1/4	1/4	2/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	15	3/8	3/8	2/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	2/4	2	1	I[I}{		D	I	I	I		I						}{	M	0	0	0, 4, 1		0	0
17	17	0	0	2/4	2	1	V43		D	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	0	0	2/4	2	1	I		D	I	I	I		I							M	0	0	0, 4, 1		0	0
19	19	0	0	2/4	2	1	V43		D	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	0	0	2/4	2	1	I		D	I	I	I		I							M	0	0	0, 4, 1		0	0
20	20	1/8	1/8	2/4	2	1	viio		D	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
20	20	1/4	1/4	2/4	2	1	I]		D	I	I	I		I							M	0	0	0, 4, 1		0	0
20	20	3/8	3/8	2/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	2/4	2	1	I[I		D	I	I	I		I							M	0	0	0, 4, 1		0	0
21	21	1/8	1/8	2/4	2	1	viio		D	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
21	21	1/4	1/4	2/4	2	1	I]		D	I	I	I		I							M	0	0	0, 4, 1		0	0
21	21	3/8	3/8	2/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	0	0	2/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
23	23	0	0	2/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
23	23	1/4	1/4	2/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
24	24	0	0	2/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
24	24	1/4	1/4	2/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
25	25	0	0	2/4	2	1	V}		D	I		V		V						}	M	0	0	1, 5, 2		1	1
26	26	0	0	2/4	2	1	V.I{		D	V		I		I						{	M	0	0	0, 4, 1		0	0
27	27	0	0	2/4	2	1	ii		D	V		ii		ii							m	0	0	2, -1, 3		2	2
27	27	1/4	1/4	2/4	2	1	viio6		D	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	29	0	0	2/4	2	1	iii		D	V		iii		iii							m	0	0	4, 1, 5		4	4
29	29	1/4	1/4	2/4	2	1	#viio6/ii		D	V		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
30	30	0	0	2/4	2	1	ii6		D	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
30	30	1/4	1/4	2/4	2	1	#viio6/ii		D	V		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
30	30	3/8	3/8	2/4	2	1	ii		D	V		ii		ii							m	0	0	2, -1, 3		2	2
31	31	0	0	2/4	2	1	V65/ii		D	V		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
31	31	1/4	1/4	2/4	2	1	ii		D	V		ii		ii							m	0	0	2, -1, 3		2	2
32	32	0	0	2/4	2	1	V65		D	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
32	32	1/4	1/4	2/4	2	1	I		D	V		I		I							M	0	0	0, 4, 1		0	0
33	33	0	0	2/4	2	1	vi(4)		D	V		vi(4)		vi			4				m	0	0	3, 2, 4		3	3
33	33	1/8	1/8	2/4	2	1	vio		D	V		vio		vi	o						o	0	0	3, 0, -3		3	3
33	33	1/4	1/4	2/4	2	1	It6		D	V		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
34	34	0	0	2/4	2	1	V[V}		D	V	V	V		V						}	M	0	0	1, 5, 2		1	1
35	35	0	0	2/4	2	1	viio/V{		D	V	V	viio/V		vii	o			V		{	o	0	0	6, 3, 0		6	6
36	36	0	0	2/4	2	1	V7		D	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
37	37	0	0	2/4	2	1	V(64)		D	V	V	V(64)		V			64				M	0	0	1, 0, 4		1	1
38	38	0	0	2/4	2	1	V		D	V	V	V		V							M	0	0	1, 5, 2		1	1
