Figure	MajorContext	MinorContext
bio96542	['B---', 'C-', 'E--', 'F-', 'G--', 'C-']	['G--', 'A-', 'C-', 'D-', 'E--', 'A-']
bi96542	['B-', 'C-', 'E--', 'F-', 'G-', 'C-']	['G-', 'A-', 'C-', 'D-', 'E-', 'A-']
bI96542	['B-', 'C-', 'E-', 'F-', 'G-', 'C-']	['G-', 'A-', 'C', 'D-', 'E-', 'A-']
bI+96542	['B-', 'C-', 'E-', 'F-', 'G', 'C-']	['G-', 'A-', 'C', 'D-', 'E', 'A-']
biio96542	['C--', 'D-', 'F-', 'G-', 'A--', 'D-']	['A--', 'B-', 'D-', 'E-', 'F-', 'B-']
bii96542	['C-', 'D-', 'F-', 'G-', 'A-', 'D-']	['A-', 'B-', 'D-', 'E-', 'F', 'B-']
bII96542	['C-', 'D-', 'F', 'G-', 'A-', 'D-']	['A-', 'B-', 'D', 'E-', 'F', 'B-']
bII+96542	['C-', 'D-', 'F', 'G-', 'A', 'D-']	['A-', 'B-', 'D', 'E-', 'F#', 'B-']
biiio96542	['D--', 'E-', 'G-', 'A-', 'B--', 'E-']	['B---', 'C-', 'E--', 'F-', 'G--', 'C-']
biii96542	['D-', 'E-', 'G-', 'A-', 'B-', 'E-']	['B-', 'C-', 'E--', 'F-', 'G-', 'C-']
bIII96542	['D-', 'E-', 'G', 'A-', 'B-', 'E-']	['B-', 'C-', 'E-', 'F-', 'G-', 'C-']
bIII+96542	['D-', 'E-', 'G', 'A-', 'B', 'E-']	['B-', 'C-', 'E-', 'F-', 'G', 'C-']
bivo96542	['E---', 'F-', 'A--', 'B-', 'C--', 'F-']	['C--', 'D-', 'F-', 'G-', 'A--', 'D-']
biv96542	['E-', 'F-', 'A--', 'B-', 'C-', 'F-']	['C-', 'D-', 'F-', 'G-', 'A-', 'D-']
bIV96542	['E-', 'F-', 'A-', 'B-', 'C-', 'F-']	['C-', 'D-', 'F', 'G-', 'A-', 'D-']
bIV+96542	['E-', 'F-', 'A-', 'B-', 'C', 'F-']	['C-', 'D-', 'F', 'G-', 'A', 'D-']
bvo96542	['F--', 'G-', 'B--', 'C-', 'D--', 'G-']	['D--', 'E-', 'G-', 'A-', 'B--', 'E-']
bv96542	['F-', 'G-', 'B--', 'C-', 'D-', 'G-']	['D-', 'E-', 'G-', 'A-', 'B-', 'E-']
bV96542	['F-', 'G-', 'B-', 'C-', 'D-', 'G-']	['D-', 'E-', 'G', 'A-', 'B-', 'E-']
bV+96542	['F-', 'G-', 'B-', 'C-', 'D', 'G-']	['D-', 'E-', 'G', 'A-', 'B', 'E-']
bvio96542	['G--', 'A-', 'C-', 'D-', 'E--', 'A-']	['E--', 'F', 'A-', 'B', 'C-', 'F']
bvi96542	['G-', 'A-', 'C-', 'D-', 'E-', 'A-']	['E', 'F', 'A-', 'B', 'C', 'F']
bVI96542	['G-', 'A-', 'C', 'D-', 'E-', 'A-']	['E-', 'F-', 'A-', 'B-', 'C-', 'F-']
bVI+96542	['G-', 'A-', 'C', 'D-', 'E', 'A-']	['E-', 'F-', 'A-', 'B-', 'C', 'F-']
bviio96542	['A--', 'B-', 'D-', 'E-', 'F-', 'B-']	['F-', 'G', 'B-', 'C', 'D-', 'G']
bvii96542	['A-', 'B-', 'D-', 'E-', 'F', 'B-']	['F', 'G', 'B-', 'C', 'D', 'G']
bVII96542	['A-', 'B-', 'D', 'E-', 'F', 'B-']	['F-', 'G-', 'B-', 'C-', 'D-', 'G-']
bVII+96542	['A-', 'B-', 'D', 'E-', 'F#', 'B-']	['F-', 'G-', 'B-', 'C-', 'D', 'G-']
io96542	['B--', 'C', 'E-', 'F', 'G-', 'C']	['G-', 'A', 'C', 'D', 'E-', 'A']
