Figure	MajorContext	MinorContext
bio9542	['B---', 'C-', 'E--', 'F-', 'C-']	['G--', 'A-', 'C-', 'D-', 'A-']
bi9542	['B-', 'C-', 'E--', 'F-', 'C-']	['G-', 'A-', 'C-', 'D-', 'A-']
bI9542	['B-', 'C-', 'E-', 'F-', 'C-']	['G-', 'A-', 'C', 'D-', 'A-']
bI+9542	['B-', 'C-', 'E-', 'F-', 'C-']	['G-', 'A-', 'C', 'D-', 'A-']
biio9542	['C--', 'D-', 'F-', 'G-', 'D-']	['A--', 'B-', 'D-', 'E-', 'B-']
bii9542	['C-', 'D-', 'F-', 'G-', 'D-']	['A-', 'B-', 'D-', 'E-', 'B-']
bII9542	['C-', 'D-', 'F', 'G-', 'D-']	['A-', 'B-', 'D', 'E-', 'B-']
bII+9542	['C-', 'D-', 'F', 'G-', 'D-']	['A-', 'B-', 'D', 'E-', 'B-']
biiio9542	['D--', 'E-', 'G-', 'A-', 'E-']	['B---', 'C-', 'E--', 'F-', 'C-']
biii9542	['D-', 'E-', 'G-', 'A-', 'E-']	['B-', 'C-', 'E--', 'F-', 'C-']
bIII9542	['D-', 'E-', 'G', 'A-', 'E-']	['B-', 'C-', 'E-', 'F-', 'C-']
bIII+9542	['D-', 'E-', 'G', 'A-', 'E-']	['B-', 'C-', 'E-', 'F-', 'C-']
bivo9542	['E---', 'F-', 'A--', 'B-', 'F-']	['C--', 'D-', 'F-', 'G-', 'D-']
biv9542	['E-', 'F-', 'A--', 'B-', 'F-']	['C-', 'D-', 'F-', 'G-', 'D-']
bIV9542	['E-', 'F-', 'A-', 'B-', 'F-']	['C-', 'D-', 'F', 'G-', 'D-']
bIV+9542	['E-', 'F-', 'A-', 'B-', 'F-']	['C-', 'D-', 'F', 'G-', 'D-']
bvo9542	['F--', 'G-', 'B--', 'C-', 'G-']	['D--', 'E-', 'G-', 'A-', 'E-']
bv9542	['F-', 'G-', 'B--', 'C-', 'G-']	['D-', 'E-', 'G-', 'A-', 'E-']
bV9542	['F-', 'G-', 'B-', 'C-', 'G-']	['D-', 'E-', 'G', 'A-', 'E-']
bV+9542	['F-', 'G-', 'B-', 'C-', 'G-']	['D-', 'E-', 'G', 'A-', 'E-']
bvio9542	['G--', 'A-', 'C-', 'D-', 'A-']	['E--', 'F', 'A-', 'B', 'F']
bvi9542	['G-', 'A-', 'C-', 'D-', 'A-']	['E', 'F', 'A-', 'B', 'F']
bVI9542	['G-', 'A-', 'C', 'D-', 'A-']	['E-', 'F-', 'A-', 'B-', 'F-']
bVI+9542	['G-', 'A-', 'C', 'D-', 'A-']	['E-', 'F-', 'A-', 'B-', 'F-']
bviio9542	['A--', 'B-', 'D-', 'E-', 'B-']	['F-', 'G', 'B-', 'C', 'G']
bvii9542	['A-', 'B-', 'D-', 'E-', 'B-']	['F', 'G', 'B-', 'C', 'G']
bVII9542	['A-', 'B-', 'D', 'E-', 'B-']	['F-', 'G-', 'B-', 'C-', 'G-']
bVII+9542	['A-', 'B-', 'D', 'E-', 'B-']	['F-', 'G-', 'B-', 'C-', 'G-']
io9542	['B--', 'C', 'E-', 'F', 'C']	['G-', 'A', 'C', 'D', 'A']
i9542	['B', 'C', 'E-', 'F', 'C']	['G', 'A', 'C', 'D', 'A']
I9542	['B', 'C', 'E', 'F', 'C']	['G', 'A', 'C#', 'D', 'A']
I+9542	['B', 'C', 'E', 'F', 'C']	['G', 'A', 'C#', 'D', 'A']
iio9542	['C-', 'D', 'F', 'G', 'D']	['A-', 'B', 'D', 'E', 'B']
ii9542	['C', 'D', 'F', 'G', 'D']	['A', 'B', 'D', 'E', 'B']
II9542	['C', 'D', 'F#', 'G', 'D']	['A', 'B', 'D#', 'E', 'B']
II+9542	['C', 'D', 'F#', 'G', 'D']	['A', 'B', 'D#', 'E', 'B']
iiio9542	['D-', 'E', 'G', 'A', 'E']	['B--', 'C', 'E-', 'F', 'C']
iii9542	['D', 'E', 'G', 'A', 'E']	['B', 'C', 'E-', 'F', 'C']
III9542	['D', 'E', 'G#', 'A', 'E']	['B', 'C', 'E', 'F', 'C']
III+9542	['D', 'E', 'G#', 'A', 'E']	['B', 'C', 'E', 'F', 'C']
ivo9542	['E--', 'F', 'A-', 'B', 'F']	['C-', 'D', 'F', 'G', 'D']
iv9542	['E', 'F', 'A-', 'B', 'F']	['C', 'D', 'F', 'G', 'D']
IV9542	['E', 'F', 'A', 'B', 'F']	['C', 'D', 'F#', 'G', 'D']
IV+9542	['E', 'F', 'A', 'B', 'F']	['C', 'D', 'F#', 'G', 'D']
vo9542	['F-', 'G', 'B-', 'C', 'G']	['D-', 'E', 'G', 'A', 'E']
v9542	['F', 'G', 'B-', 'C', 'G']	['D', 'E', 'G', 'A', 'E']
V9542	['F', 'G', 'B', 'C', 'G']	['D', 'E', 'G#', 'A', 'E']
V+9542	['F', 'G', 'B', 'C', 'G']	['D', 'E', 'G#', 'A', 'E']
vio9542	['G-', 'A', 'C', 'D', 'A']	['E-', 'F#', 'A', 'B#', 'F#']
vi9542	['G', 'A', 'C', 'D', 'A']	['E#', 'F#', 'A', 'B#', 'F#']
VI9542	['G', 'A', 'C#', 'D', 'A']	['E', 'F', 'A', 'B', 'F']
VI+9542	['G', 'A', 'C#', 'D', 'A']	['E', 'F', 'A', 'B', 'F']
viio9542	['A-', 'B', 'D', 'E', 'B']	['F', 'G#', 'B', 'C#', 'G#']
vii9542	['A', 'B', 'D', 'E', 'B']	['F#', 'G#', 'B', 'C#', 'G#']
VII9542	['A', 'B', 'D#', 'E', 'B']	['F', 'G', 'B', 'C', 'G']
VII+9542	['A', 'B', 'D#', 'E', 'B']	['F', 'G', 'B', 'C', 'G']
#io9542	['B-', 'C#', 'E', 'F#', 'C#']	['G', 'A#', 'C#', 'D#', 'A#']
#i9542	['B#', 'C#', 'E', 'F#', 'C#']	['G#', 'A#', 'C#', 'D#', 'A#']
#I9542	['B#', 'C#', 'E#', 'F#', 'C#']	['G#', 'A#', 'C##', 'D#', 'A#']
#I+9542	['B#', 'C#', 'E#', 'F#', 'C#']	['G#', 'A#', 'C##', 'D#', 'A#']
#iio9542	['C', 'D#', 'F#', 'G#', 'D#']	['A', 'B#', 'D#', 'E#', 'B#']
#ii9542	['C#', 'D#', 'F#', 'G#', 'D#']	['A#', 'B#', 'D#', 'E#', 'B#']
#II9542	['C#', 'D#', 'F##', 'G#', 'D#']	['A#', 'B#', 'D##', 'E#', 'B#']
#II+9542	['C#', 'D#', 'F##', 'G#', 'D#']	['A#', 'B#', 'D##', 'E#', 'B#']
#iiio9542	['D', 'E#', 'G#', 'A#', 'E#']	['B-', 'C#', 'E', 'F#', 'C#']
#iii9542	['D#', 'E#', 'G#', 'A#', 'E#']	['B#', 'C#', 'E', 'F#', 'C#']
#III9542	['D#', 'E#', 'G##', 'A#', 'E#']	['B#', 'C#', 'E#', 'F#', 'C#']
#III+9542	['D#', 'E#', 'G##', 'A#', 'E#']	['B#', 'C#', 'E#', 'F#', 'C#']
#ivo9542	['E-', 'F#', 'A', 'B#', 'F#']	['C', 'D#', 'F#', 'G#', 'D#']
#iv9542	['E#', 'F#', 'A', 'B#', 'F#']	['C#', 'D#', 'F#', 'G#', 'D#']
#IV9542	['E#', 'F#', 'A#', 'B#', 'F#']	['C#', 'D#', 'F##', 'G#', 'D#']
#IV+9542	['E#', 'F#', 'A#', 'B#', 'F#']	['C#', 'D#', 'F##', 'G#', 'D#']
#vo9542	['F', 'G#', 'B', 'C#', 'G#']	['D', 'E#', 'G#', 'A#', 'E#']
#v9542	['F#', 'G#', 'B', 'C#', 'G#']	['D#', 'E#', 'G#', 'A#', 'E#']
#V9542	['F#', 'G#', 'B#', 'C#', 'G#']	['D#', 'E#', 'G##', 'A#', 'E#']
#V+9542	['F#', 'G#', 'B#', 'C#', 'G#']	['D#', 'E#', 'G##', 'A#', 'E#']
#vio9542	['G', 'A#', 'C#', 'D#', 'A#']	['E', 'F##', 'A#', 'B##', 'F##']
#vi9542	['G#', 'A#', 'C#', 'D#', 'A#']	['E##', 'F##', 'A#', 'B##', 'F##']
#VI9542	['G#', 'A#', 'C##', 'D#', 'A#']	['E#', 'F#', 'A#', 'B#', 'F#']
#VI+9542	['G#', 'A#', 'C##', 'D#', 'A#']	['E#', 'F#', 'A#', 'B#', 'F#']
#viio9542	['A', 'B#', 'D#', 'E#', 'B#']	['F#', 'G##', 'B#', 'C##', 'G##']
#vii9542	['A#', 'B#', 'D#', 'E#', 'B#']	['F##', 'G##', 'B#', 'C##', 'G##']
#VII9542	['A#', 'B#', 'D##', 'E#', 'B#']	['F#', 'G#', 'B#', 'C#', 'G#']
#VII+9542	['A#', 'B#', 'D##', 'E#', 'B#']	['F#', 'G#', 'B#', 'C#', 'G#']
