Figure	MajorContext	MinorContext
bio98543	['C-', 'E--', 'F-', 'G--', 'C-', 'D-']	['A-', 'C-', 'D-', 'E--', 'A-', 'B-']
bi98543	['C-', 'E--', 'F-', 'G-', 'C-', 'D-']	['A-', 'C-', 'D-', 'E-', 'A-', 'B-']
bI98543	['C-', 'E-', 'F-', 'G-', 'C-', 'D-']	['A-', 'C', 'D-', 'E-', 'A-', 'B-']
bI+98543	['C-', 'E-', 'F-', 'G', 'C-', 'D-']	['A-', 'C', 'D-', 'E', 'A-', 'B-']
biio98543	['D-', 'F-', 'G-', 'A--', 'D-', 'E-']	['B-', 'D-', 'E-', 'F-', 'B-', 'C-']
bii98543	['D-', 'F-', 'G-', 'A-', 'D-', 'E-']	['B-', 'D-', 'E-', 'F', 'B-', 'C-']
bII98543	['D-', 'F', 'G-', 'A-', 'D-', 'E-']	['B-', 'D', 'E-', 'F', 'B-', 'C-']
bII+98543	['D-', 'F', 'G-', 'A', 'D-', 'E-']	['B-', 'D', 'E-', 'F#', 'B-', 'C-']
biiio98543	['E-', 'G-', 'A-', 'B--', 'E-', 'F-']	['C-', 'E--', 'F-', 'G--', 'C-', 'D-']
biii98543	['E-', 'G-', 'A-', 'B-', 'E-', 'F-']	['C-', 'E--', 'F-', 'G-', 'C-', 'D-']
bIII98543	['E-', 'G', 'A-', 'B-', 'E-', 'F-']	['C-', 'E-', 'F-', 'G-', 'C-', 'D-']
bIII+98543	['E-', 'G', 'A-', 'B', 'E-', 'F-']	['C-', 'E-', 'F-', 'G', 'C-', 'D-']
bivo98543	['F-', 'A--', 'B-', 'C--', 'F-', 'G-']	['D-', 'F-', 'G-', 'A--', 'D-', 'E-']
biv98543	['F-', 'A--', 'B-', 'C-', 'F-', 'G-']	['D-', 'F-', 'G-', 'A-', 'D-', 'E-']
bIV98543	['F-', 'A-', 'B-', 'C-', 'F-', 'G-']	['D-', 'F', 'G-', 'A-', 'D-', 'E-']
bIV+98543	['F-', 'A-', 'B-', 'C', 'F-', 'G-']	['D-', 'F', 'G-', 'A', 'D-', 'E-']
bvo98543	['G-', 'B--', 'C-', 'D--', 'G-', 'A-']	['E-', 'G-', 'A-', 'B--', 'E-', 'F-']
bv98543	['G-', 'B--', 'C-', 'D-', 'G-', 'A-']	['E-', 'G-', 'A-', 'B-', 'E-', 'F-']
bV98543	['G-', 'B-', 'C-', 'D-', 'G-', 'A-']	['E-', 'G', 'A-', 'B-', 'E-', 'F-']
bV+98543	['G-', 'B-', 'C-', 'D', 'G-', 'A-']	['E-', 'G', 'A-', 'B', 'E-', 'F-']
bvio98543	['A-', 'C-', 'D-', 'E--', 'A-', 'B-']	['F', 'A-', 'B', 'C-', 'F', 'G']
bvi98543	['A-', 'C-', 'D-', 'E-', 'A-', 'B-']	['F', 'A-', 'B', 'C', 'F', 'G']
bVI98543	['A-', 'C', 'D-', 'E-', 'A-', 'B-']	['F-', 'A-', 'B-', 'C-', 'F-', 'G-']
bVI+98543	['A-', 'C', 'D-', 'E', 'A-', 'B-']	['F-', 'A-', 'B-', 'C', 'F-', 'G-']
bviio98543	['B-', 'D-', 'E-', 'F-', 'B-', 'C-']	['G', 'B-', 'C', 'D-', 'G', 'A']
bvii98543	['B-', 'D-', 'E-', 'F', 'B-', 'C-']	['G', 'B-', 'C', 'D', 'G', 'A']
bVII98543	['B-', 'D', 'E-', 'F', 'B-', 'C-']	['G-', 'B-', 'C-', 'D-', 'G-', 'A-']
bVII+98543	['B-', 'D', 'E-', 'F#', 'B-', 'C-']	['G-', 'B-', 'C-', 'D', 'G-', 'A-']
io98543	['C', 'E-', 'F', 'G-', 'C', 'D']	['A', 'C', 'D', 'E-', 'A', 'B']
i98543	['C', 'E-', 'F', 'G', 'C', 'D']	['A', 'C', 'D', 'E', 'A', 'B']
I98543	['C', 'E', 'F', 'G', 'C', 'D']	['A', 'C#', 'D', 'E', 'A', 'B']
I+98543	['C', 'E', 'F', 'G#', 'C', 'D']	['A', 'C#', 'D', 'E#', 'A', 'B']
iio98543	['D', 'F', 'G', 'A-', 'D', 'E']	['B', 'D', 'E', 'F', 'B', 'C']
ii98543	['D', 'F', 'G', 'A', 'D', 'E']	['B', 'D', 'E', 'F#', 'B', 'C']
II98543	['D', 'F#', 'G', 'A', 'D', 'E']	['B', 'D#', 'E', 'F#', 'B', 'C']
II+98543	['D', 'F#', 'G', 'A#', 'D', 'E']	['B', 'D#', 'E', 'F##', 'B', 'C']
iiio98543	['E', 'G', 'A', 'B-', 'E', 'F']	['C', 'E-', 'F', 'G-', 'C', 'D']
iii98543	['E', 'G', 'A', 'B', 'E', 'F']	['C', 'E-', 'F', 'G', 'C', 'D']
III98543	['E', 'G#', 'A', 'B', 'E', 'F']	['C', 'E', 'F', 'G', 'C', 'D']
III+98543	['E', 'G#', 'A', 'B#', 'E', 'F']	['C', 'E', 'F', 'G#', 'C', 'D']
ivo98543	['F', 'A-', 'B', 'C-', 'F', 'G']	['D', 'F', 'G', 'A-', 'D', 'E']
