Figure	MajorContext	MinorContext
bio754	['F-', 'B---', 'C-', 'E--']	['D-', 'G--', 'A-', 'C-']
bi754	['F-', 'B-', 'C-', 'E--']	['D-', 'G-', 'A-', 'C-']
bI754	['F-', 'B-', 'C-', 'E-']	['D-', 'G-', 'A-', 'C']
bI+754	['F-', 'B-', 'C-', 'E-']	['D-', 'G-', 'A-', 'C']
biio754	['G-', 'C--', 'D-', 'F-']	['E-', 'A--', 'B-', 'D-']
bii754	['G-', 'C-', 'D-', 'F-']	['E-', 'A-', 'B-', 'D-']
bII754	['G-', 'C-', 'D-', 'F']	['E-', 'A-', 'B-', 'D']
bII+754	['G-', 'C-', 'D-', 'F']	['E-', 'A-', 'B-', 'D']
biiio754	['A-', 'D--', 'E-', 'G-']	['F-', 'B---', 'C-', 'E--']
biii754	['A-', 'D-', 'E-', 'G-']	['F-', 'B-', 'C-', 'E--']
bIII754	['A-', 'D-', 'E-', 'G']	['F-', 'B-', 'C-', 'E-']
bIII+754	['A-', 'D-', 'E-', 'G']	['F-', 'B-', 'C-', 'E-']
bivo754	['B-', 'E---', 'F-', 'A--']	['G-', 'C--', 'D-', 'F-']
biv754	['B-', 'E-', 'F-', 'A--']	['G-', 'C-', 'D-', 'F-']
bIV754	['B-', 'E-', 'F-', 'A-']	['G-', 'C-', 'D-', 'F']
bIV+754	['B-', 'E-', 'F-', 'A-']	['G-', 'C-', 'D-', 'F']
bvo754	['C-', 'F--', 'G-', 'B--']	['A-', 'D--', 'E-', 'G-']
bv754	['C-', 'F-', 'G-', 'B--']	['A-', 'D-', 'E-', 'G-']
bV754	['C-', 'F-', 'G-', 'B-']	['A-', 'D-', 'E-', 'G']
bV+754	['C-', 'F-', 'G-', 'B-']	['A-', 'D-', 'E-', 'G']
bvio754	['D-', 'G--', 'A-', 'C-']	['B', 'E--', 'F', 'A-']
bvi754	['D-', 'G-', 'A-', 'C-']	['B', 'E', 'F', 'A-']
bVI754	['D-', 'G-', 'A-', 'C']	['B-', 'E-', 'F-', 'A-']
bVI+754	['D-', 'G-', 'A-', 'C']	['B-', 'E-', 'F-', 'A-']
bviio754	['E-', 'A--', 'B-', 'D-']	['C', 'F-', 'G', 'B-']
bvii754	['E-', 'A-', 'B-', 'D-']	['C', 'F', 'G', 'B-']
bVII754	['E-', 'A-', 'B-', 'D']	['C-', 'F-', 'G-', 'B-']
bVII+754	['E-', 'A-', 'B-', 'D']	['C-', 'F-', 'G-', 'B-']
io754	['F', 'B--', 'C', 'E-']	['D', 'G-', 'A', 'C']
i754	['F', 'B', 'C', 'E-']	['D', 'G', 'A', 'C']
I754	['F', 'B', 'C', 'E']	['D', 'G', 'A', 'C#']
I+754	['F', 'B', 'C', 'E']	['D', 'G', 'A', 'C#']
iio754	['G', 'C-', 'D', 'F']	['E', 'A-', 'B', 'D']
ii754	['G', 'C', 'D', 'F']	['E', 'A', 'B', 'D']
II754	['G', 'C', 'D', 'F#']	['E', 'A', 'B', 'D#']
II+754	['G', 'C', 'D', 'F#']	['E', 'A', 'B', 'D#']
iiio754	['A', 'D-', 'E', 'G']	['F', 'B--', 'C', 'E-']
iii754	['A', 'D', 'E', 'G']	['F', 'B', 'C', 'E-']
III754	['A', 'D', 'E', 'G#']	['F', 'B', 'C', 'E']
III+754	['A', 'D', 'E', 'G#']	['F', 'B', 'C', 'E']
ivo754	['B', 'E--', 'F', 'A-']	['G', 'C-', 'D', 'F']
iv754	['B', 'E', 'F', 'A-']	['G', 'C', 'D', 'F']
IV754	['B', 'E', 'F', 'A']	['G', 'C', 'D', 'F#']
IV+754	['B', 'E', 'F', 'A']	['G', 'C', 'D', 'F#']
vo754	['C', 'F-', 'G', 'B-']	['A', 'D-', 'E', 'G']
v754	['C', 'F', 'G', 'B-']	['A', 'D', 'E', 'G']
V754	['C', 'F', 'G', 'B']	['A', 'D', 'E', 'G#']
V+754	['C', 'F', 'G', 'B']	['A', 'D', 'E', 'G#']
vio754	['D', 'G-', 'A', 'C']	['B#', 'E-', 'F#', 'A']
vi754	['D', 'G', 'A', 'C']	['B#', 'E#', 'F#', 'A']
VI754	['D', 'G', 'A', 'C#']	['B', 'E', 'F', 'A']
