Figure	MajorContext	MinorContext
bio75432	['C-', 'D-', 'E--', 'F-', 'G--', 'B---']	['A-', 'B-', 'C-', 'D-', 'E--', 'G--']
bi75432	['C-', 'D-', 'E--', 'F-', 'G-', 'B-']	['A-', 'B-', 'C-', 'D-', 'E-', 'G-']
bI75432	['C-', 'D-', 'E-', 'F-', 'G-', 'B-']	['A-', 'B-', 'C', 'D-', 'E-', 'G-']
bI+75432	['C-', 'D-', 'E-', 'F-', 'G', 'B-']	['A-', 'B-', 'C', 'D-', 'E', 'G-']
biio75432	['D-', 'E-', 'F-', 'G-', 'A--', 'C--']	['B-', 'C-', 'D-', 'E-', 'F-', 'A--']
bii75432	['D-', 'E-', 'F-', 'G-', 'A-', 'C-']	['B-', 'C-', 'D-', 'E-', 'F', 'A-']
bII75432	['D-', 'E-', 'F', 'G-', 'A-', 'C-']	['B-', 'C-', 'D', 'E-', 'F', 'A-']
bII+75432	['D-', 'E-', 'F', 'G-', 'A', 'C-']	['B-', 'C-', 'D', 'E-', 'F#', 'A-']
biiio75432	['E-', 'F-', 'G-', 'A-', 'B--', 'D--']	['C-', 'D-', 'E--', 'F-', 'G--', 'B---']
biii75432	['E-', 'F-', 'G-', 'A-', 'B-', 'D-']	['C-', 'D-', 'E--', 'F-', 'G-', 'B-']
bIII75432	['E-', 'F-', 'G', 'A-', 'B-', 'D-']	['C-', 'D-', 'E-', 'F-', 'G-', 'B-']
bIII+75432	['E-', 'F-', 'G', 'A-', 'B', 'D-']	['C-', 'D-', 'E-', 'F-', 'G', 'B-']
bivo75432	['F-', 'G-', 'A--', 'B-', 'C--', 'E---']	['D-', 'E-', 'F-', 'G-', 'A--', 'C--']
biv75432	['F-', 'G-', 'A--', 'B-', 'C-', 'E-']	['D-', 'E-', 'F-', 'G-', 'A-', 'C-']
bIV75432	['F-', 'G-', 'A-', 'B-', 'C-', 'E-']	['D-', 'E-', 'F', 'G-', 'A-', 'C-']
