Figure	MajorContext	MinorContext
bio87643	['G--', 'B---', 'C-', 'E--', 'F-', 'G-']	['E--', 'G--', 'A-', 'C-', 'D-', 'E-']
bi87643	['G-', 'B-', 'C-', 'E--', 'F-', 'G-']	['E-', 'G-', 'A-', 'C-', 'D-', 'E-']
bI87643	['G-', 'B-', 'C-', 'E-', 'F-', 'G-']	['E-', 'G-', 'A-', 'C', 'D-', 'E-']
bI+87643	['G', 'B-', 'C-', 'E-', 'F-', 'G-']	['E', 'G-', 'A-', 'C', 'D-', 'E-']
biio87643	['A--', 'C--', 'D-', 'F-', 'G-', 'A-']	['F-', 'A--', 'B-', 'D-', 'E-', 'F-']
bii87643	['A-', 'C-', 'D-', 'F-', 'G-', 'A-']	['F', 'A-', 'B-', 'D-', 'E-', 'F-']
bII87643	['A-', 'C-', 'D-', 'F', 'G-', 'A-']	['F', 'A-', 'B-', 'D', 'E-', 'F-']
bII+87643	['A', 'C-', 'D-', 'F', 'G-', 'A-']	['F#', 'A-', 'B-', 'D', 'E-', 'F-']
biiio87643	['B--', 'D--', 'E-', 'G-', 'A-', 'B-']	['G--', 'B---', 'C-', 'E--', 'F-', 'G-']
biii87643	['B-', 'D-', 'E-', 'G-', 'A-', 'B-']	['G-', 'B-', 'C-', 'E--', 'F-', 'G-']
bIII87643	['B-', 'D-', 'E-', 'G', 'A-', 'B-']	['G-', 'B-', 'C-', 'E-', 'F-', 'G-']
bIII+87643	['B', 'D-', 'E-', 'G', 'A-', 'B-']	['G', 'B-', 'C-', 'E-', 'F-', 'G-']
bivo87643	['C--', 'E---', 'F-', 'A--', 'B-', 'C-']	['A--', 'C--', 'D-', 'F-', 'G-', 'A-']
biv87643	['C-', 'E-', 'F-', 'A--', 'B-', 'C-']	['A-', 'C-', 'D-', 'F-', 'G-', 'A-']
bIV87643	['C-', 'E-', 'F-', 'A-', 'B-', 'C-']	['A-', 'C-', 'D-', 'F', 'G-', 'A-']
bIV+87643	['C', 'E-', 'F-', 'A-', 'B-', 'C-']	['A', 'C-', 'D-', 'F', 'G-', 'A-']
bvo87643	['D--', 'F--', 'G-', 'B--', 'C-', 'D-']	['B--', 'D--', 'E-', 'G-', 'A-', 'B-']
bv87643	['D-', 'F-', 'G-', 'B--', 'C-', 'D-']	['B-', 'D-', 'E-', 'G-', 'A-', 'B-']
bV87643	['D-', 'F-', 'G-', 'B-', 'C-', 'D-']	['B-', 'D-', 'E-', 'G', 'A-', 'B-']
bV+87643	['D', 'F-', 'G-', 'B-', 'C-', 'D-']	['B', 'D-', 'E-', 'G', 'A-', 'B-']
bvio87643	['E--', 'G--', 'A-', 'C-', 'D-', 'E-']	['C-', 'E--', 'F', 'A-', 'B', 'C']
bvi87643	['E-', 'G-', 'A-', 'C-', 'D-', 'E-']	['C', 'E', 'F', 'A-', 'B', 'C']
bVI87643	['E-', 'G-', 'A-', 'C', 'D-', 'E-']	['C-', 'E-', 'F-', 'A-', 'B-', 'C-']
bVI+87643	['E', 'G-', 'A-', 'C', 'D-', 'E-']	['C', 'E-', 'F-', 'A-', 'B-', 'C-']
bviio87643	['F-', 'A--', 'B-', 'D-', 'E-', 'F-']	['D-', 'F-', 'G', 'B-', 'C', 'D']
bvii87643	['F', 'A-', 'B-', 'D-', 'E-', 'F-']	['D', 'F', 'G', 'B-', 'C', 'D']
bVII87643	['F', 'A-', 'B-', 'D', 'E-', 'F-']	['D-', 'F-', 'G-', 'B-', 'C-', 'D-']
bVII+87643	['F#', 'A-', 'B-', 'D', 'E-', 'F-']	['D', 'F-', 'G-', 'B-', 'C-', 'D-']
io87643	['G-', 'B--', 'C', 'E-', 'F', 'G']	['E-', 'G-', 'A', 'C', 'D', 'E']
i87643	['G', 'B', 'C', 'E-', 'F', 'G']	['E', 'G', 'A', 'C', 'D', 'E']
I87643	['G', 'B', 'C', 'E', 'F', 'G']	['E', 'G', 'A', 'C#', 'D', 'E']
I+87643	['G#', 'B', 'C', 'E', 'F', 'G']	['E#', 'G', 'A', 'C#', 'D', 'E']
iio87643	['A-', 'C-', 'D', 'F', 'G', 'A']	['F', 'A-', 'B', 'D', 'E', 'F']
ii87643	['A', 'C', 'D', 'F', 'G', 'A']	['F#', 'A', 'B', 'D', 'E', 'F']
II87643	['A', 'C', 'D', 'F#', 'G', 'A']	['F#', 'A', 'B', 'D#', 'E', 'F']
II+87643	['A#', 'C', 'D', 'F#', 'G', 'A']	['F##', 'A', 'B', 'D#', 'E', 'F']
iiio87643	['B-', 'D-', 'E', 'G', 'A', 'B']	['G-', 'B--', 'C', 'E-', 'F', 'G']
iii87643	['B', 'D', 'E', 'G', 'A', 'B']	['G', 'B', 'C', 'E-', 'F', 'G']
III87643	['B', 'D', 'E', 'G#', 'A', 'B']	['G', 'B', 'C', 'E', 'F', 'G']
III+87643	['B#', 'D', 'E', 'G#', 'A', 'B']	['G#', 'B', 'C', 'E', 'F', 'G']
ivo87643	['C-', 'E--', 'F', 'A-', 'B', 'C']	['A-', 'C-', 'D', 'F', 'G', 'A']
iv87643	['C', 'E', 'F', 'A-', 'B', 'C']	['A', 'C', 'D', 'F', 'G', 'A']
IV87643	['C', 'E', 'F', 'A', 'B', 'C']	['A', 'C', 'D', 'F#', 'G', 'A']
IV+87643	['C#', 'E', 'F', 'A', 'B', 'C']	['A#', 'C', 'D', 'F#', 'G', 'A']
vo87643	['D-', 'F-', 'G', 'B-', 'C', 'D']	['B-', 'D-', 'E', 'G', 'A', 'B']
v87643	['D', 'F', 'G', 'B-', 'C', 'D']	['B', 'D', 'E', 'G', 'A', 'B']
V87643	['D', 'F', 'G', 'B', 'C', 'D']	['B', 'D', 'E', 'G#', 'A', 'B']
V+87643	['D#', 'F', 'G', 'B', 'C', 'D']	['B#', 'D', 'E', 'G#', 'A', 'B']
vio87643	['E-', 'G-', 'A', 'C', 'D', 'E']	['C', 'E-', 'F#', 'A', 'B#', 'C#']
vi87643	['E', 'G', 'A', 'C', 'D', 'E']	['C#', 'E#', 'F#', 'A', 'B#', 'C#']
VI87643	['E', 'G', 'A', 'C#', 'D', 'E']	['C', 'E', 'F', 'A', 'B', 'C']
VI+87643	['E#', 'G', 'A', 'C#', 'D', 'E']	['C#', 'E', 'F', 'A', 'B', 'C']
viio87643	['F', 'A-', 'B', 'D', 'E', 'F']	['D', 'F', 'G#', 'B', 'C#', 'D#']
vii87643	['F#', 'A', 'B', 'D', 'E', 'F']	['D#', 'F#', 'G#', 'B', 'C#', 'D#']
VII87643	['F#', 'A', 'B', 'D#', 'E', 'F']	['D', 'F', 'G', 'B', 'C', 'D']
VII+87643	['F##', 'A', 'B', 'D#', 'E', 'F']	['D#', 'F', 'G', 'B', 'C', 'D']
#io87643	['G', 'B-', 'C#', 'E', 'F#', 'G#']	['E', 'G', 'A#', 'C#', 'D#', 'E#']
#i87643	['G#', 'B#', 'C#', 'E', 'F#', 'G#']	['E#', 'G#', 'A#', 'C#', 'D#', 'E#']
#I87643	['G#', 'B#', 'C#', 'E#', 'F#', 'G#']	['E#', 'G#', 'A#', 'C##', 'D#', 'E#']
#I+87643	['G##', 'B#', 'C#', 'E#', 'F#', 'G#']	['E##', 'G#', 'A#', 'C##', 'D#', 'E#']
#iio87643	['A', 'C', 'D#', 'F#', 'G#', 'A#']	['F#', 'A', 'B#', 'D#', 'E#', 'F#']
#ii87643	['A#', 'C#', 'D#', 'F#', 'G#', 'A#']	['F##', 'A#', 'B#', 'D#', 'E#', 'F#']
#II87643	['A#', 'C#', 'D#', 'F##', 'G#', 'A#']	['F##', 'A#', 'B#', 'D##', 'E#', 'F#']
#II+87643	['A##', 'C#', 'D#', 'F##', 'G#', 'A#']	['F###', 'A#', 'B#', 'D##', 'E#', 'F#']
#iiio87643	['B', 'D', 'E#', 'G#', 'A#', 'B#']	['G', 'B-', 'C#', 'E', 'F#', 'G#']
#iii87643	['B#', 'D#', 'E#', 'G#', 'A#', 'B#']	['G#', 'B#', 'C#', 'E', 'F#', 'G#']
#III87643	['B#', 'D#', 'E#', 'G##', 'A#', 'B#']	['G#', 'B#', 'C#', 'E#', 'F#', 'G#']
#III+87643	['B##', 'D#', 'E#', 'G##', 'A#', 'B#']	['G##', 'B#', 'C#', 'E#', 'F#', 'G#']
#ivo87643	['C', 'E-', 'F#', 'A', 'B#', 'C#']	['A', 'C', 'D#', 'F#', 'G#', 'A#']
#iv87643	['C#', 'E#', 'F#', 'A', 'B#', 'C#']	['A#', 'C#', 'D#', 'F#', 'G#', 'A#']
#IV87643	['C#', 'E#', 'F#', 'A#', 'B#', 'C#']	['A#', 'C#', 'D#', 'F##', 'G#', 'A#']
#IV+87643	['C##', 'E#', 'F#', 'A#', 'B#', 'C#']	['A##', 'C#', 'D#', 'F##', 'G#', 'A#']
#vo87643	['D', 'F', 'G#', 'B', 'C#', 'D#']	['B', 'D', 'E#', 'G#', 'A#', 'B#']
#v87643	['D#', 'F#', 'G#', 'B', 'C#', 'D#']	['B#', 'D#', 'E#', 'G#', 'A#', 'B#']
#V87643	['D#', 'F#', 'G#', 'B#', 'C#', 'D#']	['B#', 'D#', 'E#', 'G##', 'A#', 'B#']
#V+87643	['D##', 'F#', 'G#', 'B#', 'C#', 'D#']	['B##', 'D#', 'E#', 'G##', 'A#', 'B#']
#vio87643	['E', 'G', 'A#', 'C#', 'D#', 'E#']	['C#', 'E', 'F##', 'A#', 'B##', 'C##']
#vi87643	['E#', 'G#', 'A#', 'C#', 'D#', 'E#']	['C##', 'E##', 'F##', 'A#', 'B##', 'C##']
#VI87643	['E#', 'G#', 'A#', 'C##', 'D#', 'E#']	['C#', 'E#', 'F#', 'A#', 'B#', 'C#']
#VI+87643	['E##', 'G#', 'A#', 'C##', 'D#', 'E#']	['C##', 'E#', 'F#', 'A#', 'B#', 'C#']
#viio87643	['F#', 'A', 'B#', 'D#', 'E#', 'F#']	['D#', 'F#', 'G##', 'B#', 'C##', 'D##']
#vii87643	['F##', 'A#', 'B#', 'D#', 'E#', 'F#']	['D##', 'F##', 'G##', 'B#', 'C##', 'D##']
#VII87643	['F##', 'A#', 'B#', 'D##', 'E#', 'F#']	['D#', 'F#', 'G#', 'B#', 'C#', 'D#']
#VII+87643	['F###', 'A#', 'B#', 'D##', 'E#', 'F#']	['D##', 'F#', 'G#', 'B#', 'C#', 'D#']
