Figure	MajorContext	MinorContext
bio985432	['C-', 'D-', 'E--', 'F-', 'G--', 'C-', 'D-']	['A-', 'B-', 'C-', 'D-', 'E--', 'A-', 'B-']
bi985432	['C-', 'D-', 'E--', 'F-', 'G-', 'C-', 'D-']	['A-', 'B-', 'C-', 'D-', 'E-', 'A-', 'B-']
bI985432	['C-', 'D-', 'E-', 'F-', 'G-', 'C-', 'D-']	['A-', 'B-', 'C', 'D-', 'E-', 'A-', 'B-']
bI+985432	['C-', 'D-', 'E-', 'F-', 'G', 'C-', 'D-']	['A-', 'B-', 'C', 'D-', 'E', 'A-', 'B-']
biio985432	['D-', 'E-', 'F-', 'G-', 'A--', 'D-', 'E-']	['B-', 'C-', 'D-', 'E-', 'F-', 'B-', 'C-']
bii985432	['D-', 'E-', 'F-', 'G-', 'A-', 'D-', 'E-']	['B-', 'C-', 'D-', 'E-', 'F', 'B-', 'C-']
bII985432	['D-', 'E-', 'F', 'G-', 'A-', 'D-', 'E-']	['B-', 'C-', 'D', 'E-', 'F', 'B-', 'C-']
bII+985432	['D-', 'E-', 'F', 'G-', 'A', 'D-', 'E-']	['B-', 'C-', 'D', 'E-', 'F#', 'B-', 'C-']
biiio985432	['E-', 'F-', 'G-', 'A-', 'B--', 'E-', 'F-']	['C-', 'D-', 'E--', 'F-', 'G--', 'C-', 'D-']
biii985432	['E-', 'F-', 'G-', 'A-', 'B-', 'E-', 'F-']	['C-', 'D-', 'E--', 'F-', 'G-', 'C-', 'D-']
bIII985432	['E-', 'F-', 'G', 'A-', 'B-', 'E-', 'F-']	['C-', 'D-', 'E-', 'F-', 'G-', 'C-', 'D-']
bIII+985432	['E-', 'F-', 'G', 'A-', 'B', 'E-', 'F-']	['C-', 'D-', 'E-', 'F-', 'G', 'C-', 'D-']
bivo985432	['F-', 'G-', 'A--', 'B-', 'C--', 'F-', 'G-']	['D-', 'E-', 'F-', 'G-', 'A--', 'D-', 'E-']
biv985432	['F-', 'G-', 'A--', 'B-', 'C-', 'F-', 'G-']	['D-', 'E-', 'F-', 'G-', 'A-', 'D-', 'E-']
bIV985432	['F-', 'G-', 'A-', 'B-', 'C-', 'F-', 'G-']	['D-', 'E-', 'F', 'G-', 'A-', 'D-', 'E-']
bIV+985432	['F-', 'G-', 'A-', 'B-', 'C', 'F-', 'G-']	['D-', 'E-', 'F', 'G-', 'A', 'D-', 'E-']
bvo985432	['G-', 'A-', 'B--', 'C-', 'D--', 'G-', 'A-']	['E-', 'F-', 'G-', 'A-', 'B--', 'E-', 'F-']
bv985432	['G-', 'A-', 'B--', 'C-', 'D-', 'G-', 'A-']	['E-', 'F-', 'G-', 'A-', 'B-', 'E-', 'F-']
bV985432	['G-', 'A-', 'B-', 'C-', 'D-', 'G-', 'A-']	['E-', 'F-', 'G', 'A-', 'B-', 'E-', 'F-']
bV+985432	['G-', 'A-', 'B-', 'C-', 'D', 'G-', 'A-']	['E-', 'F-', 'G', 'A-', 'B', 'E-', 'F-']
bvio985432	['A-', 'B-', 'C-', 'D-', 'E--', 'A-', 'B-']	['F', 'G', 'A-', 'B', 'C-', 'F', 'G']
bvi985432	['A-', 'B-', 'C-', 'D-', 'E-', 'A-', 'B-']	['F', 'G', 'A-', 'B', 'C', 'F', 'G']
bVI985432	['A-', 'B-', 'C', 'D-', 'E-', 'A-', 'B-']	['F-', 'G-', 'A-', 'B-', 'C-', 'F-', 'G-']
bVI+985432	['A-', 'B-', 'C', 'D-', 'E', 'A-', 'B-']	['F-', 'G-', 'A-', 'B-', 'C', 'F-', 'G-']
bviio985432	['B-', 'C-', 'D-', 'E-', 'F-', 'B-', 'C-']	['G', 'A', 'B-', 'C', 'D-', 'G', 'A']
bvii985432	['B-', 'C-', 'D-', 'E-', 'F', 'B-', 'C-']	['G', 'A', 'B-', 'C', 'D', 'G', 'A']
bVII985432	['B-', 'C-', 'D', 'E-', 'F', 'B-', 'C-']	['G-', 'A-', 'B-', 'C-', 'D-', 'G-', 'A-']
bVII+985432	['B-', 'C-', 'D', 'E-', 'F#', 'B-', 'C-']	['G-', 'A-', 'B-', 'C-', 'D', 'G-', 'A-']
io985432	['C', 'D', 'E-', 'F', 'G-', 'C', 'D']	['A', 'B', 'C', 'D', 'E-', 'A', 'B']
i985432	['C', 'D', 'E-', 'F', 'G', 'C', 'D']	['A', 'B', 'C', 'D', 'E', 'A', 'B']
I985432	['C', 'D', 'E', 'F', 'G', 'C', 'D']	['A', 'B', 'C#', 'D', 'E', 'A', 'B']
I+985432	['C', 'D', 'E', 'F', 'G#', 'C', 'D']	['A', 'B', 'C#', 'D', 'E#', 'A', 'B']
iio985432	['D', 'E', 'F', 'G', 'A-', 'D', 'E']	['B', 'C', 'D', 'E', 'F', 'B', 'C']
ii985432	['D', 'E', 'F', 'G', 'A', 'D', 'E']	['B', 'C', 'D', 'E', 'F#', 'B', 'C']
II985432	['D', 'E', 'F#', 'G', 'A', 'D', 'E']	['B', 'C', 'D#', 'E', 'F#', 'B', 'C']
