Figure	MajorContext	MinorContext
bio9843	['B---', 'D-', 'E--', 'B-', 'C-']	['G--', 'B-', 'C-', 'G-', 'A-']
bi9843	['B-', 'D-', 'E--', 'B-', 'C-']	['G-', 'B-', 'C-', 'G-', 'A-']
bI9843	['B-', 'D-', 'E-', 'B-', 'C-']	['G-', 'B-', 'C', 'G-', 'A-']
bI+9843	['B-', 'D-', 'E-', 'B-', 'C-']	['G-', 'B-', 'C', 'G-', 'A-']
biio9843	['C--', 'E-', 'F-', 'C-', 'D-']	['A--', 'C-', 'D-', 'A-', 'B-']
bii9843	['C-', 'E-', 'F-', 'C-', 'D-']	['A-', 'C-', 'D-', 'A-', 'B-']
bII9843	['C-', 'E-', 'F', 'C-', 'D-']	['A-', 'C-', 'D', 'A-', 'B-']
bII+9843	['C-', 'E-', 'F', 'C-', 'D-']	['A-', 'C-', 'D', 'A-', 'B-']
biiio9843	['D--', 'F-', 'G-', 'D-', 'E-']	['B---', 'D-', 'E--', 'B-', 'C-']
biii9843	['D-', 'F-', 'G-', 'D-', 'E-']	['B-', 'D-', 'E--', 'B-', 'C-']
bIII9843	['D-', 'F-', 'G', 'D-', 'E-']	['B-', 'D-', 'E-', 'B-', 'C-']
bIII+9843	['D-', 'F-', 'G', 'D-', 'E-']	['B-', 'D-', 'E-', 'B-', 'C-']
bivo9843	['E---', 'G-', 'A--', 'E-', 'F-']	['C--', 'E-', 'F-', 'C-', 'D-']
biv9843	['E-', 'G-', 'A--', 'E-', 'F-']	['C-', 'E-', 'F-', 'C-', 'D-']
bIV9843	['E-', 'G-', 'A-', 'E-', 'F-']	['C-', 'E-', 'F', 'C-', 'D-']
bIV+9843	['E-', 'G-', 'A-', 'E-', 'F-']	['C-', 'E-', 'F', 'C-', 'D-']
bvo9843	['F--', 'A-', 'B--', 'F-', 'G-']	['D--', 'F-', 'G-', 'D-', 'E-']
bv9843	['F-', 'A-', 'B--', 'F-', 'G-']	['D-', 'F-', 'G-', 'D-', 'E-']
bV9843	['F-', 'A-', 'B-', 'F-', 'G-']	['D-', 'F-', 'G', 'D-', 'E-']
bV+9843	['F-', 'A-', 'B-', 'F-', 'G-']	['D-', 'F-', 'G', 'D-', 'E-']
bvio9843	['G--', 'B-', 'C-', 'G-', 'A-']	['E--', 'G', 'A-', 'E', 'F']
bvi9843	['G-', 'B-', 'C-', 'G-', 'A-']	['E', 'G', 'A-', 'E', 'F']
bVI9843	['G-', 'B-', 'C', 'G-', 'A-']	['E-', 'G-', 'A-', 'E-', 'F-']
bVI+9843	['G-', 'B-', 'C', 'G-', 'A-']	['E-', 'G-', 'A-', 'E-', 'F-']
bviio9843	['A--', 'C-', 'D-', 'A-', 'B-']	['F-', 'A', 'B-', 'F', 'G']
bvii9843	['A-', 'C-', 'D-', 'A-', 'B-']	['F', 'A', 'B-', 'F', 'G']
bVII9843	['A-', 'C-', 'D', 'A-', 'B-']	['F-', 'A-', 'B-', 'F-', 'G-']
bVII+9843	['A-', 'C-', 'D', 'A-', 'B-']	['F-', 'A-', 'B-', 'F-', 'G-']
io9843	['B--', 'D', 'E-', 'B', 'C']	['G-', 'B', 'C', 'G', 'A']
i9843	['B', 'D', 'E-', 'B', 'C']	['G', 'B', 'C', 'G', 'A']
I9843	['B', 'D', 'E', 'B', 'C']	['G', 'B', 'C#', 'G', 'A']
I+9843	['B', 'D', 'E', 'B', 'C']	['G', 'B', 'C#', 'G', 'A']
iio9843	['C-', 'E', 'F', 'C', 'D']	['A-', 'C', 'D', 'A', 'B']
ii9843	['C', 'E', 'F', 'C', 'D']	['A', 'C', 'D', 'A', 'B']
II9843	['C', 'E', 'F#', 'C', 'D']	['A', 'C', 'D#', 'A', 'B']
II+9843	['C', 'E', 'F#', 'C', 'D']	['A', 'C', 'D#', 'A', 'B']
iiio9843	['D-', 'F', 'G', 'D', 'E']	['B--', 'D', 'E-', 'B', 'C']
iii9843	['D', 'F', 'G', 'D', 'E']	['B', 'D', 'E-', 'B', 'C']
III9843	['D', 'F', 'G#', 'D', 'E']	['B', 'D', 'E', 'B', 'C']
III+9843	['D', 'F', 'G#', 'D', 'E']	['B', 'D', 'E', 'B', 'C']
ivo9843	['E--', 'G', 'A-', 'E', 'F']	['C-', 'E', 'F', 'C', 'D']
iv9843	['E', 'G', 'A-', 'E', 'F']	['C', 'E', 'F', 'C', 'D']
IV9843	['E', 'G', 'A', 'E', 'F']	['C', 'E', 'F#', 'C', 'D']
IV+9843	['E', 'G', 'A', 'E', 'F']	['C', 'E', 'F#', 'C', 'D']
vo9843	['F-', 'A', 'B-', 'F', 'G']	['D-', 'F', 'G', 'D', 'E']
v9843	['F', 'A', 'B-', 'F', 'G']	['D', 'F', 'G', 'D', 'E']
V9843	['F', 'A', 'B', 'F', 'G']	['D', 'F', 'G#', 'D', 'E']
V+9843	['F', 'A', 'B', 'F', 'G']	['D', 'F', 'G#', 'D', 'E']
vio9843	['G-', 'B', 'C', 'G', 'A']	['E-', 'G#', 'A', 'E#', 'F#']
vi9843	['G', 'B', 'C', 'G', 'A']	['E#', 'G#', 'A', 'E#', 'F#']
VI9843	['G', 'B', 'C#', 'G', 'A']	['E', 'G', 'A', 'E', 'F']
VI+9843	['G', 'B', 'C#', 'G', 'A']	['E', 'G', 'A', 'E', 'F']
viio9843	['A-', 'C', 'D', 'A', 'B']	['F', 'A#', 'B', 'F#', 'G#']
vii9843	['A', 'C', 'D', 'A', 'B']	['F#', 'A#', 'B', 'F#', 'G#']
VII9843	['A', 'C', 'D#', 'A', 'B']	['F', 'A', 'B', 'F', 'G']
VII+9843	['A', 'C', 'D#', 'A', 'B']	['F', 'A', 'B', 'F', 'G']
#io9843	['B-', 'D#', 'E', 'B#', 'C#']	['G', 'B#', 'C#', 'G#', 'A#']
#i9843	['B#', 'D#', 'E', 'B#', 'C#']	['G#', 'B#', 'C#', 'G#', 'A#']
#I9843	['B#', 'D#', 'E#', 'B#', 'C#']	['G#', 'B#', 'C##', 'G#', 'A#']
#I+9843	['B#', 'D#', 'E#', 'B#', 'C#']	['G#', 'B#', 'C##', 'G#', 'A#']
#iio9843	['C', 'E#', 'F#', 'C#', 'D#']	['A', 'C#', 'D#', 'A#', 'B#']
#ii9843	['C#', 'E#', 'F#', 'C#', 'D#']	['A#', 'C#', 'D#', 'A#', 'B#']
#II9843	['C#', 'E#', 'F##', 'C#', 'D#']	['A#', 'C#', 'D##', 'A#', 'B#']
#II+9843	['C#', 'E#', 'F##', 'C#', 'D#']	['A#', 'C#', 'D##', 'A#', 'B#']
#iiio9843	['D', 'F#', 'G#', 'D#', 'E#']	['B-', 'D#', 'E', 'B#', 'C#']
#iii9843	['D#', 'F#', 'G#', 'D#', 'E#']	['B#', 'D#', 'E', 'B#', 'C#']
#III9843	['D#', 'F#', 'G##', 'D#', 'E#']	['B#', 'D#', 'E#', 'B#', 'C#']
#III+9843	['D#', 'F#', 'G##', 'D#', 'E#']	['B#', 'D#', 'E#', 'B#', 'C#']
#ivo9843	['E-', 'G#', 'A', 'E#', 'F#']	['C', 'E#', 'F#', 'C#', 'D#']
#iv9843	['E#', 'G#', 'A', 'E#', 'F#']	['C#', 'E#', 'F#', 'C#', 'D#']
#IV9843	['E#', 'G#', 'A#', 'E#', 'F#']	['C#', 'E#', 'F##', 'C#', 'D#']
#IV+9843	['E#', 'G#', 'A#', 'E#', 'F#']	['C#', 'E#', 'F##', 'C#', 'D#']
#vo9843	['F', 'A#', 'B', 'F#', 'G#']	['D', 'F#', 'G#', 'D#', 'E#']
#v9843	['F#', 'A#', 'B', 'F#', 'G#']	['D#', 'F#', 'G#', 'D#', 'E#']
#V9843	['F#', 'A#', 'B#', 'F#', 'G#']	['D#', 'F#', 'G##', 'D#', 'E#']
#V+9843	['F#', 'A#', 'B#', 'F#', 'G#']	['D#', 'F#', 'G##', 'D#', 'E#']
#vio9843	['G', 'B#', 'C#', 'G#', 'A#']	['E', 'G##', 'A#', 'E##', 'F##']
#vi9843	['G#', 'B#', 'C#', 'G#', 'A#']	['E##', 'G##', 'A#', 'E##', 'F##']
#VI9843	['G#', 'B#', 'C##', 'G#', 'A#']	['E#', 'G#', 'A#', 'E#', 'F#']
#VI+9843	['G#', 'B#', 'C##', 'G#', 'A#']	['E#', 'G#', 'A#', 'E#', 'F#']
#viio9843	['A', 'C#', 'D#', 'A#', 'B#']	['F#', 'A##', 'B#', 'F##', 'G##']
#vii9843	['A#', 'C#', 'D#', 'A#', 'B#']	['F##', 'A##', 'B#', 'F##', 'G##']
#VII9843	['A#', 'C#', 'D##', 'A#', 'B#']	['F#', 'A#', 'B#', 'F#', 'G#']
#VII+9843	['A#', 'C#', 'D##', 'A#', 'B#']	['F#', 'A#', 'B#', 'F#', 'G#']
