Figure	MajorContext	MinorContext
bio9876532	['E--', 'F-', 'G--', 'B---', 'C-', 'D-', 'E-', 'F-']	['C-', 'D-', 'E--', 'G--', 'A-', 'B-', 'C-', 'D-']
bi9876532	['E--', 'F-', 'G-', 'B-', 'C-', 'D-', 'E-', 'F-']	['C-', 'D-', 'E-', 'G-', 'A-', 'B-', 'C-', 'D-']
bI9876532	['E-', 'F-', 'G-', 'B-', 'C-', 'D-', 'E-', 'F-']	['C', 'D-', 'E-', 'G-', 'A-', 'B-', 'C-', 'D-']
bI+9876532	['E-', 'F-', 'G', 'B-', 'C-', 'D-', 'E-', 'F-']	['C', 'D-', 'E', 'G-', 'A-', 'B-', 'C-', 'D-']
biio9876532	['F-', 'G-', 'A--', 'C--', 'D-', 'E-', 'F-', 'G-']	['D-', 'E-', 'F-', 'A--', 'B-', 'C-', 'D-', 'E-']
bii9876532	['F-', 'G-', 'A-', 'C-', 'D-', 'E-', 'F-', 'G-']	['D-', 'E-', 'F', 'A-', 'B-', 'C-', 'D-', 'E-']
bII9876532	['F', 'G-', 'A-', 'C-', 'D-', 'E-', 'F-', 'G-']	['D', 'E-', 'F', 'A-', 'B-', 'C-', 'D-', 'E-']
bII+9876532	['F', 'G-', 'A', 'C-', 'D-', 'E-', 'F-', 'G-']	['D', 'E-', 'F#', 'A-', 'B-', 'C-', 'D-', 'E-']
biiio9876532	['G-', 'A-', 'B--', 'D--', 'E-', 'F-', 'G-', 'A-']	['E--', 'F-', 'G--', 'B---', 'C-', 'D-', 'E-', 'F-']
biii9876532	['G-', 'A-', 'B-', 'D-', 'E-', 'F-', 'G-', 'A-']	['E--', 'F-', 'G-', 'B-', 'C-', 'D-', 'E-', 'F-']
bIII9876532	['G', 'A-', 'B-', 'D-', 'E-', 'F-', 'G-', 'A-']	['E-', 'F-', 'G-', 'B-', 'C-', 'D-', 'E-', 'F-']
bIII+9876532	['G', 'A-', 'B', 'D-', 'E-', 'F-', 'G-', 'A-']	['E-', 'F-', 'G', 'B-', 'C-', 'D-', 'E-', 'F-']
bivo9876532	['A--', 'B-', 'C--', 'E---', 'F-', 'G-', 'A-', 'B-']	['F-', 'G-', 'A--', 'C--', 'D-', 'E-', 'F-', 'G-']
biv9876532	['A--', 'B-', 'C-', 'E-', 'F-', 'G-', 'A-', 'B-']	['F-', 'G-', 'A-', 'C-', 'D-', 'E-', 'F-', 'G-']
bIV9876532	['A-', 'B-', 'C-', 'E-', 'F-', 'G-', 'A-', 'B-']	['F', 'G-', 'A-', 'C-', 'D-', 'E-', 'F-', 'G-']
bIV+9876532	['A-', 'B-', 'C', 'E-', 'F-', 'G-', 'A-', 'B-']	['F', 'G-', 'A', 'C-', 'D-', 'E-', 'F-', 'G-']
bvo9876532	['B--', 'C-', 'D--', 'F--', 'G-', 'A-', 'B-', 'C-']	['G-', 'A-', 'B--', 'D--', 'E-', 'F-', 'G-', 'A-']
bv9876532	['B--', 'C-', 'D-', 'F-', 'G-', 'A-', 'B-', 'C-']	['G-', 'A-', 'B-', 'D-', 'E-', 'F-', 'G-', 'A-']
bV9876532	['B-', 'C-', 'D-', 'F-', 'G-', 'A-', 'B-', 'C-']	['G', 'A-', 'B-', 'D-', 'E-', 'F-', 'G-', 'A-']
bV+9876532	['B-', 'C-', 'D', 'F-', 'G-', 'A-', 'B-', 'C-']	['G', 'A-', 'B', 'D-', 'E-', 'F-', 'G-', 'A-']
bvio9876532	['C-', 'D-', 'E--', 'G--', 'A-', 'B-', 'C-', 'D-']	['A-', 'B', 'C-', 'E--', 'F', 'G', 'A', 'B']
bvi9876532	['C-', 'D-', 'E-', 'G-', 'A-', 'B-', 'C-', 'D-']	['A-', 'B', 'C', 'E', 'F', 'G', 'A', 'B']
bVI9876532	['C', 'D-', 'E-', 'G-', 'A-', 'B-', 'C-', 'D-']	['A-', 'B-', 'C-', 'E-', 'F-', 'G-', 'A-', 'B-']
bVI+9876532	['C', 'D-', 'E', 'G-', 'A-', 'B-', 'C-', 'D-']	['A-', 'B-', 'C', 'E-', 'F-', 'G-', 'A-', 'B-']
bviio9876532	['D-', 'E-', 'F-', 'A--', 'B-', 'C-', 'D-', 'E-']	['B-', 'C', 'D-', 'F-', 'G', 'A', 'B', 'C']
bvii9876532	['D-', 'E-', 'F', 'A-', 'B-', 'C-', 'D-', 'E-']	['B-', 'C', 'D', 'F', 'G', 'A', 'B', 'C']
bVII9876532	['D', 'E-', 'F', 'A-', 'B-', 'C-', 'D-', 'E-']	['B-', 'C-', 'D-', 'F-', 'G-', 'A-', 'B-', 'C-']
bVII+9876532	['D', 'E-', 'F#', 'A-', 'B-', 'C-', 'D-', 'E-']	['B-', 'C-', 'D', 'F-', 'G-', 'A-', 'B-', 'C-']
io9876532	['E-', 'F', 'G-', 'B--', 'C', 'D', 'E', 'F']	['C', 'D', 'E-', 'G-', 'A', 'B', 'C', 'D']
i9876532	['E-', 'F', 'G', 'B', 'C', 'D', 'E', 'F']	['C', 'D', 'E', 'G', 'A', 'B', 'C', 'D']
I9876532	['E', 'F', 'G', 'B', 'C', 'D', 'E', 'F']	['C#', 'D', 'E', 'G', 'A', 'B', 'C', 'D']
I+9876532	['E', 'F', 'G#', 'B', 'C', 'D', 'E', 'F']	['C#', 'D', 'E#', 'G', 'A', 'B', 'C', 'D']
iio9876532	['F', 'G', 'A-', 'C-', 'D', 'E', 'F', 'G']	['D', 'E', 'F', 'A-', 'B', 'C', 'D', 'E']
ii9876532	['F', 'G', 'A', 'C', 'D', 'E', 'F', 'G']	['D', 'E', 'F#', 'A', 'B', 'C', 'D', 'E']
II9876532	['F#', 'G', 'A', 'C', 'D', 'E', 'F', 'G']	['D#', 'E', 'F#', 'A', 'B', 'C', 'D', 'E']
II+9876532	['F#', 'G', 'A#', 'C', 'D', 'E', 'F', 'G']	['D#', 'E', 'F##', 'A', 'B', 'C', 'D', 'E']
iiio9876532	['G', 'A', 'B-', 'D-', 'E', 'F', 'G', 'A']	['E-', 'F', 'G-', 'B--', 'C', 'D', 'E', 'F']
iii9876532	['G', 'A', 'B', 'D', 'E', 'F', 'G', 'A']	['E-', 'F', 'G', 'B', 'C', 'D', 'E', 'F']
III9876532	['G#', 'A', 'B', 'D', 'E', 'F', 'G', 'A']	['E', 'F', 'G', 'B', 'C', 'D', 'E', 'F']
III+9876532	['G#', 'A', 'B#', 'D', 'E', 'F', 'G', 'A']	['E', 'F', 'G#', 'B', 'C', 'D', 'E', 'F']
ivo9876532	['A-', 'B', 'C-', 'E--', 'F', 'G', 'A', 'B']	['F', 'G', 'A-', 'C-', 'D', 'E', 'F', 'G']
iv9876532	['A-', 'B', 'C', 'E', 'F', 'G', 'A', 'B']	['F', 'G', 'A', 'C', 'D', 'E', 'F', 'G']
IV9876532	['A', 'B', 'C', 'E', 'F', 'G', 'A', 'B']	['F#', 'G', 'A', 'C', 'D', 'E', 'F', 'G']
IV+9876532	['A', 'B', 'C#', 'E', 'F', 'G', 'A', 'B']	['F#', 'G', 'A#', 'C', 'D', 'E', 'F', 'G']
vo9876532	['B-', 'C', 'D-', 'F-', 'G', 'A', 'B', 'C']	['G', 'A', 'B-', 'D-', 'E', 'F', 'G', 'A']
v9876532	['B-', 'C', 'D', 'F', 'G', 'A', 'B', 'C']	['G', 'A', 'B', 'D', 'E', 'F', 'G', 'A']
V9876532	['B', 'C', 'D', 'F', 'G', 'A', 'B', 'C']	['G#', 'A', 'B', 'D', 'E', 'F', 'G', 'A']
V+9876532	['B', 'C', 'D#', 'F', 'G', 'A', 'B', 'C']	['G#', 'A', 'B#', 'D', 'E', 'F', 'G', 'A']
vio9876532	['C', 'D', 'E-', 'G-', 'A', 'B', 'C', 'D']	['A', 'B#', 'C', 'E-', 'F#', 'G#', 'A#', 'B#']
vi9876532	['C', 'D', 'E', 'G', 'A', 'B', 'C', 'D']	['A', 'B#', 'C#', 'E#', 'F#', 'G#', 'A#', 'B#']
VI9876532	['C#', 'D', 'E', 'G', 'A', 'B', 'C', 'D']	['A', 'B', 'C', 'E', 'F', 'G', 'A', 'B']
VI+9876532	['C#', 'D', 'E#', 'G', 'A', 'B', 'C', 'D']	['A', 'B', 'C#', 'E', 'F', 'G', 'A', 'B']
viio9876532	['D', 'E', 'F', 'A-', 'B', 'C', 'D', 'E']	['B', 'C#', 'D', 'F', 'G#', 'A#', 'B#', 'C#']
vii9876532	['D', 'E', 'F#', 'A', 'B', 'C', 'D', 'E']	['B', 'C#', 'D#', 'F#', 'G#', 'A#', 'B#', 'C#']
VII9876532	['D#', 'E', 'F#', 'A', 'B', 'C', 'D', 'E']	['B', 'C', 'D', 'F', 'G', 'A', 'B', 'C']
