Figure	MajorContext	MinorContext
bio4	['G--', 'C-']	['E--', 'A-']
bi4	['G-', 'C-']	['E-', 'A-']
bI4	['G-', 'C-']	['E-', 'A-']
bI+4	['G', 'C-']	['E', 'A-']
biio4	['A--', 'D-']	['F-', 'B-']
bii4	['A-', 'D-']	['F', 'B-']
bII4	['A-', 'D-']	['F', 'B-']
bII+4	['A', 'D-']	['F#', 'B-']
biiio4	['B--', 'E-']	['G--', 'C-']
biii4	['B-', 'E-']	['G-', 'C-']
bIII4	['B-', 'E-']	['G-', 'C-']
bIII+4	['B', 'E-']	['G', 'C-']
bivo4	['C--', 'F-']	['A--', 'D-']
biv4	['C-', 'F-']	['A-', 'D-']
bIV4	['C-', 'F-']	['A-', 'D-']
bIV+4	['C', 'F-']	['A', 'D-']
bvo4	['D--', 'G-']	['B--', 'E-']
bv4	['D-', 'G-']	['B-', 'E-']
bV4	['D-', 'G-']	['B-', 'E-']
bV+4	['D', 'G-']	['B', 'E-']
bvio4	['E--', 'A-']	['C-', 'F']
bvi4	['E-', 'A-']	['C', 'F']
bVI4	['E-', 'A-']	['C-', 'F-']
bVI+4	['E', 'A-']	['C', 'F-']
bviio4	['F-', 'B-']	['D-', 'G']
bvii4	['F', 'B-']	['D', 'G']
bVII4	['F', 'B-']	['D-', 'G-']
bVII+4	['F#', 'B-']	['D', 'G-']
io4	['G-', 'C']	['E-', 'A']
i4	['G', 'C']	['E', 'A']
I4	['G', 'C']	['E', 'A']
I+4	['G#', 'C']	['E#', 'A']
iio4	['A-', 'D']	['F', 'B']
ii4	['A', 'D']	['F#', 'B']
II4	['A', 'D']	['F#', 'B']
II+4	['A#', 'D']	['F##', 'B']
iiio4	['B-', 'E']	['G-', 'C']
iii4	['B', 'E']	['G', 'C']
III4	['B', 'E']	['G', 'C']
III+4	['B#', 'E']	['G#', 'C']
ivo4	['C-', 'F']	['A-', 'D']
iv4	['C', 'F']	['A', 'D']
IV4	['C', 'F']	['A', 'D']
IV+4	['C#', 'F']	['A#', 'D']
vo4	['D-', 'G']	['B-', 'E']
v4	['D', 'G']	['B', 'E']
V4	['D', 'G']	['B', 'E']
V+4	['D#', 'G']	['B#', 'E']
vio4	['E-', 'A']	['C', 'F#']
vi4	['E', 'A']	['C#', 'F#']
VI4	['E', 'A']	['C', 'F']
VI+4	['E#', 'A']	['C#', 'F']
viio4	['F', 'B']	['D', 'G#']
vii4	['F#', 'B']	['D#', 'G#']
VII4	['F#', 'B']	['D', 'G']
VII+4	['F##', 'B']	['D#', 'G']
#io4	['G', 'C#']	['E', 'A#']
#i4	['G#', 'C#']	['E#', 'A#']
#I4	['G#', 'C#']	['E#', 'A#']
#I+4	['G##', 'C#']	['E##', 'A#']
#iio4	['A', 'D#']	['F#', 'B#']
#ii4	['A#', 'D#']	['F##', 'B#']
#II4	['A#', 'D#']	['F##', 'B#']
#II+4	['A##', 'D#']	['F###', 'B#']
#iiio4	['B', 'E#']	['G', 'C#']
#iii4	['B#', 'E#']	['G#', 'C#']
#III4	['B#', 'E#']	['G#', 'C#']
#III+4	['B##', 'E#']	['G##', 'C#']
#ivo4	['C', 'F#']	['A', 'D#']
#iv4	['C#', 'F#']	['A#', 'D#']
#IV4	['C#', 'F#']	['A#', 'D#']
#IV+4	['C##', 'F#']	['A##', 'D#']
#vo4	['D', 'G#']	['B', 'E#']
#v4	['D#', 'G#']	['B#', 'E#']
#V4	['D#', 'G#']	['B#', 'E#']
#V+4	['D##', 'G#']	['B##', 'E#']
#vio4	['E', 'A#']	['C#', 'F##']
#vi4	['E#', 'A#']	['C##', 'F##']
#VI4	['E#', 'A#']	['C#', 'F#']
#VI+4	['E##', 'A#']	['C##', 'F#']
#viio4	['F#', 'B#']	['D#', 'G##']
#vii4	['F##', 'B#']	['D##', 'G##']
#VII4	['F##', 'B#']	['D#', 'G#']
#VII+4	['F###', 'B#']	['D##', 'G#']
