Figure	MajorContext	MinorContext
bio54	['G--', 'C-', 'D-']	['E--', 'A-', 'B-']
bi54	['G-', 'C-', 'D-']	['E-', 'A-', 'B-']
bI54	['G-', 'C-', 'D-']	['E-', 'A-', 'B-']
bI+54	['G', 'C-', 'D-']	['E', 'A-', 'B-']
biio54	['A--', 'D-', 'E-']	['F-', 'B-', 'C-']
bii54	['A-', 'D-', 'E-']	['F', 'B-', 'C-']
bII54	['A-', 'D-', 'E-']	['F', 'B-', 'C-']
bII+54	['A', 'D-', 'E-']	['F#', 'B-', 'C-']
biiio54	['B--', 'E-', 'F-']	['G--', 'C-', 'D-']
biii54	['B-', 'E-', 'F-']	['G-', 'C-', 'D-']
bIII54	['B-', 'E-', 'F-']	['G-', 'C-', 'D-']
bIII+54	['B', 'E-', 'F-']	['G', 'C-', 'D-']
bivo54	['C--', 'F-', 'G-']	['A--', 'D-', 'E-']
biv54	['C-', 'F-', 'G-']	['A-', 'D-', 'E-']
bIV54	['C-', 'F-', 'G-']	['A-', 'D-', 'E-']
bIV+54	['C', 'F-', 'G-']	['A', 'D-', 'E-']
bvo54	['D--', 'G-', 'A-']	['B--', 'E-', 'F-']
bv54	['D-', 'G-', 'A-']	['B-', 'E-', 'F-']
bV54	['D-', 'G-', 'A-']	['B-', 'E-', 'F-']
bV+54	['D', 'G-', 'A-']	['B', 'E-', 'F-']
bvio54	['E--', 'A-', 'B-']	['C-', 'F', 'G']
bvi54	['E-', 'A-', 'B-']	['C', 'F', 'G']
bVI54	['E-', 'A-', 'B-']	['C-', 'F-', 'G-']
bVI+54	['E', 'A-', 'B-']	['C', 'F-', 'G-']
bviio54	['F-', 'B-', 'C-']	['D-', 'G', 'A']
bvii54	['F', 'B-', 'C-']	['D', 'G', 'A']
bVII54	['F', 'B-', 'C-']	['D-', 'G-', 'A-']
bVII+54	['F#', 'B-', 'C-']	['D', 'G-', 'A-']
io54	['G-', 'C', 'D']	['E-', 'A', 'B']
i54	['G', 'C', 'D']	['E', 'A', 'B']
I54	['G', 'C', 'D']	['E', 'A', 'B']
I+54	['G#', 'C', 'D']	['E#', 'A', 'B']
iio54	['A-', 'D', 'E']	['F', 'B', 'C']
ii54	['A', 'D', 'E']	['F#', 'B', 'C']
II54	['A', 'D', 'E']	['F#', 'B', 'C']
II+54	['A#', 'D', 'E']	['F##', 'B', 'C']
iiio54	['B-', 'E', 'F']	['G-', 'C', 'D']
iii54	['B', 'E', 'F']	['G', 'C', 'D']
III54	['B', 'E', 'F']	['G', 'C', 'D']
III+54	['B#', 'E', 'F']	['G#', 'C', 'D']
ivo54	['C-', 'F', 'G']	['A-', 'D', 'E']
iv54	['C', 'F', 'G']	['A', 'D', 'E']
IV54	['C', 'F', 'G']	['A', 'D', 'E']
IV+54	['C#', 'F', 'G']	['A#', 'D', 'E']
vo54	['D-', 'G', 'A']	['B-', 'E', 'F']
v54	['D', 'G', 'A']	['B', 'E', 'F']
V54	['D', 'G', 'A']	['B', 'E', 'F']
V+54	['D#', 'G', 'A']	['B#', 'E', 'F']
vio54	['E-', 'A', 'B']	['C', 'F#', 'G#']
vi54	['E', 'A', 'B']	['C#', 'F#', 'G#']
VI54	['E', 'A', 'B']	['C', 'F', 'G']
VI+54	['E#', 'A', 'B']	['C#', 'F', 'G']
viio54	['F', 'B', 'C']	['D', 'G#', 'A#']
vii54	['F#', 'B', 'C']	['D#', 'G#', 'A#']
VII54	['F#', 'B', 'C']	['D', 'G', 'A']
VII+54	['F##', 'B', 'C']	['D#', 'G', 'A']
#io54	['G', 'C#', 'D#']	['E', 'A#', 'B#']
#i54	['G#', 'C#', 'D#']	['E#', 'A#', 'B#']
#I54	['G#', 'C#', 'D#']	['E#', 'A#', 'B#']
#I+54	['G##', 'C#', 'D#']	['E##', 'A#', 'B#']
#iio54	['A', 'D#', 'E#']	['F#', 'B#', 'C#']
#ii54	['A#', 'D#', 'E#']	['F##', 'B#', 'C#']
#II54	['A#', 'D#', 'E#']	['F##', 'B#', 'C#']
#II+54	['A##', 'D#', 'E#']	['F###', 'B#', 'C#']
#iiio54	['B', 'E#', 'F#']	['G', 'C#', 'D#']
#iii54	['B#', 'E#', 'F#']	['G#', 'C#', 'D#']
#III54	['B#', 'E#', 'F#']	['G#', 'C#', 'D#']
#III+54	['B##', 'E#', 'F#']	['G##', 'C#', 'D#']
#ivo54	['C', 'F#', 'G#']	['A', 'D#', 'E#']
#iv54	['C#', 'F#', 'G#']	['A#', 'D#', 'E#']
#IV54	['C#', 'F#', 'G#']	['A#', 'D#', 'E#']
#IV+54	['C##', 'F#', 'G#']	['A##', 'D#', 'E#']
#vo54	['D', 'G#', 'A#']	['B', 'E#', 'F#']
#v54	['D#', 'G#', 'A#']	['B#', 'E#', 'F#']
#V54	['D#', 'G#', 'A#']	['B#', 'E#', 'F#']
#V+54	['D##', 'G#', 'A#']	['B##', 'E#', 'F#']
#vio54	['E', 'A#', 'B#']	['C#', 'F##', 'G##']
#vi54	['E#', 'A#', 'B#']	['C##', 'F##', 'G##']
#VI54	['E#', 'A#', 'B#']	['C#', 'F#', 'G#']
#VI+54	['E##', 'A#', 'B#']	['C##', 'F#', 'G#']
#viio54	['F#', 'B#', 'C#']	['D#', 'G##', 'A##']
#vii54	['F##', 'B#', 'C#']	['D##', 'G##', 'A##']
#VII54	['F##', 'B#', 'C#']	['D#', 'G#', 'A#']
#VII+54	['F###', 'B#', 'C#']	['D##', 'G#', 'A#']
