Figure	MajorContext	MinorContext
bio942	['B---', 'C-', 'E--', 'C-']	['G--', 'A-', 'C-', 'A-']
bi942	['B-', 'C-', 'E--', 'C-']	['G-', 'A-', 'C-', 'A-']
bI942	['B-', 'C-', 'E-', 'C-']	['G-', 'A-', 'C', 'A-']
bI+942	['B-', 'C-', 'E-', 'C-']	['G-', 'A-', 'C', 'A-']
biio942	['C--', 'D-', 'F-', 'D-']	['A--', 'B-', 'D-', 'B-']
bii942	['C-', 'D-', 'F-', 'D-']	['A-', 'B-', 'D-', 'B-']
bII942	['C-', 'D-', 'F', 'D-']	['A-', 'B-', 'D', 'B-']
bII+942	['C-', 'D-', 'F', 'D-']	['A-', 'B-', 'D', 'B-']
biiio942	['D--', 'E-', 'G-', 'E-']	['B---', 'C-', 'E--', 'C-']
biii942	['D-', 'E-', 'G-', 'E-']	['B-', 'C-', 'E--', 'C-']
bIII942	['D-', 'E-', 'G', 'E-']	['B-', 'C-', 'E-', 'C-']
bIII+942	['D-', 'E-', 'G', 'E-']	['B-', 'C-', 'E-', 'C-']
bivo942	['E---', 'F-', 'A--', 'F-']	['C--', 'D-', 'F-', 'D-']
biv942	['E-', 'F-', 'A--', 'F-']	['C-', 'D-', 'F-', 'D-']
bIV942	['E-', 'F-', 'A-', 'F-']	['C-', 'D-', 'F', 'D-']
bIV+942	['E-', 'F-', 'A-', 'F-']	['C-', 'D-', 'F', 'D-']
bvo942	['F--', 'G-', 'B--', 'G-']	['D--', 'E-', 'G-', 'E-']
bv942	['F-', 'G-', 'B--', 'G-']	['D-', 'E-', 'G-', 'E-']
bV942	['F-', 'G-', 'B-', 'G-']	['D-', 'E-', 'G', 'E-']
bV+942	['F-', 'G-', 'B-', 'G-']	['D-', 'E-', 'G', 'E-']
bvio942	['G--', 'A-', 'C-', 'A-']	['E--', 'F', 'A-', 'F']
bvi942	['G-', 'A-', 'C-', 'A-']	['E', 'F', 'A-', 'F']
