Figure	MajorContext	MinorContext
bio7432	['D-', 'E--', 'F-', 'G--', 'C-']	['B-', 'C-', 'D-', 'E--', 'A-']
bi7432	['D-', 'E--', 'F-', 'G-', 'C-']	['B-', 'C-', 'D-', 'E-', 'A-']
bI7432	['D-', 'E-', 'F-', 'G-', 'C-']	['B-', 'C', 'D-', 'E-', 'A-']
bI+7432	['D-', 'E-', 'F-', 'G', 'C-']	['B-', 'C', 'D-', 'E', 'A-']
biio7432	['E-', 'F-', 'G-', 'A--', 'D-']	['C-', 'D-', 'E-', 'F-', 'B-']
bii7432	['E-', 'F-', 'G-', 'A-', 'D-']	['C-', 'D-', 'E-', 'F', 'B-']
bII7432	['E-', 'F', 'G-', 'A-', 'D-']	['C-', 'D', 'E-', 'F', 'B-']
bII+7432	['E-', 'F', 'G-', 'A', 'D-']	['C-', 'D', 'E-', 'F#', 'B-']
biiio7432	['F-', 'G-', 'A-', 'B--', 'E-']	['D-', 'E--', 'F-', 'G--', 'C-']
biii7432	['F-', 'G-', 'A-', 'B-', 'E-']	['D-', 'E--', 'F-', 'G-', 'C-']
bIII7432	['F-', 'G', 'A-', 'B-', 'E-']	['D-', 'E-', 'F-', 'G-', 'C-']
bIII+7432	['F-', 'G', 'A-', 'B', 'E-']	['D-', 'E-', 'F-', 'G', 'C-']
bivo7432	['G-', 'A--', 'B-', 'C--', 'F-']	['E-', 'F-', 'G-', 'A--', 'D-']
biv7432	['G-', 'A--', 'B-', 'C-', 'F-']	['E-', 'F-', 'G-', 'A-', 'D-']
bIV7432	['G-', 'A-', 'B-', 'C-', 'F-']	['E-', 'F', 'G-', 'A-', 'D-']
bIV+7432	['G-', 'A-', 'B-', 'C', 'F-']	['E-', 'F', 'G-', 'A', 'D-']
bvo7432	['A-', 'B--', 'C-', 'D--', 'G-']	['F-', 'G-', 'A-', 'B--', 'E-']
bv7432	['A-', 'B--', 'C-', 'D-', 'G-']	['F-', 'G-', 'A-', 'B-', 'E-']
bV7432	['A-', 'B-', 'C-', 'D-', 'G-']	['F-', 'G', 'A-', 'B-', 'E-']
bV+7432	['A-', 'B-', 'C-', 'D', 'G-']	['F-', 'G', 'A-', 'B', 'E-']
bvio7432	['B-', 'C-', 'D-', 'E--', 'A-']	['G', 'A-', 'B', 'C-', 'F']
bvi7432	['B-', 'C-', 'D-', 'E-', 'A-']	['G', 'A-', 'B', 'C', 'F']
bVI7432	['B-', 'C', 'D-', 'E-', 'A-']	['G-', 'A-', 'B-', 'C-', 'F-']
bVI+7432	['B-', 'C', 'D-', 'E', 'A-']	['G-', 'A-', 'B-', 'C', 'F-']
bviio7432	['C-', 'D-', 'E-', 'F-', 'B-']	['A', 'B-', 'C', 'D-', 'G']
bvii7432	['C-', 'D-', 'E-', 'F', 'B-']	['A', 'B-', 'C', 'D', 'G']
bVII7432	['C-', 'D', 'E-', 'F', 'B-']	['A-', 'B-', 'C-', 'D-', 'G-']
bVII+7432	['C-', 'D', 'E-', 'F#', 'B-']	['A-', 'B-', 'C-', 'D', 'G-']
io7432	['D', 'E-', 'F', 'G-', 'C']	['B', 'C', 'D', 'E-', 'A']
i7432	['D', 'E-', 'F', 'G', 'C']	['B', 'C', 'D', 'E', 'A']
I7432	['D', 'E', 'F', 'G', 'C']	['B', 'C#', 'D', 'E', 'A']
I+7432	['D', 'E', 'F', 'G#', 'C']	['B', 'C#', 'D', 'E#', 'A']
iio7432	['E', 'F', 'G', 'A-', 'D']	['C', 'D', 'E', 'F', 'B']
ii7432	['E', 'F', 'G', 'A', 'D']	['C', 'D', 'E', 'F#', 'B']
II7432	['E', 'F#', 'G', 'A', 'D']	['C', 'D#', 'E', 'F#', 'B']
II+7432	['E', 'F#', 'G', 'A#', 'D']	['C', 'D#', 'E', 'F##', 'B']
iiio7432	['F', 'G', 'A', 'B-', 'E']	['D', 'E-', 'F', 'G-', 'C']
iii7432	['F', 'G', 'A', 'B', 'E']	['D', 'E-', 'F', 'G', 'C']
III7432	['F', 'G#', 'A', 'B', 'E']	['D', 'E', 'F', 'G', 'C']
III+7432	['F', 'G#', 'A', 'B#', 'E']	['D', 'E', 'F', 'G#', 'C']
ivo7432	['G', 'A-', 'B', 'C-', 'F']	['E', 'F', 'G', 'A-', 'D']
iv7432	['G', 'A-', 'B', 'C', 'F']	['E', 'F', 'G', 'A', 'D']
IV7432	['G', 'A', 'B', 'C', 'F']	['E', 'F#', 'G', 'A', 'D']
IV+7432	['G', 'A', 'B', 'C#', 'F']	['E', 'F#', 'G', 'A#', 'D']
vo7432	['A', 'B-', 'C', 'D-', 'G']	['F', 'G', 'A', 'B-', 'E']
v7432	['A', 'B-', 'C', 'D', 'G']	['F', 'G', 'A', 'B', 'E']
V7432	['A', 'B', 'C', 'D', 'G']	['F', 'G#', 'A', 'B', 'E']
V+7432	['A', 'B', 'C', 'D#', 'G']	['F', 'G#', 'A', 'B#', 'E']
vio7432	['B', 'C', 'D', 'E-', 'A']	['G#', 'A', 'B#', 'C', 'F#']
vi7432	['B', 'C', 'D', 'E', 'A']	['G#', 'A', 'B#', 'C#', 'F#']
VI7432	['B', 'C#', 'D', 'E', 'A']	['G', 'A', 'B', 'C', 'F']
VI+7432	['B', 'C#', 'D', 'E#', 'A']	['G', 'A', 'B', 'C#', 'F']
viio7432	['C', 'D', 'E', 'F', 'B']	['A#', 'B', 'C#', 'D', 'G#']
vii7432	['C', 'D', 'E', 'F#', 'B']	['A#', 'B', 'C#', 'D#', 'G#']
VII7432	['C', 'D#', 'E', 'F#', 'B']	['A', 'B', 'C', 'D', 'G']
VII+7432	['C', 'D#', 'E', 'F##', 'B']	['A', 'B', 'C', 'D#', 'G']
#io7432	['D#', 'E', 'F#', 'G', 'C#']	['B#', 'C#', 'D#', 'E', 'A#']
#i7432	['D#', 'E', 'F#', 'G#', 'C#']	['B#', 'C#', 'D#', 'E#', 'A#']
#I7432	['D#', 'E#', 'F#', 'G#', 'C#']	['B#', 'C##', 'D#', 'E#', 'A#']
#I+7432	['D#', 'E#', 'F#', 'G##', 'C#']	['B#', 'C##', 'D#', 'E##', 'A#']
#iio7432	['E#', 'F#', 'G#', 'A', 'D#']	['C#', 'D#', 'E#', 'F#', 'B#']
#ii7432	['E#', 'F#', 'G#', 'A#', 'D#']	['C#', 'D#', 'E#', 'F##', 'B#']
#II7432	['E#', 'F##', 'G#', 'A#', 'D#']	['C#', 'D##', 'E#', 'F##', 'B#']
#II+7432	['E#', 'F##', 'G#', 'A##', 'D#']	['C#', 'D##', 'E#', 'F###', 'B#']
#iiio7432	['F#', 'G#', 'A#', 'B', 'E#']	['D#', 'E', 'F#', 'G', 'C#']
#iii7432	['F#', 'G#', 'A#', 'B#', 'E#']	['D#', 'E', 'F#', 'G#', 'C#']
