Figure	MajorContext	MinorContext
bio975	['F-', 'C-', 'E--', 'G--']	['D-', 'A-', 'C-', 'E--']
bi975	['F-', 'C-', 'E--', 'G-']	['D-', 'A-', 'C-', 'E-']
bI975	['F-', 'C-', 'E-', 'G-']	['D-', 'A-', 'C', 'E-']
bI+975	['F-', 'C-', 'E-', 'G']	['D-', 'A-', 'C', 'E']
biio975	['G-', 'D-', 'F-', 'A--']	['E-', 'B-', 'D-', 'F-']
bii975	['G-', 'D-', 'F-', 'A-']	['E-', 'B-', 'D-', 'F']
bII975	['G-', 'D-', 'F', 'A-']	['E-', 'B-', 'D', 'F']
bII+975	['G-', 'D-', 'F', 'A']	['E-', 'B-', 'D', 'F#']
biiio975	['A-', 'E-', 'G-', 'B--']	['F-', 'C-', 'E--', 'G--']
biii975	['A-', 'E-', 'G-', 'B-']	['F-', 'C-', 'E--', 'G-']
bIII975	['A-', 'E-', 'G', 'B-']	['F-', 'C-', 'E-', 'G-']
bIII+975	['A-', 'E-', 'G', 'B']	['F-', 'C-', 'E-', 'G']
bivo975	['B-', 'F-', 'A--', 'C--']	['G-', 'D-', 'F-', 'A--']
biv975	['B-', 'F-', 'A--', 'C-']	['G-', 'D-', 'F-', 'A-']
bIV975	['B-', 'F-', 'A-', 'C-']	['G-', 'D-', 'F', 'A-']
bIV+975	['B-', 'F-', 'A-', 'C']	['G-', 'D-', 'F', 'A']
bvo975	['C-', 'G-', 'B--', 'D--']	['A-', 'E-', 'G-', 'B--']
bv975	['C-', 'G-', 'B--', 'D-']	['A-', 'E-', 'G-', 'B-']
bV975	['C-', 'G-', 'B-', 'D-']	['A-', 'E-', 'G', 'B-']
bV+975	['C-', 'G-', 'B-', 'D']	['A-', 'E-', 'G', 'B']
bvio975	['D-', 'A-', 'C-', 'E--']	['B', 'F', 'A-', 'C-']
bvi975	['D-', 'A-', 'C-', 'E-']	['B', 'F', 'A-', 'C']
bVI975	['D-', 'A-', 'C', 'E-']	['B-', 'F-', 'A-', 'C-']
bVI+975	['D-', 'A-', 'C', 'E']	['B-', 'F-', 'A-', 'C']
bviio975	['E-', 'B-', 'D-', 'F-']	['C', 'G', 'B-', 'D-']
bvii975	['E-', 'B-', 'D-', 'F']	['C', 'G', 'B-', 'D']
bVII975	['E-', 'B-', 'D', 'F']	['C-', 'G-', 'B-', 'D-']
bVII+975	['E-', 'B-', 'D', 'F#']	['C-', 'G-', 'B-', 'D']
io975	['F', 'C', 'E-', 'G-']	['D', 'A', 'C', 'E-']
i975	['F', 'C', 'E-', 'G']	['D', 'A', 'C', 'E']
I975	['F', 'C', 'E', 'G']	['D', 'A', 'C#', 'E']
I+975	['F', 'C', 'E', 'G#']	['D', 'A', 'C#', 'E#']
iio975	['G', 'D', 'F', 'A-']	['E', 'B', 'D', 'F']
ii975	['G', 'D', 'F', 'A']	['E', 'B', 'D', 'F#']
II975	['G', 'D', 'F#', 'A']	['E', 'B', 'D#', 'F#']
II+975	['G', 'D', 'F#', 'A#']	['E', 'B', 'D#', 'F##']
iiio975	['A', 'E', 'G', 'B-']	['F', 'C', 'E-', 'G-']
iii975	['A', 'E', 'G', 'B']	['F', 'C', 'E-', 'G']
III975	['A', 'E', 'G#', 'B']	['F', 'C', 'E', 'G']
III+975	['A', 'E', 'G#', 'B#']	['F', 'C', 'E', 'G#']
ivo975	['B', 'F', 'A-', 'C-']	['G', 'D', 'F', 'A-']
iv975	['B', 'F', 'A-', 'C']	['G', 'D', 'F', 'A']
IV975	['B', 'F', 'A', 'C']	['G', 'D', 'F#', 'A']
IV+975	['B', 'F', 'A', 'C#']	['G', 'D', 'F#', 'A#']
vo975	['C', 'G', 'B-', 'D-']	['A', 'E', 'G', 'B-']
v975	['C', 'G', 'B-', 'D']	['A', 'E', 'G', 'B']
V975	['C', 'G', 'B', 'D']	['A', 'E', 'G#', 'B']
V+975	['C', 'G', 'B', 'D#']	['A', 'E', 'G#', 'B#']
vio975	['D', 'A', 'C', 'E-']	['B#', 'F#', 'A', 'C']
vi975	['D', 'A', 'C', 'E']	['B#', 'F#', 'A', 'C#']
VI975	['D', 'A', 'C#', 'E']	['B', 'F', 'A', 'C']
VI+975	['D', 'A', 'C#', 'E#']	['B', 'F', 'A', 'C#']
viio975	['E', 'B', 'D', 'F']	['C#', 'G#', 'B', 'D']
vii975	['E', 'B', 'D', 'F#']	['C#', 'G#', 'B', 'D#']
VII975	['E', 'B', 'D#', 'F#']	['C', 'G', 'B', 'D']
VII+975	['E', 'B', 'D#', 'F##']	['C', 'G', 'B', 'D#']
#io975	['F#', 'C#', 'E', 'G']	['D#', 'A#', 'C#', 'E']
#i975	['F#', 'C#', 'E', 'G#']	['D#', 'A#', 'C#', 'E#']
#I975	['F#', 'C#', 'E#', 'G#']	['D#', 'A#', 'C##', 'E#']
#I+975	['F#', 'C#', 'E#', 'G##']	['D#', 'A#', 'C##', 'E##']
#iio975	['G#', 'D#', 'F#', 'A']	['E#', 'B#', 'D#', 'F#']
#ii975	['G#', 'D#', 'F#', 'A#']	['E#', 'B#', 'D#', 'F##']
#II975	['G#', 'D#', 'F##', 'A#']	['E#', 'B#', 'D##', 'F##']
#II+975	['G#', 'D#', 'F##', 'A##']	['E#', 'B#', 'D##', 'F###']
#iiio975	['A#', 'E#', 'G#', 'B']	['F#', 'C#', 'E', 'G']
#iii975	['A#', 'E#', 'G#', 'B#']	['F#', 'C#', 'E', 'G#']
#III975	['A#', 'E#', 'G##', 'B#']	['F#', 'C#', 'E#', 'G#']
#III+975	['A#', 'E#', 'G##', 'B##']	['F#', 'C#', 'E#', 'G##']
#ivo975	['B#', 'F#', 'A', 'C']	['G#', 'D#', 'F#', 'A']
#iv975	['B#', 'F#', 'A', 'C#']	['G#', 'D#', 'F#', 'A#']
#IV975	['B#', 'F#', 'A#', 'C#']	['G#', 'D#', 'F##', 'A#']
