Figure	MajorContext	MinorContext
bio764	['G--', 'C-', 'E--', 'F-']	['E--', 'A-', 'C-', 'D-']
bi764	['G-', 'C-', 'E--', 'F-']	['E-', 'A-', 'C-', 'D-']
bI764	['G-', 'C-', 'E-', 'F-']	['E-', 'A-', 'C', 'D-']
bI+764	['G', 'C-', 'E-', 'F-']	['E', 'A-', 'C', 'D-']
biio764	['A--', 'D-', 'F-', 'G-']	['F-', 'B-', 'D-', 'E-']
bii764	['A-', 'D-', 'F-', 'G-']	['F', 'B-', 'D-', 'E-']
bII764	['A-', 'D-', 'F', 'G-']	['F', 'B-', 'D', 'E-']
bII+764	['A', 'D-', 'F', 'G-']	['F#', 'B-', 'D', 'E-']
biiio764	['B--', 'E-', 'G-', 'A-']	['G--', 'C-', 'E--', 'F-']
biii764	['B-', 'E-', 'G-', 'A-']	['G-', 'C-', 'E--', 'F-']
bIII764	['B-', 'E-', 'G', 'A-']	['G-', 'C-', 'E-', 'F-']
bIII+764	['B', 'E-', 'G', 'A-']	['G', 'C-', 'E-', 'F-']
bivo764	['C--', 'F-', 'A--', 'B-']	['A--', 'D-', 'F-', 'G-']
biv764	['C-', 'F-', 'A--', 'B-']	['A-', 'D-', 'F-', 'G-']
bIV764	['C-', 'F-', 'A-', 'B-']	['A-', 'D-', 'F', 'G-']
bIV+764	['C', 'F-', 'A-', 'B-']	['A', 'D-', 'F', 'G-']
bvo764	['D--', 'G-', 'B--', 'C-']	['B--', 'E-', 'G-', 'A-']
bv764	['D-', 'G-', 'B--', 'C-']	['B-', 'E-', 'G-', 'A-']
bV764	['D-', 'G-', 'B-', 'C-']	['B-', 'E-', 'G', 'A-']
bV+764	['D', 'G-', 'B-', 'C-']	['B', 'E-', 'G', 'A-']
bvio764	['E--', 'A-', 'C-', 'D-']	['C-', 'F', 'A-', 'B']
bvi764	['E-', 'A-', 'C-', 'D-']	['C', 'F', 'A-', 'B']
bVI764	['E-', 'A-', 'C', 'D-']	['C-', 'F-', 'A-', 'B-']
bVI+764	['E', 'A-', 'C', 'D-']	['C', 'F-', 'A-', 'B-']
bviio764	['F-', 'B-', 'D-', 'E-']	['D-', 'G', 'B-', 'C']
bvii764	['F', 'B-', 'D-', 'E-']	['D', 'G', 'B-', 'C']
bVII764	['F', 'B-', 'D', 'E-']	['D-', 'G-', 'B-', 'C-']
bVII+764	['F#', 'B-', 'D', 'E-']	['D', 'G-', 'B-', 'C-']
io764	['G-', 'C', 'E-', 'F']	['E-', 'A', 'C', 'D']
i764	['G', 'C', 'E-', 'F']	['E', 'A', 'C', 'D']
I764	['G', 'C', 'E', 'F']	['E', 'A', 'C#', 'D']
I+764	['G#', 'C', 'E', 'F']	['E#', 'A', 'C#', 'D']
iio764	['A-', 'D', 'F', 'G']	['F', 'B', 'D', 'E']
ii764	['A', 'D', 'F', 'G']	['F#', 'B', 'D', 'E']
II764	['A', 'D', 'F#', 'G']	['F#', 'B', 'D#', 'E']
II+764	['A#', 'D', 'F#', 'G']	['F##', 'B', 'D#', 'E']
iiio764	['B-', 'E', 'G', 'A']	['G-', 'C', 'E-', 'F']
iii764	['B', 'E', 'G', 'A']	['G', 'C', 'E-', 'F']
III764	['B', 'E', 'G#', 'A']	['G', 'C', 'E', 'F']
III+764	['B#', 'E', 'G#', 'A']	['G#', 'C', 'E', 'F']
ivo764	['C-', 'F', 'A-', 'B']	['A-', 'D', 'F', 'G']
iv764	['C', 'F', 'A-', 'B']	['A', 'D', 'F', 'G']
IV764	['C', 'F', 'A', 'B']	['A', 'D', 'F#', 'G']
IV+764	['C#', 'F', 'A', 'B']	['A#', 'D', 'F#', 'G']
vo764	['D-', 'G', 'B-', 'C']	['B-', 'E', 'G', 'A']
v764	['D', 'G', 'B-', 'C']	['B', 'E', 'G', 'A']
V764	['D', 'G', 'B', 'C']	['B', 'E', 'G#', 'A']
V+764	['D#', 'G', 'B', 'C']	['B#', 'E', 'G#', 'A']
