Figure	MajorContext	MinorContext
bio2	['B---', 'C-', 'E--', 'G--']	['G--', 'A-', 'C-', 'E--']
bi2	['B-', 'C-', 'E--', 'G-']	['G-', 'A-', 'C-', 'E-']
bI2	['B-', 'C-', 'E-', 'G-']	['G-', 'A-', 'C', 'E-']
bI+2	['B-', 'C-', 'E-', 'G']	['G-', 'A-', 'C', 'E']
biio2	['C--', 'D-', 'F-', 'A--']	['A--', 'B-', 'D-', 'F-']
bii2	['C-', 'D-', 'F-', 'A-']	['A-', 'B-', 'D-', 'F']
bII2	['C-', 'D-', 'F', 'A-']	['A-', 'B-', 'D', 'F']
bII+2	['C-', 'D-', 'F', 'A']	['A-', 'B-', 'D', 'F#']
biiio2	['D--', 'E-', 'G-', 'B--']	['B---', 'C-', 'E--', 'G--']
biii2	['D-', 'E-', 'G-', 'B-']	['B-', 'C-', 'E--', 'G-']
bIII2	['D-', 'E-', 'G', 'B-']	['B-', 'C-', 'E-', 'G-']
bIII+2	['D-', 'E-', 'G', 'B']	['B-', 'C-', 'E-', 'G']
bivo2	['E---', 'F-', 'A--', 'C--']	['C--', 'D-', 'F-', 'A--']
biv2	['E-', 'F-', 'A--', 'C-']	['C-', 'D-', 'F-', 'A-']
bIV2	['E-', 'F-', 'A-', 'C-']	['C-', 'D-', 'F', 'A-']
bIV+2	['E-', 'F-', 'A-', 'C']	['C-', 'D-', 'F', 'A']
bvo2	['F--', 'G-', 'B--', 'D--']	['D--', 'E-', 'G-', 'B--']
bv2	['F-', 'G-', 'B--', 'D-']	['D-', 'E-', 'G-', 'B-']
bV2	['F-', 'G-', 'B-', 'D-']	['D-', 'E-', 'G', 'B-']
bV+2	['F-', 'G-', 'B-', 'D']	['D-', 'E-', 'G', 'B']
bvio2	['G--', 'A-', 'C-', 'E--']	['E--', 'F', 'A-', 'C-']
bvi2	['G-', 'A-', 'C-', 'E-']	['E', 'F', 'A-', 'C']
bVI2	['G-', 'A-', 'C', 'E-']	['E-', 'F-', 'A-', 'C-']
bVI+2	['G-', 'A-', 'C', 'E']	['E-', 'F-', 'A-', 'C']
bviio2	['A--', 'B-', 'D-', 'F-']	['F-', 'G', 'B-', 'D-']
bvii2	['A-', 'B-', 'D-', 'F']	['F', 'G', 'B-', 'D']
bVII2	['A-', 'B-', 'D', 'F']	['F-', 'G-', 'B-', 'D-']
bVII+2	['A-', 'B-', 'D', 'F#']	['F-', 'G-', 'B-', 'D']
io2	['B--', 'C', 'E-', 'G-']	['G-', 'A', 'C', 'E-']
i2	['B', 'C', 'E-', 'G']	['G', 'A', 'C', 'E']
I2	['B', 'C', 'E', 'G']	['G', 'A', 'C#', 'E']
