Figure	MajorContext	MinorContext
bio9642	['B---', 'C-', 'E--', 'G--', 'C-']	['G--', 'A-', 'C-', 'E--', 'A-']
bi9642	['B-', 'C-', 'E--', 'G-', 'C-']	['G-', 'A-', 'C-', 'E-', 'A-']
bI9642	['B-', 'C-', 'E-', 'G-', 'C-']	['G-', 'A-', 'C', 'E-', 'A-']
bI+9642	['B-', 'C-', 'E-', 'G', 'C-']	['G-', 'A-', 'C', 'E', 'A-']
biio9642	['C--', 'D-', 'F-', 'A--', 'D-']	['A--', 'B-', 'D-', 'F-', 'B-']
bii9642	['C-', 'D-', 'F-', 'A-', 'D-']	['A-', 'B-', 'D-', 'F', 'B-']
bII9642	['C-', 'D-', 'F', 'A-', 'D-']	['A-', 'B-', 'D', 'F', 'B-']
bII+9642	['C-', 'D-', 'F', 'A', 'D-']	['A-', 'B-', 'D', 'F#', 'B-']
biiio9642	['D--', 'E-', 'G-', 'B--', 'E-']	['B---', 'C-', 'E--', 'G--', 'C-']
biii9642	['D-', 'E-', 'G-', 'B-', 'E-']	['B-', 'C-', 'E--', 'G-', 'C-']
bIII9642	['D-', 'E-', 'G', 'B-', 'E-']	['B-', 'C-', 'E-', 'G-', 'C-']
bIII+9642	['D-', 'E-', 'G', 'B', 'E-']	['B-', 'C-', 'E-', 'G', 'C-']
bivo9642	['E---', 'F-', 'A--', 'C--', 'F-']	['C--', 'D-', 'F-', 'A--', 'D-']
biv9642	['E-', 'F-', 'A--', 'C-', 'F-']	['C-', 'D-', 'F-', 'A-', 'D-']
bIV9642	['E-', 'F-', 'A-', 'C-', 'F-']	['C-', 'D-', 'F', 'A-', 'D-']
bIV+9642	['E-', 'F-', 'A-', 'C', 'F-']	['C-', 'D-', 'F', 'A', 'D-']
bvo9642	['F--', 'G-', 'B--', 'D--', 'G-']	['D--', 'E-', 'G-', 'B--', 'E-']
bv9642	['F-', 'G-', 'B--', 'D-', 'G-']	['D-', 'E-', 'G-', 'B-', 'E-']
bV9642	['F-', 'G-', 'B-', 'D-', 'G-']	['D-', 'E-', 'G', 'B-', 'E-']
bV+9642	['F-', 'G-', 'B-', 'D', 'G-']	['D-', 'E-', 'G', 'B', 'E-']
bvio9642	['G--', 'A-', 'C-', 'E--', 'A-']	['E--', 'F', 'A-', 'C-', 'F']
bvi9642	['G-', 'A-', 'C-', 'E-', 'A-']	['E', 'F', 'A-', 'C', 'F']
bVI9642	['G-', 'A-', 'C', 'E-', 'A-']	['E-', 'F-', 'A-', 'C-', 'F-']
bVI+9642	['G-', 'A-', 'C', 'E', 'A-']	['E-', 'F-', 'A-', 'C', 'F-']
bviio9642	['A--', 'B-', 'D-', 'F-', 'B-']	['F-', 'G', 'B-', 'D-', 'G']
bvii9642	['A-', 'B-', 'D-', 'F', 'B-']	['F', 'G', 'B-', 'D', 'G']
bVII9642	['A-', 'B-', 'D', 'F', 'B-']	['F-', 'G-', 'B-', 'D-', 'G-']
bVII+9642	['A-', 'B-', 'D', 'F#', 'B-']	['F-', 'G-', 'B-', 'D', 'G-']
io9642	['B--', 'C', 'E-', 'G-', 'C']	['G-', 'A', 'C', 'E-', 'A']
i9642	['B', 'C', 'E-', 'G', 'C']	['G', 'A', 'C', 'E', 'A']
I9642	['B', 'C', 'E', 'G', 'C']	['G', 'A', 'C#', 'E', 'A']
I+9642	['B', 'C', 'E', 'G#', 'C']	['G', 'A', 'C#', 'E#', 'A']
iio9642	['C-', 'D', 'F', 'A-', 'D']	['A-', 'B', 'D', 'F', 'B']
ii9642	['C', 'D', 'F', 'A', 'D']	['A', 'B', 'D', 'F#', 'B']
II9642	['C', 'D', 'F#', 'A', 'D']	['A', 'B', 'D#', 'F#', 'B']
II+9642	['C', 'D', 'F#', 'A#', 'D']	['A', 'B', 'D#', 'F##', 'B']
iiio9642	['D-', 'E', 'G', 'B-', 'E']	['B--', 'C', 'E-', 'G-', 'C']
iii9642	['D', 'E', 'G', 'B', 'E']	['B', 'C', 'E-', 'G', 'C']
III9642	['D', 'E', 'G#', 'B', 'E']	['B', 'C', 'E', 'G', 'C']
III+9642	['D', 'E', 'G#', 'B#', 'E']	['B', 'C', 'E', 'G#', 'C']
ivo9642	['E--', 'F', 'A-', 'C-', 'F']	['C-', 'D', 'F', 'A-', 'D']
iv9642	['E', 'F', 'A-', 'C', 'F']	['C', 'D', 'F', 'A', 'D']
IV9642	['E', 'F', 'A', 'C', 'F']	['C', 'D', 'F#', 'A', 'D']
IV+9642	['E', 'F', 'A', 'C#', 'F']	['C', 'D', 'F#', 'A#', 'D']
vo9642	['F-', 'G', 'B-', 'D-', 'G']	['D-', 'E', 'G', 'B-', 'E']
v9642	['F', 'G', 'B-', 'D', 'G']	['D', 'E', 'G', 'B', 'E']
V9642	['F', 'G', 'B', 'D', 'G']	['D', 'E', 'G#', 'B', 'E']
V+9642	['F', 'G', 'B', 'D#', 'G']	['D', 'E', 'G#', 'B#', 'E']
vio9642	['G-', 'A', 'C', 'E-', 'A']	['E-', 'F#', 'A', 'C', 'F#']
vi9642	['G', 'A', 'C', 'E', 'A']	['E#', 'F#', 'A', 'C#', 'F#']
VI9642	['G', 'A', 'C#', 'E', 'A']	['E', 'F', 'A', 'C', 'F']
VI+9642	['G', 'A', 'C#', 'E#', 'A']	['E', 'F', 'A', 'C#', 'F']
viio9642	['A-', 'B', 'D', 'F', 'B']	['F', 'G#', 'B', 'D', 'G#']
vii9642	['A', 'B', 'D', 'F#', 'B']	['F#', 'G#', 'B', 'D#', 'G#']
VII9642	['A', 'B', 'D#', 'F#', 'B']	['F', 'G', 'B', 'D', 'G']
VII+9642	['A', 'B', 'D#', 'F##', 'B']	['F', 'G', 'B', 'D#', 'G']
#io9642	['B-', 'C#', 'E', 'G', 'C#']	['G', 'A#', 'C#', 'E', 'A#']
#i9642	['B#', 'C#', 'E', 'G#', 'C#']	['G#', 'A#', 'C#', 'E#', 'A#']
#I9642	['B#', 'C#', 'E#', 'G#', 'C#']	['G#', 'A#', 'C##', 'E#', 'A#']
#I+9642	['B#', 'C#', 'E#', 'G##', 'C#']	['G#', 'A#', 'C##', 'E##', 'A#']
#iio9642	['C', 'D#', 'F#', 'A', 'D#']	['A', 'B#', 'D#', 'F#', 'B#']
#ii9642	['C#', 'D#', 'F#', 'A#', 'D#']	['A#', 'B#', 'D#', 'F##', 'B#']
#II9642	['C#', 'D#', 'F##', 'A#', 'D#']	['A#', 'B#', 'D##', 'F##', 'B#']
#II+9642	['C#', 'D#', 'F##', 'A##', 'D#']	['A#', 'B#', 'D##', 'F###', 'B#']
#iiio9642	['D', 'E#', 'G#', 'B', 'E#']	['B-', 'C#', 'E', 'G', 'C#']
#iii9642	['D#', 'E#', 'G#', 'B#', 'E#']	['B#', 'C#', 'E', 'G#', 'C#']
#III9642	['D#', 'E#', 'G##', 'B#', 'E#']	['B#', 'C#', 'E#', 'G#', 'C#']
#III+9642	['D#', 'E#', 'G##', 'B##', 'E#']	['B#', 'C#', 'E#', 'G##', 'C#']
#ivo9642	['E-', 'F#', 'A', 'C', 'F#']	['C', 'D#', 'F#', 'A', 'D#']
#iv9642	['E#', 'F#', 'A', 'C#', 'F#']	['C#', 'D#', 'F#', 'A#', 'D#']
#IV9642	['E#', 'F#', 'A#', 'C#', 'F#']	['C#', 'D#', 'F##', 'A#', 'D#']
#IV+9642	['E#', 'F#', 'A#', 'C##', 'F#']	['C#', 'D#', 'F##', 'A##', 'D#']
#vo9642	['F', 'G#', 'B', 'D', 'G#']	['D', 'E#', 'G#', 'B', 'E#']
#v9642	['F#', 'G#', 'B', 'D#', 'G#']	['D#', 'E#', 'G#', 'B#', 'E#']
#V9642	['F#', 'G#', 'B#', 'D#', 'G#']	['D#', 'E#', 'G##', 'B#', 'E#']
#V+9642	['F#', 'G#', 'B#', 'D##', 'G#']	['D#', 'E#', 'G##', 'B##', 'E#']
#vio9642	['G', 'A#', 'C#', 'E', 'A#']	['E', 'F##', 'A#', 'C#', 'F##']
#vi9642	['G#', 'A#', 'C#', 'E#', 'A#']	['E##', 'F##', 'A#', 'C##', 'F##']
#VI9642	['G#', 'A#', 'C##', 'E#', 'A#']	['E#', 'F#', 'A#', 'C#', 'F#']
#VI+9642	['G#', 'A#', 'C##', 'E##', 'A#']	['E#', 'F#', 'A#', 'C##', 'F#']
#viio9642	['A', 'B#', 'D#', 'F#', 'B#']	['F#', 'G##', 'B#', 'D#', 'G##']
#vii9642	['A#', 'B#', 'D#', 'F##', 'B#']	['F##', 'G##', 'B#', 'D##', 'G##']
#VII9642	['A#', 'B#', 'D##', 'F##', 'B#']	['F#', 'G#', 'B#', 'D#', 'G#']
#VII+9642	['A#', 'B#', 'D##', 'F###', 'B#']	['F#', 'G#', 'B#', 'D##', 'G#']
