Figure	MajorContext	MinorContext
bio8654	['G--', 'C-', 'D-', 'E--', 'G-']	['E--', 'A-', 'B-', 'C-', 'E-']
bi8654	['G-', 'C-', 'D-', 'E--', 'G-']	['E-', 'A-', 'B-', 'C-', 'E-']
bI8654	['G-', 'C-', 'D-', 'E-', 'G-']	['E-', 'A-', 'B-', 'C', 'E-']
bI+8654	['G', 'C-', 'D-', 'E-', 'G-']	['E', 'A-', 'B-', 'C', 'E-']
biio8654	['A--', 'D-', 'E-', 'F-', 'A-']	['F-', 'B-', 'C-', 'D-', 'F-']
bii8654	['A-', 'D-', 'E-', 'F-', 'A-']	['F', 'B-', 'C-', 'D-', 'F-']
bII8654	['A-', 'D-', 'E-', 'F', 'A-']	['F', 'B-', 'C-', 'D', 'F-']
bII+8654	['A', 'D-', 'E-', 'F', 'A-']	['F#', 'B-', 'C-', 'D', 'F-']
biiio8654	['B--', 'E-', 'F-', 'G-', 'B-']	['G--', 'C-', 'D-', 'E--', 'G-']
biii8654	['B-', 'E-', 'F-', 'G-', 'B-']	['G-', 'C-', 'D-', 'E--', 'G-']
bIII8654	['B-', 'E-', 'F-', 'G', 'B-']	['G-', 'C-', 'D-', 'E-', 'G-']
bIII+8654	['B', 'E-', 'F-', 'G', 'B-']	['G', 'C-', 'D-', 'E-', 'G-']
bivo8654	['C--', 'F-', 'G-', 'A--', 'C-']	['A--', 'D-', 'E-', 'F-', 'A-']
biv8654	['C-', 'F-', 'G-', 'A--', 'C-']	['A-', 'D-', 'E-', 'F-', 'A-']
bIV8654	['C-', 'F-', 'G-', 'A-', 'C-']	['A-', 'D-', 'E-', 'F', 'A-']
bIV+8654	['C', 'F-', 'G-', 'A-', 'C-']	['A', 'D-', 'E-', 'F', 'A-']
bvo8654	['D--', 'G-', 'A-', 'B--', 'D-']	['B--', 'E-', 'F-', 'G-', 'B-']
bv8654	['D-', 'G-', 'A-', 'B--', 'D-']	['B-', 'E-', 'F-', 'G-', 'B-']
bV8654	['D-', 'G-', 'A-', 'B-', 'D-']	['B-', 'E-', 'F-', 'G', 'B-']
bV+8654	['D', 'G-', 'A-', 'B-', 'D-']	['B', 'E-', 'F-', 'G', 'B-']
bvio8654	['E--', 'A-', 'B-', 'C-', 'E-']	['C-', 'F', 'G', 'A-', 'C']
bvi8654	['E-', 'A-', 'B-', 'C-', 'E-']	['C', 'F', 'G', 'A-', 'C']
bVI8654	['E-', 'A-', 'B-', 'C', 'E-']	['C-', 'F-', 'G-', 'A-', 'C-']
