Figure	MajorContext	MinorContext
bio432	['B---', 'C-', 'D-', 'E--']	['G--', 'A-', 'B-', 'C-']
bi432	['B-', 'C-', 'D-', 'E--']	['G-', 'A-', 'B-', 'C-']
bI432	['B-', 'C-', 'D-', 'E-']	['G-', 'A-', 'B-', 'C']
bI+432	['B-', 'C-', 'D-', 'E-']	['G-', 'A-', 'B-', 'C']
biio432	['C--', 'D-', 'E-', 'F-']	['A--', 'B-', 'C-', 'D-']
bii432	['C-', 'D-', 'E-', 'F-']	['A-', 'B-', 'C-', 'D-']
bII432	['C-', 'D-', 'E-', 'F']	['A-', 'B-', 'C-', 'D']
bII+432	['C-', 'D-', 'E-', 'F']	['A-', 'B-', 'C-', 'D']
biiio432	['D--', 'E-', 'F-', 'G-']	['B---', 'C-', 'D-', 'E--']
biii432	['D-', 'E-', 'F-', 'G-']	['B-', 'C-', 'D-', 'E--']
bIII432	['D-', 'E-', 'F-', 'G']	['B-', 'C-', 'D-', 'E-']
bIII+432	['D-', 'E-', 'F-', 'G']	['B-', 'C-', 'D-', 'E-']
bivo432	['E---', 'F-', 'G-', 'A--']	['C--', 'D-', 'E-', 'F-']
biv432	['E-', 'F-', 'G-', 'A--']	['C-', 'D-', 'E-', 'F-']
bIV432	['E-', 'F-', 'G-', 'A-']	['C-', 'D-', 'E-', 'F']
bIV+432	['E-', 'F-', 'G-', 'A-']	['C-', 'D-', 'E-', 'F']
bvo432	['F--', 'G-', 'A-', 'B--']	['D--', 'E-', 'F-', 'G-']
bv432	['F-', 'G-', 'A-', 'B--']	['D-', 'E-', 'F-', 'G-']
bV432	['F-', 'G-', 'A-', 'B-']	['D-', 'E-', 'F-', 'G']
bV+432	['F-', 'G-', 'A-', 'B-']	['D-', 'E-', 'F-', 'G']
bvio432	['G--', 'A-', 'B-', 'C-']	['E--', 'F', 'G', 'A-']
bvi432	['G-', 'A-', 'B-', 'C-']	['E', 'F', 'G', 'A-']
bVI432	['G-', 'A-', 'B-', 'C']	['E-', 'F-', 'G-', 'A-']
bVI+432	['G-', 'A-', 'B-', 'C']	['E-', 'F-', 'G-', 'A-']
bviio432	['A--', 'B-', 'C-', 'D-']	['F-', 'G', 'A', 'B-']
bvii432	['A-', 'B-', 'C-', 'D-']	['F', 'G', 'A', 'B-']
bVII432	['A-', 'B-', 'C-', 'D']	['F-', 'G-', 'A-', 'B-']
bVII+432	['A-', 'B-', 'C-', 'D']	['F-', 'G-', 'A-', 'B-']
io432	['B--', 'C', 'D', 'E-']	['G-', 'A', 'B', 'C']
i432	['B', 'C', 'D', 'E-']	['G', 'A', 'B', 'C']
I432	['B', 'C', 'D', 'E']	['G', 'A', 'B', 'C#']
I+432	['B', 'C', 'D', 'E']	['G', 'A', 'B', 'C#']
iio432	['C-', 'D', 'E', 'F']	['A-', 'B', 'C', 'D']
ii432	['C', 'D', 'E', 'F']	['A', 'B', 'C', 'D']
II432	['C', 'D', 'E', 'F#']	['A', 'B', 'C', 'D#']
II+432	['C', 'D', 'E', 'F#']	['A', 'B', 'C', 'D#']
iiio432	['D-', 'E', 'F', 'G']	['B--', 'C', 'D', 'E-']
iii432	['D', 'E', 'F', 'G']	['B', 'C', 'D', 'E-']
III432	['D', 'E', 'F', 'G#']	['B', 'C', 'D', 'E']
III+432	['D', 'E', 'F', 'G#']	['B', 'C', 'D', 'E']
ivo432	['E--', 'F', 'G', 'A-']	['C-', 'D', 'E', 'F']
iv432	['E', 'F', 'G', 'A-']	['C', 'D', 'E', 'F']
IV432	['E', 'F', 'G', 'A']	['C', 'D', 'E', 'F#']
IV+432	['E', 'F', 'G', 'A']	['C', 'D', 'E', 'F#']
vo432	['F-', 'G', 'A', 'B-']	['D-', 'E', 'F', 'G']
v432	['F', 'G', 'A', 'B-']	['D', 'E', 'F', 'G']
V432	['F', 'G', 'A', 'B']	['D', 'E', 'F', 'G#']
V+432	['F', 'G', 'A', 'B']	['D', 'E', 'F', 'G#']
vio432	['G-', 'A', 'B', 'C']	['E-', 'F#', 'G#', 'A']
vi432	['G', 'A', 'B', 'C']	['E#', 'F#', 'G#', 'A']
VI432	['G', 'A', 'B', 'C#']	['E', 'F', 'G', 'A']
VI+432	['G', 'A', 'B', 'C#']	['E', 'F', 'G', 'A']
viio432	['A-', 'B', 'C', 'D']	['F', 'G#', 'A#', 'B']
vii432	['A', 'B', 'C', 'D']	['F#', 'G#', 'A#', 'B']
VII432	['A', 'B', 'C', 'D#']	['F', 'G', 'A', 'B']
VII+432	['A', 'B', 'C', 'D#']	['F', 'G', 'A', 'B']
#io432	['B-', 'C#', 'D#', 'E']	['G', 'A#', 'B#', 'C#']
#i432	['B#', 'C#', 'D#', 'E']	['G#', 'A#', 'B#', 'C#']
