Figure	MajorContext	MinorContext
bio76543	['G--', 'B---', 'C-', 'D-', 'E--', 'F-']	['E--', 'G--', 'A-', 'B-', 'C-', 'D-']
bi76543	['G-', 'B-', 'C-', 'D-', 'E--', 'F-']	['E-', 'G-', 'A-', 'B-', 'C-', 'D-']
bI76543	['G-', 'B-', 'C-', 'D-', 'E-', 'F-']	['E-', 'G-', 'A-', 'B-', 'C', 'D-']
bI+76543	['G', 'B-', 'C-', 'D-', 'E-', 'F-']	['E', 'G-', 'A-', 'B-', 'C', 'D-']
biio76543	['A--', 'C--', 'D-', 'E-', 'F-', 'G-']	['F-', 'A--', 'B-', 'C-', 'D-', 'E-']
bii76543	['A-', 'C-', 'D-', 'E-', 'F-', 'G-']	['F', 'A-', 'B-', 'C-', 'D-', 'E-']
bII76543	['A-', 'C-', 'D-', 'E-', 'F', 'G-']	['F', 'A-', 'B-', 'C-', 'D', 'E-']
bII+76543	['A', 'C-', 'D-', 'E-', 'F', 'G-']	['F#', 'A-', 'B-', 'C-', 'D', 'E-']
biiio76543	['B--', 'D--', 'E-', 'F-', 'G-', 'A-']	['G--', 'B---', 'C-', 'D-', 'E--', 'F-']
biii76543	['B-', 'D-', 'E-', 'F-', 'G-', 'A-']	['G-', 'B-', 'C-', 'D-', 'E--', 'F-']
bIII76543	['B-', 'D-', 'E-', 'F-', 'G', 'A-']	['G-', 'B-', 'C-', 'D-', 'E-', 'F-']
bIII+76543	['B', 'D-', 'E-', 'F-', 'G', 'A-']	['G', 'B-', 'C-', 'D-', 'E-', 'F-']
bivo76543	['C--', 'E---', 'F-', 'G-', 'A--', 'B-']	['A--', 'C--', 'D-', 'E-', 'F-', 'G-']
biv76543	['C-', 'E-', 'F-', 'G-', 'A--', 'B-']	['A-', 'C-', 'D-', 'E-', 'F-', 'G-']
bIV76543	['C-', 'E-', 'F-', 'G-', 'A-', 'B-']	['A-', 'C-', 'D-', 'E-', 'F', 'G-']
bIV+76543	['C', 'E-', 'F-', 'G-', 'A-', 'B-']	['A', 'C-', 'D-', 'E-', 'F', 'G-']
bvo76543	['D--', 'F--', 'G-', 'A-', 'B--', 'C-']	['B--', 'D--', 'E-', 'F-', 'G-', 'A-']
bv76543	['D-', 'F-', 'G-', 'A-', 'B--', 'C-']	['B-', 'D-', 'E-', 'F-', 'G-', 'A-']
bV76543	['D-', 'F-', 'G-', 'A-', 'B-', 'C-']	['B-', 'D-', 'E-', 'F-', 'G', 'A-']
bV+76543	['D', 'F-', 'G-', 'A-', 'B-', 'C-']	['B', 'D-', 'E-', 'F-', 'G', 'A-']
bvio76543	['E--', 'G--', 'A-', 'B-', 'C-', 'D-']	['C-', 'E--', 'F', 'G', 'A-', 'B']
bvi76543	['E-', 'G-', 'A-', 'B-', 'C-', 'D-']	['C', 'E', 'F', 'G', 'A-', 'B']
bVI76543	['E-', 'G-', 'A-', 'B-', 'C', 'D-']	['C-', 'E-', 'F-', 'G-', 'A-', 'B-']
bVI+76543	['E', 'G-', 'A-', 'B-', 'C', 'D-']	['C', 'E-', 'F-', 'G-', 'A-', 'B-']
bviio76543	['F-', 'A--', 'B-', 'C-', 'D-', 'E-']	['D-', 'F-', 'G', 'A', 'B-', 'C']
bvii76543	['F', 'A-', 'B-', 'C-', 'D-', 'E-']	['D', 'F', 'G', 'A', 'B-', 'C']
bVII76543	['F', 'A-', 'B-', 'C-', 'D', 'E-']	['D-', 'F-', 'G-', 'A-', 'B-', 'C-']
bVII+76543	['F#', 'A-', 'B-', 'C-', 'D', 'E-']	['D', 'F-', 'G-', 'A-', 'B-', 'C-']
io76543	['G-', 'B--', 'C', 'D', 'E-', 'F']	['E-', 'G-', 'A', 'B', 'C', 'D']
i76543	['G', 'B', 'C', 'D', 'E-', 'F']	['E', 'G', 'A', 'B', 'C', 'D']
I76543	['G', 'B', 'C', 'D', 'E', 'F']	['E', 'G', 'A', 'B', 'C#', 'D']
I+76543	['G#', 'B', 'C', 'D', 'E', 'F']	['E#', 'G', 'A', 'B', 'C#', 'D']
iio76543	['A-', 'C-', 'D', 'E', 'F', 'G']	['F', 'A-', 'B', 'C', 'D', 'E']
ii76543	['A', 'C', 'D', 'E', 'F', 'G']	['F#', 'A', 'B', 'C', 'D', 'E']
II76543	['A', 'C', 'D', 'E', 'F#', 'G']	['F#', 'A', 'B', 'C', 'D#', 'E']
II+76543	['A#', 'C', 'D', 'E', 'F#', 'G']	['F##', 'A', 'B', 'C', 'D#', 'E']
iiio76543	['B-', 'D-', 'E', 'F', 'G', 'A']	['G-', 'B--', 'C', 'D', 'E-', 'F']
iii76543	['B', 'D', 'E', 'F', 'G', 'A']	['G', 'B', 'C', 'D', 'E-', 'F']
III76543	['B', 'D', 'E', 'F', 'G#', 'A']	['G', 'B', 'C', 'D', 'E', 'F']
III+76543	['B#', 'D', 'E', 'F', 'G#', 'A']	['G#', 'B', 'C', 'D', 'E', 'F']
ivo76543	['C-', 'E--', 'F', 'G', 'A-', 'B']	['A-', 'C-', 'D', 'E', 'F', 'G']
iv76543	['C', 'E', 'F', 'G', 'A-', 'B']	['A', 'C', 'D', 'E', 'F', 'G']
IV76543	['C', 'E', 'F', 'G', 'A', 'B']	['A', 'C', 'D', 'E', 'F#', 'G']
IV+76543	['C#', 'E', 'F', 'G', 'A', 'B']	['A#', 'C', 'D', 'E', 'F#', 'G']
vo76543	['D-', 'F-', 'G', 'A', 'B-', 'C']	['B-', 'D-', 'E', 'F', 'G', 'A']
v76543	['D', 'F', 'G', 'A', 'B-', 'C']	['B', 'D', 'E', 'F', 'G', 'A']
V76543	['D', 'F', 'G', 'A', 'B', 'C']	['B', 'D', 'E', 'F', 'G#', 'A']
V+76543	['D#', 'F', 'G', 'A', 'B', 'C']	['B#', 'D', 'E', 'F', 'G#', 'A']
vio76543	['E-', 'G-', 'A', 'B', 'C', 'D']	['C', 'E-', 'F#', 'G#', 'A', 'B#']
vi76543	['E', 'G', 'A', 'B', 'C', 'D']	['C#', 'E#', 'F#', 'G#', 'A', 'B#']
VI76543	['E', 'G', 'A', 'B', 'C#', 'D']	['C', 'E', 'F', 'G', 'A', 'B']
VI+76543	['E#', 'G', 'A', 'B', 'C#', 'D']	['C#', 'E', 'F', 'G', 'A', 'B']
viio76543	['F', 'A-', 'B', 'C', 'D', 'E']	['D', 'F', 'G#', 'A#', 'B', 'C#']
vii76543	['F#', 'A', 'B', 'C', 'D', 'E']	['D#', 'F#', 'G#', 'A#', 'B', 'C#']
VII76543	['F#', 'A', 'B', 'C', 'D#', 'E']	['D', 'F', 'G', 'A', 'B', 'C']
VII+76543	['F##', 'A', 'B', 'C', 'D#', 'E']	['D#', 'F', 'G', 'A', 'B', 'C']
#io76543	['G', 'B-', 'C#', 'D#', 'E', 'F#']	['E', 'G', 'A#', 'B#', 'C#', 'D#']
#i76543	['G#', 'B#', 'C#', 'D#', 'E', 'F#']	['E#', 'G#', 'A#', 'B#', 'C#', 'D#']
#I76543	['G#', 'B#', 'C#', 'D#', 'E#', 'F#']	['E#', 'G#', 'A#', 'B#', 'C##', 'D#']
#I+76543	['G##', 'B#', 'C#', 'D#', 'E#', 'F#']	['E##', 'G#', 'A#', 'B#', 'C##', 'D#']
#iio76543	['A', 'C', 'D#', 'E#', 'F#', 'G#']	['F#', 'A', 'B#', 'C#', 'D#', 'E#']
#ii76543	['A#', 'C#', 'D#', 'E#', 'F#', 'G#']	['F##', 'A#', 'B#', 'C#', 'D#', 'E#']
#II76543	['A#', 'C#', 'D#', 'E#', 'F##', 'G#']	['F##', 'A#', 'B#', 'C#', 'D##', 'E#']
#II+76543	['A##', 'C#', 'D#', 'E#', 'F##', 'G#']	['F###', 'A#', 'B#', 'C#', 'D##', 'E#']
#iiio76543	['B', 'D', 'E#', 'F#', 'G#', 'A#']	['G', 'B-', 'C#', 'D#', 'E', 'F#']
#iii76543	['B#', 'D#', 'E#', 'F#', 'G#', 'A#']	['G#', 'B#', 'C#', 'D#', 'E', 'F#']
#III76543	['B#', 'D#', 'E#', 'F#', 'G##', 'A#']	['G#', 'B#', 'C#', 'D#', 'E#', 'F#']
#III+76543	['B##', 'D#', 'E#', 'F#', 'G##', 'A#']	['G##', 'B#', 'C#', 'D#', 'E#', 'F#']
#ivo76543	['C', 'E-', 'F#', 'G#', 'A', 'B#']	['A', 'C', 'D#', 'E#', 'F#', 'G#']
#iv76543	['C#', 'E#', 'F#', 'G#', 'A', 'B#']	['A#', 'C#', 'D#', 'E#', 'F#', 'G#']
#IV76543	['C#', 'E#', 'F#', 'G#', 'A#', 'B#']	['A#', 'C#', 'D#', 'E#', 'F##', 'G#']
#IV+76543	['C##', 'E#', 'F#', 'G#', 'A#', 'B#']	['A##', 'C#', 'D#', 'E#', 'F##', 'G#']
#vo76543	['D', 'F', 'G#', 'A#', 'B', 'C#']	['B', 'D', 'E#', 'F#', 'G#', 'A#']
#v76543	['D#', 'F#', 'G#', 'A#', 'B', 'C#']	['B#', 'D#', 'E#', 'F#', 'G#', 'A#']
#V76543	['D#', 'F#', 'G#', 'A#', 'B#', 'C#']	['B#', 'D#', 'E#', 'F#', 'G##', 'A#']
#V+76543	['D##', 'F#', 'G#', 'A#', 'B#', 'C#']	['B##', 'D#', 'E#', 'F#', 'G##', 'A#']
#vio76543	['E', 'G', 'A#', 'B#', 'C#', 'D#']	['C#', 'E', 'F##', 'G##', 'A#', 'B##']
#vi76543	['E#', 'G#', 'A#', 'B#', 'C#', 'D#']	['C##', 'E##', 'F##', 'G##', 'A#', 'B##']
#VI76543	['E#', 'G#', 'A#', 'B#', 'C##', 'D#']	['C#', 'E#', 'F#', 'G#', 'A#', 'B#']
#VI+76543	['E##', 'G#', 'A#', 'B#', 'C##', 'D#']	['C##', 'E#', 'F#', 'G#', 'A#', 'B#']
#viio76543	['F#', 'A', 'B#', 'C#', 'D#', 'E#']	['D#', 'F#', 'G##', 'A##', 'B#', 'C##']
#vii76543	['F##', 'A#', 'B#', 'C#', 'D#', 'E#']	['D##', 'F##', 'G##', 'A##', 'B#', 'C##']
#VII76543	['F##', 'A#', 'B#', 'C#', 'D##', 'E#']	['D#', 'F#', 'G#', 'A#', 'B#', 'C#']
#VII+76543	['F###', 'A#', 'B#', 'C#', 'D##', 'E#']	['D##', 'F#', 'G#', 'A#', 'B#', 'C#']
