Figure	MajorContext	MinorContext
bio964	['B---', 'E--', 'G--', 'C-']	['G--', 'C-', 'E--', 'A-']
bi964	['B-', 'E--', 'G-', 'C-']	['G-', 'C-', 'E-', 'A-']
bI964	['B-', 'E-', 'G-', 'C-']	['G-', 'C', 'E-', 'A-']
bI+964	['B-', 'E-', 'G', 'C-']	['G-', 'C', 'E', 'A-']
biio964	['C--', 'F-', 'A--', 'D-']	['A--', 'D-', 'F-', 'B-']
bii964	['C-', 'F-', 'A-', 'D-']	['A-', 'D-', 'F', 'B-']
bII964	['C-', 'F', 'A-', 'D-']	['A-', 'D', 'F', 'B-']
bII+964	['C-', 'F', 'A', 'D-']	['A-', 'D', 'F#', 'B-']
biiio964	['D--', 'G-', 'B--', 'E-']	['B---', 'E--', 'G--', 'C-']
biii964	['D-', 'G-', 'B-', 'E-']	['B-', 'E--', 'G-', 'C-']
bIII964	['D-', 'G', 'B-', 'E-']	['B-', 'E-', 'G-', 'C-']
bIII+964	['D-', 'G', 'B', 'E-']	['B-', 'E-', 'G', 'C-']
bivo964	['E---', 'A--', 'C--', 'F-']	['C--', 'F-', 'A--', 'D-']
biv964	['E-', 'A--', 'C-', 'F-']	['C-', 'F-', 'A-', 'D-']
bIV964	['E-', 'A-', 'C-', 'F-']	['C-', 'F', 'A-', 'D-']
bIV+964	['E-', 'A-', 'C', 'F-']	['C-', 'F', 'A', 'D-']
bvo964	['F--', 'B--', 'D--', 'G-']	['D--', 'G-', 'B--', 'E-']
bv964	['F-', 'B--', 'D-', 'G-']	['D-', 'G-', 'B-', 'E-']
bV964	['F-', 'B-', 'D-', 'G-']	['D-', 'G', 'B-', 'E-']
bV+964	['F-', 'B-', 'D', 'G-']	['D-', 'G', 'B', 'E-']
bvio964	['G--', 'C-', 'E--', 'A-']	['E--', 'A-', 'C-', 'F']
bvi964	['G-', 'C-', 'E-', 'A-']	['E', 'A-', 'C', 'F']
bVI964	['G-', 'C', 'E-', 'A-']	['E-', 'A-', 'C-', 'F-']
bVI+964	['G-', 'C', 'E', 'A-']	['E-', 'A-', 'C', 'F-']
bviio964	['A--', 'D-', 'F-', 'B-']	['F-', 'B-', 'D-', 'G']
bvii964	['A-', 'D-', 'F', 'B-']	['F', 'B-', 'D', 'G']
bVII964	['A-', 'D', 'F', 'B-']	['F-', 'B-', 'D-', 'G-']
bVII+964	['A-', 'D', 'F#', 'B-']	['F-', 'B-', 'D', 'G-']
io964	['B--', 'E-', 'G-', 'C']	['G-', 'C', 'E-', 'A']
