Figure	MajorContext	MinorContext
bio932	['C-', 'D-', 'E--', 'D-']	['A-', 'B-', 'C-', 'B-']
bi932	['C-', 'D-', 'E--', 'D-']	['A-', 'B-', 'C-', 'B-']
bI932	['C-', 'D-', 'E-', 'D-']	['A-', 'B-', 'C', 'B-']
bI+932	['C-', 'D-', 'E-', 'D-']	['A-', 'B-', 'C', 'B-']
biio932	['D-', 'E-', 'F-', 'E-']	['B-', 'C-', 'D-', 'C-']
bii932	['D-', 'E-', 'F-', 'E-']	['B-', 'C-', 'D-', 'C-']
bII932	['D-', 'E-', 'F', 'E-']	['B-', 'C-', 'D', 'C-']
bII+932	['D-', 'E-', 'F', 'E-']	['B-', 'C-', 'D', 'C-']
biiio932	['E-', 'F-', 'G-', 'F-']	['C-', 'D-', 'E--', 'D-']
biii932	['E-', 'F-', 'G-', 'F-']	['C-', 'D-', 'E--', 'D-']
bIII932	['E-', 'F-', 'G', 'F-']	['C-', 'D-', 'E-', 'D-']
bIII+932	['E-', 'F-', 'G', 'F-']	['C-', 'D-', 'E-', 'D-']
bivo932	['F-', 'G-', 'A--', 'G-']	['D-', 'E-', 'F-', 'E-']
biv932	['F-', 'G-', 'A--', 'G-']	['D-', 'E-', 'F-', 'E-']
bIV932	['F-', 'G-', 'A-', 'G-']	['D-', 'E-', 'F', 'E-']
bIV+932	['F-', 'G-', 'A-', 'G-']	['D-', 'E-', 'F', 'E-']
bvo932	['G-', 'A-', 'B--', 'A-']	['E-', 'F-', 'G-', 'F-']
bv932	['G-', 'A-', 'B--', 'A-']	['E-', 'F-', 'G-', 'F-']
bV932	['G-', 'A-', 'B-', 'A-']	['E-', 'F-', 'G', 'F-']
bV+932	['G-', 'A-', 'B-', 'A-']	['E-', 'F-', 'G', 'F-']
bvio932	['A-', 'B-', 'C-', 'B-']	['F', 'G', 'A-', 'G']
bvi932	['A-', 'B-', 'C-', 'B-']	['F', 'G', 'A-', 'G']
bVI932	['A-', 'B-', 'C', 'B-']	['F-', 'G-', 'A-', 'G-']
bVI+932	['A-', 'B-', 'C', 'B-']	['F-', 'G-', 'A-', 'G-']
bviio932	['B-', 'C-', 'D-', 'C-']	['G', 'A', 'B-', 'A']
bvii932	['B-', 'C-', 'D-', 'C-']	['G', 'A', 'B-', 'A']
bVII932	['B-', 'C-', 'D', 'C-']	['G-', 'A-', 'B-', 'A-']
bVII+932	['B-', 'C-', 'D', 'C-']	['G-', 'A-', 'B-', 'A-']
io932	['C', 'D', 'E-', 'D']	['A', 'B', 'C', 'B']
i932	['C', 'D', 'E-', 'D']	['A', 'B', 'C', 'B']
I932	['C', 'D', 'E', 'D']	['A', 'B', 'C#', 'B']
I+932	['C', 'D', 'E', 'D']	['A', 'B', 'C#', 'B']
iio932	['D', 'E', 'F', 'E']	['B', 'C', 'D', 'C']
ii932	['D', 'E', 'F', 'E']	['B', 'C', 'D', 'C']
II932	['D', 'E', 'F#', 'E']	['B', 'C', 'D#', 'C']
II+932	['D', 'E', 'F#', 'E']	['B', 'C', 'D#', 'C']
iiio932	['E', 'F', 'G', 'F']	['C', 'D', 'E-', 'D']
iii932	['E', 'F', 'G', 'F']	['C', 'D', 'E-', 'D']
III932	['E', 'F', 'G#', 'F']	['C', 'D', 'E', 'D']
III+932	['E', 'F', 'G#', 'F']	['C', 'D', 'E', 'D']
ivo932	['F', 'G', 'A-', 'G']	['D', 'E', 'F', 'E']
iv932	['F', 'G', 'A-', 'G']	['D', 'E', 'F', 'E']
IV932	['F', 'G', 'A', 'G']	['D', 'E', 'F#', 'E']
IV+932	['F', 'G', 'A', 'G']	['D', 'E', 'F#', 'E']
vo932	['G', 'A', 'B-', 'A']	['E', 'F', 'G', 'F']
v932	['G', 'A', 'B-', 'A']	['E', 'F', 'G', 'F']
V932	['G', 'A', 'B', 'A']	['E', 'F', 'G#', 'F']
V+932	['G', 'A', 'B', 'A']	['E', 'F', 'G#', 'F']
vio932	['A', 'B', 'C', 'B']	['F#', 'G#', 'A', 'G#']
vi932	['A', 'B', 'C', 'B']	['F#', 'G#', 'A', 'G#']
VI932	['A', 'B', 'C#', 'B']	['F', 'G', 'A', 'G']
VI+932	['A', 'B', 'C#', 'B']	['F', 'G', 'A', 'G']
viio932	['B', 'C', 'D', 'C']	['G#', 'A#', 'B', 'A#']
vii932	['B', 'C', 'D', 'C']	['G#', 'A#', 'B', 'A#']
VII932	['B', 'C', 'D#', 'C']	['G', 'A', 'B', 'A']
VII+932	['B', 'C', 'D#', 'C']	['G', 'A', 'B', 'A']
#io932	['C#', 'D#', 'E', 'D#']	['A#', 'B#', 'C#', 'B#']
#i932	['C#', 'D#', 'E', 'D#']	['A#', 'B#', 'C#', 'B#']
#I932	['C#', 'D#', 'E#', 'D#']	['A#', 'B#', 'C##', 'B#']
#I+932	['C#', 'D#', 'E#', 'D#']	['A#', 'B#', 'C##', 'B#']
#iio932	['D#', 'E#', 'F#', 'E#']	['B#', 'C#', 'D#', 'C#']
#ii932	['D#', 'E#', 'F#', 'E#']	['B#', 'C#', 'D#', 'C#']
#II932	['D#', 'E#', 'F##', 'E#']	['B#', 'C#', 'D##', 'C#']
#II+932	['D#', 'E#', 'F##', 'E#']	['B#', 'C#', 'D##', 'C#']
#iiio932	['E#', 'F#', 'G#', 'F#']	['C#', 'D#', 'E', 'D#']
#iii932	['E#', 'F#', 'G#', 'F#']	['C#', 'D#', 'E', 'D#']
#III932	['E#', 'F#', 'G##', 'F#']	['C#', 'D#', 'E#', 'D#']
#III+932	['E#', 'F#', 'G##', 'F#']	['C#', 'D#', 'E#', 'D#']
#ivo932	['F#', 'G#', 'A', 'G#']	['D#', 'E#', 'F#', 'E#']
#iv932	['F#', 'G#', 'A', 'G#']	['D#', 'E#', 'F#', 'E#']
#IV932	['F#', 'G#', 'A#', 'G#']	['D#', 'E#', 'F##', 'E#']
#IV+932	['F#', 'G#', 'A#', 'G#']	['D#', 'E#', 'F##', 'E#']
#vo932	['G#', 'A#', 'B', 'A#']	['E#', 'F#', 'G#', 'F#']
#v932	['G#', 'A#', 'B', 'A#']	['E#', 'F#', 'G#', 'F#']
#V932	['G#', 'A#', 'B#', 'A#']	['E#', 'F#', 'G##', 'F#']
#V+932	['G#', 'A#', 'B#', 'A#']	['E#', 'F#', 'G##', 'F#']
#vio932	['A#', 'B#', 'C#', 'B#']	['F##', 'G##', 'A#', 'G##']
#vi932	['A#', 'B#', 'C#', 'B#']	['F##', 'G##', 'A#', 'G##']
#VI932	['A#', 'B#', 'C##', 'B#']	['F#', 'G#', 'A#', 'G#']
#VI+932	['A#', 'B#', 'C##', 'B#']	['F#', 'G#', 'A#', 'G#']
#viio932	['B#', 'C#', 'D#', 'C#']	['G##', 'A##', 'B#', 'A##']
#vii932	['B#', 'C#', 'D#', 'C#']	['G##', 'A##', 'B#', 'A##']
#VII932	['B#', 'C#', 'D##', 'C#']	['G#', 'A#', 'B#', 'A#']
#VII+932	['B#', 'C#', 'D##', 'C#']	['G#', 'A#', 'B#', 'A#']
