Figure	MajorContext	MinorContext
bio862	['B---', 'C-', 'G--', 'B-']	['G--', 'A-', 'E--', 'G-']
bi862	['B-', 'C-', 'G-', 'B-']	['G-', 'A-', 'E-', 'G-']
bI862	['B-', 'C-', 'G-', 'B-']	['G-', 'A-', 'E-', 'G-']
bI+862	['B-', 'C-', 'G', 'B-']	['G-', 'A-', 'E', 'G-']
biio862	['C--', 'D-', 'A--', 'C-']	['A--', 'B-', 'F-', 'A-']
bii862	['C-', 'D-', 'A-', 'C-']	['A-', 'B-', 'F', 'A-']
bII862	['C-', 'D-', 'A-', 'C-']	['A-', 'B-', 'F', 'A-']
bII+862	['C-', 'D-', 'A', 'C-']	['A-', 'B-', 'F#', 'A-']
biiio862	['D--', 'E-', 'B--', 'D-']	['B---', 'C-', 'G--', 'B-']
biii862	['D-', 'E-', 'B-', 'D-']	['B-', 'C-', 'G-', 'B-']
bIII862	['D-', 'E-', 'B-', 'D-']	['B-', 'C-', 'G-', 'B-']
bIII+862	['D-', 'E-', 'B', 'D-']	['B-', 'C-', 'G', 'B-']
bivo862	['E---', 'F-', 'C--', 'E-']	['C--', 'D-', 'A--', 'C-']
biv862	['E-', 'F-', 'C-', 'E-']	['C-', 'D-', 'A-', 'C-']
bIV862	['E-', 'F-', 'C-', 'E-']	['C-', 'D-', 'A-', 'C-']
bIV+862	['E-', 'F-', 'C', 'E-']	['C-', 'D-', 'A', 'C-']
bvo862	['F--', 'G-', 'D--', 'F-']	['D--', 'E-', 'B--', 'D-']
bv862	['F-', 'G-', 'D-', 'F-']	['D-', 'E-', 'B-', 'D-']
bV862	['F-', 'G-', 'D-', 'F-']	['D-', 'E-', 'B-', 'D-']
bV+862	['F-', 'G-', 'D', 'F-']	['D-', 'E-', 'B', 'D-']
bvio862	['G--', 'A-', 'E--', 'G-']	['E--', 'F', 'C-', 'E']
bvi862	['G-', 'A-', 'E-', 'G-']	['E', 'F', 'C', 'E']
bVI862	['G-', 'A-', 'E-', 'G-']	['E-', 'F-', 'C-', 'E-']
bVI+862	['G-', 'A-', 'E', 'G-']	['E-', 'F-', 'C', 'E-']
bviio862	['A--', 'B-', 'F-', 'A-']	['F-', 'G', 'D-', 'F']
bvii862	['A-', 'B-', 'F', 'A-']	['F', 'G', 'D', 'F']
bVII862	['A-', 'B-', 'F', 'A-']	['F-', 'G-', 'D-', 'F-']
