Figure	MajorContext	MinorContext
bio98642	['B---', 'C-', 'E--', 'G--', 'B-', 'C-']	['G--', 'A-', 'C-', 'E--', 'G-', 'A-']
bi98642	['B-', 'C-', 'E--', 'G-', 'B-', 'C-']	['G-', 'A-', 'C-', 'E-', 'G-', 'A-']
bI98642	['B-', 'C-', 'E-', 'G-', 'B-', 'C-']	['G-', 'A-', 'C', 'E-', 'G-', 'A-']
bI+98642	['B-', 'C-', 'E-', 'G', 'B-', 'C-']	['G-', 'A-', 'C', 'E', 'G-', 'A-']
biio98642	['C--', 'D-', 'F-', 'A--', 'C-', 'D-']	['A--', 'B-', 'D-', 'F-', 'A-', 'B-']
bii98642	['C-', 'D-', 'F-', 'A-', 'C-', 'D-']	['A-', 'B-', 'D-', 'F', 'A-', 'B-']
bII98642	['C-', 'D-', 'F', 'A-', 'C-', 'D-']	['A-', 'B-', 'D', 'F', 'A-', 'B-']
bII+98642	['C-', 'D-', 'F', 'A', 'C-', 'D-']	['A-', 'B-', 'D', 'F#', 'A-', 'B-']
biiio98642	['D--', 'E-', 'G-', 'B--', 'D-', 'E-']	['B---', 'C-', 'E--', 'G--', 'B-', 'C-']
biii98642	['D-', 'E-', 'G-', 'B-', 'D-', 'E-']	['B-', 'C-', 'E--', 'G-', 'B-', 'C-']
bIII98642	['D-', 'E-', 'G', 'B-', 'D-', 'E-']	['B-', 'C-', 'E-', 'G-', 'B-', 'C-']
bIII+98642	['D-', 'E-', 'G', 'B', 'D-', 'E-']	['B-', 'C-', 'E-', 'G', 'B-', 'C-']
bivo98642	['E---', 'F-', 'A--', 'C--', 'E-', 'F-']	['C--', 'D-', 'F-', 'A--', 'C-', 'D-']
biv98642	['E-', 'F-', 'A--', 'C-', 'E-', 'F-']	['C-', 'D-', 'F-', 'A-', 'C-', 'D-']
bIV98642	['E-', 'F-', 'A-', 'C-', 'E-', 'F-']	['C-', 'D-', 'F', 'A-', 'C-', 'D-']
bIV+98642	['E-', 'F-', 'A-', 'C', 'E-', 'F-']	['C-', 'D-', 'F', 'A', 'C-', 'D-']
bvo98642	['F--', 'G-', 'B--', 'D--', 'F-', 'G-']	['D--', 'E-', 'G-', 'B--', 'D-', 'E-']
