mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	4	1		Bb.vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
3	3	0	0	2/4	4	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
4	4	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
5	5	0	0	2/4	4	1		V7/ii		Bb	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
6	6	0	0	2/4	4	1		ii]		Bb	I		ii	ii					]			m	0	0	2, -1, 3		2	2
7	7	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
7	7	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
9	9	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
9	9	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
10	10	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
11	11	0	0	2/4	4	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
12	12	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
