mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	G.I{	G	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	2	1	IV64	G	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
3	3	1/2	1/2	3/4	2	1	I(6#4#2)	G	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
4	4	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
5	5	0	0	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	3/4	2	1	vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	1/2	1/2	3/4	2	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	0	0	3/4	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	3/4	2	1	IV	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	1/2	1/2	3/4	2	1	IV6	G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
8	8	0	0	3/4	2	1	V(64)}	G	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	1/4	1/4	3/4	2	1	V	G	I		V		V							M	0	0	1, 5, 2		1	1
9	9	0	0	3/4	2	1	I{	G	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
11	11	0	0	3/4	2	1	IV64	G	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
11	11	1/2	1/2	3/4	2	1	I(6#4#2)	G	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
12	12	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
13	13	0	0	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
14	14	1/4	1/4	3/4	2	1	vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
14	14	1/2	1/2	3/4	2	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	3/4	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
15	15	1/4	1/4	3/4	2	1	V(64)	G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	15	1/2	1/2	3/4	2	1	V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	3/4	2	1	I(974)}	G	I		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
16	16	1/4	1/4	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
17	17	0	0	3/4	2	1	V.I{	G	V		I		I						{	M	0	0	0, 4, 1		0	0
18	18	0	0	3/4	2	1	V43	G	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	19	0	0	3/4	2	1	V65	G	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	20	0	0	3/4	2	1	I	G	V		I		I							M	0	0	0, 4, 1		0	0
20	20	1/4	1/4	3/4	2	1	IM2	G	V		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
20	20	1/2	1/2	3/4	2	1	IV6	G	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
21	21	0	0	3/4	2	1	I64	G	V		I64		I		64					M	0	0	1, 0, 4		0	1
21	21	1/4	1/4	3/4	2	1	viio64	G	V		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
21	21	1/2	1/2	3/4	2	1	I6	G	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	0	0	3/4	2	1	ii64	G	V		ii64		ii		64					m	0	0	3, 2, -1		2	3
22	22	1/4	1/4	3/4	2	1	#viio64/ii	G	V		#viio64/ii		#vii	o	64		ii			o	0	0	1, 7, 4		7	1
22	22	1/2	1/2	3/4	2	1	ii6	G	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
