0,1.5,C,1,M,2
1.5,4.0,C,1,M,0
4.0,6.0,C,4,M,1
6.0,8.0,C,4,M,0
8.0,9.5,C,2,m,1
9.5,10.0,C,2,D7,0
10.0,12.0,C,5,D7,0
12.0,15.0,C,1,M,0
15.0,15.5,C,1,m,0
15.5,18.0,C,6,m,0
18.0,20.0,C,1,M,2
20.0,20.5,C,6,M,0
20.5,22.0,C,4,M,0
22.0,23.0,C,1,M,1
23.0,24.0,C,6,M,1
24.0,26.5,C,2,m,0
26.5,27.0,C,2,m,1
27.0,27.5,C,4,m,1
27.5,28.0,C,2,m,0
28.0,30.0,C,2,d,1
30.0,32.0,C,2,m,1
32.0,34.0,C,5,D7,0
34.0,34.5,C,5,M,0
34.5,35.0,C,5,D7,0
35.0,35.5,C,5/5,D7,0
35.5,38.0,C,5,M,0
38.0,40.0,C,4,M,1
40.0,41.5,C,7,d7,0
41.5,42.0,C,7/5,d7,0
42.0,44.0,C,5,D7,1
44.0,46.0,C,1,M,0
46.0,48.0,e,1,m,0
48.0,49.0,a,6,m,0
49.0,50.0,a,1,m,0
50.0,52.0,e,1,m,0
52.0,54.0,a,1,m,0
54.0,56.0,b,5,M,0
56.0,58.0,b,1,m,0
58.0,60.0,b,5,M,0
60.0,60.5,b,6,m,0
60.5,62.0,b,2,m,0
62.0,62.5,C,5,M,0
62.5,66.0,C,5,D7,0
66.0,66.5,C,5,M,1
66.5,68.0,C,4,M,1
68.0,68.5,C,7,D7,0
68.5,70.0,C,7,d7,0
70.0,72.0,C,5,D7,1
72.0,76.0,C,1,M,0
76.0,76.5,F,4,M,1
76.5,77.0,F,1,M,1
77.0,78.0,F,4,M,1
78.0,78.5,F,4,M,0
78.5,80.0,C,4,M,0
80.0,81.5,C,2,m,1
81.5,82.0,C,2,m,0
82.0,84.0,C,5,D7,0
84.0,87.0,C,1,M,0
87.0,88.0,C,1,m,0
88.0,90.0,C,6,m,0
90.0,92.0,C,1,M,2
92.0,94.0,C,4,M,0
94.0,95.5,C,1,M,1
95.5,96.0,C,6,M,1
96.0,98.5,C,2,m,0
98.5,99.5,C,4,m,1
99.5,100.0,C,4,M,1
100.0,100.5,C,2,m,1
100.5,102.0,C,2,d,1
102.0,104.0,C,2,m,1
104.0,106.0,C,5,D7,0
106.0,106.5,C,5,D7,2
106.5,107.5,C,2,D7,2
107.5,108.0,C,2,D7,0
108.0,108.5,C,5,m,0
108.5,109.0,C,7/2,d7,0
109.0,110.0,C,7,d,0
110.0,111.5,C,6,m,1
111.5,112.0,C,4,m,1
112.0,114.0,C,2,m,1
114.0,114.5,C,1,m,1
114.5,115.5,C,5,m,1
115.5,116.0,C,5,D7,0
116.0,118.0,C,1,M,0
118.0,120.0,C,5,D7,0
120.0,122.0,C,4,M,0
122.0,124.0,C,5,D7,0
124.0,126.5,C,1,M,0
126.5,127.0,C,4,M,0
127.0,128.0,C,4,M,1
128.0,128.5,C,4,M,0
128.5,130.5,C,1,M,2
130.5,132.5,C,4,M,1
132.5,134.5,C,1,M,2
134.5,135.0,C,4,M,2
135.0,136.0,C,4,M,1
136.0,136.5,C,4,M,0
136.5,138.5,C,1,M,2
138.5,139.0,C,1,M,0
139.0,140.0,C,5,M,0
140.0,141.0,C,1,M,0
