mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
137	137	1/2	1/2	3/4	2	1	vi6	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
138	138	0	0	3/4	2	1	ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
138	138	1/4	1/4	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
139	139	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
139	139	1/4	1/4	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
139	139	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
140	140	0	0	3/4	2	1	ii7	F	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
140	140	1/4	1/4	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
141	141	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
141	141	1/4	1/4	3/4	2	1	IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
141	141	1/2	1/2	3/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
142	142	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
142	142	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
143	143	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
143	143	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
144	144	0	0	3/4	2	1	I}	F	I		I		I						}	M	0	0	0, 4, 1		0	0
144	144	1/2	1/2	3/4	2	1	I6{	F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
145	145	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
145	145	11/16	11/16	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
146	146	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
147	147	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
148	148	1/4	1/4	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
148	148	1/2	1/2	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
149	149	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
149	149	11/16	11/16	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
150	150	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
151	151	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
152	152	0	0	3/4	2	1	I}	F	I		I		I						}	M	0	0	0, 4, 1		0	0
152	152	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
153	153	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
153	153	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
154	154	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
154	154	1/2	1/2	3/4	2	1	V6/vi{	F	I		V6/vi		V		6		vi		{	M	0	0	8, 5, 4		4	8
155	155	0	0	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
157	157	0	0	3/4	2	1	#viio65/vi	F	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
159	159	0	0	3/4	2	1	vi6	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
161	161	0	0	3/4	2	1	#viio65/v	F	I		#viio65/v		#vii	o	65		v			o7	0	0	3, 0, -3, 6		6	3
163	163	0	0	3/4	2	1	v6	F	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
165	165	0	0	3/4	2	1	#viio43/iv	F	I		#viio43/iv		#vii	o	43		iv			o7	0	0	-2, -5, 4, 1		4	-2
167	167	0	0	3/4	2	1	iv6	F	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
169	169	0	0	3/4	2	1	I64	F	I		I64		I		64					M	0	0	1, 0, 4		0	1
