key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d minor	[0.0, 0.061, 1.0, 0.0, 0.161, 0.513, 0.0, 0.168, 0.0, 0.714, 0.133, 0.0]	0.0	29.0	29.0	1	15	14
F major	[1.0, 0.0, 0.111, 0.0, 0.333, 0.889, 0.0, 0.722, 0.0, 0.583, 0.194, 0.056]	29.0	37.5	1.0	15	19	4
B- major	[0.524, 0.0, 0.833, 0.095, 0.048, 1.0, 0.0, 0.095, 0.0, 0.19, 0.952, 0.0]	37.5	46.0	0.5	19	24	5
d minor	[0.0, 0.049, 1.0, 0.0, 0.267, 0.574, 0.0, 0.284, 0.0, 0.992, 0.25, 0.011]	46.0	93.0	2.0	24	47	23
F major	[1.0, 0.0, 0.111, 0.0, 0.333, 0.889, 0.0, 0.722, 0.0, 0.583, 0.194, 0.056]	93.0	101.5	1.0	47	51	4
B- major	[0.524, 0.0, 0.833, 0.095, 0.048, 1.0, 0.0, 0.095, 0.0, 0.19, 0.952, 0.0]	101.5	110.0	0.5	51	56	5
d minor	[0.0, 0.058, 0.692, 0.0, 0.228, 0.445, 0.0, 0.207, 0.0, 1.0, 0.221, 0.0]	110.0	140.0	2.0	56	71	15
D major	[0.0, 0.03, 1.0, 0.0, 0.149, 0.03, 0.433, 0.06, 0.119, 0.597, 0.0, 0.149]	140.0	157.5	2.0	71	79	8
G major	[0.156, 0.062, 1.0, 0.0, 0.125, 0.0, 0.281, 0.906, 0.0, 0.719, 0.0, 0.719]	157.5	165.0	0.5	79	83	4
D major	[0.0, 0.105, 0.953, 0.0, 0.377, 0.0, 0.545, 0.079, 0.147, 1.0, 0.0, 0.199]	165.0	193.5	0.5	83	97	14
d minor	[0.0, 0.073, 0.439, 0.0, 0.073, 0.317, 0.0, 0.146, 0.0, 1.0, 0.098, 0.0]	193.5	210.0	0.5	97	105	8
