mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	a.i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	0	0	4/4	2	1	i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
4	4	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
6	6	0	0	4/4	2	1	iv(9#7)	a	i		iv(9#7)		iv			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1
6	6	1/4	1/4	4/4	2	1	iv65	a	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
6	6	1/2	1/2	4/4	2	1	VII	a	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
7	7	0	0	4/4	2	1	III(7#2)	a	i		III(7#2)		III			7#2				M	1	1	-3, 6, -2	2	-3	-3
7	7	1/4	1/4	4/4	2	1	IIIM65	a	i		IIIM65		III	M	65					MM7	1	1	1, -2, 2, -3		-3	1
7	7	1/2	1/2	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
8	8	1/4	1/4	4/4	2	1	iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	1/2	1/2	4/4	2	1	V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	3/4	3/4	4/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	0	0	4/4	2	1	i[i}{	a	i	i	i		i						}{	m	1	1	0, -3, 1		0	0
10	10	0	0	4/4	2	1	#viio65	a	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
11	11	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
12	12	0	0	4/4	2	1	V43/VI	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
13	13	0	0	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	13	1/4	1/4	4/4	2	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
13	13	1/2	1/2	4/4	2	1	V43/iv	a	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
14	14	0	0	4/4	2	1	IV	a	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
14	14	1/4	1/4	4/4	2	1	V65/III	a	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
14	14	1/2	1/2	4/4	2	1	III(#9)	a	i		III(#9)		III			#9				M	1	1	-3, 1, -2	6	-3	-3
14	14	3/4	3/4	4/4	2	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
15	15	0	0	4/4	2	1	III.ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
15	15	3/4	3/4	4/4	2	1	viio/V	a	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
16	16	0	0	4/4	2	1	V[V}{	a	III	V	V		V						}{	M	1	0	1, 5, 2		1	1
16	16	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
16	16	3/4	3/4	4/4	2	1	V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	0	0	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
17	17	3/4	3/4	4/4	2	1	viio43/V	a	III	V	viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
18	18	0	0	4/4	2	1	V	a	III	V	V		V							M	1	0	1, 5, 2		1	1
18	18	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
18	18	3/4	3/4	4/4	2	1	V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
19	19	3/4	3/4	4/4	2	1	viio43/V	a	III	V	viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
20	20	0	0	4/4	2	1	V]	a	III	V	V		V							M	1	0	1, 5, 2		1	1
20	20	1/4	1/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
20	20	1/2	1/2	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
20	20	3/4	3/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	0	0	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	1/4	1/4	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	1/2	1/2	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	5/8	5/8	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
21	21	3/4	3/4	4/4	2	1	V	a	III		V		V							M	1	0	1, 5, 2		1	1
21	21	7/8	7/8	4/4	2	1	i	a	III		i		i							m	1	0	0, -3, 1		0	0
22	22	0	0	4/4	2	1	V}	a	III		V		V						}	M	1	0	1, 5, 2		1	1
22	22	5/8	5/8	4/4	2	1	{	a	III										{		1	0				
23	23	0	0	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
24	24	0	0	4/4	2	1	ii	a	III		ii		ii							m	1	0	2, -1, 3		2	2
25	25	0	0	4/4	2	1	V7	a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
26	26	0	0	4/4	2	1	I	a	III		I		I							M	1	0	0, 4, 1		0	0
27	27	0	0	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
28	28	0	0	4/4	2	1	ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
29	29	0	0	4/4	2	1	I6(2)	a	III		I6(2)		I		6	2				M	1	0	4, 1, 2		0	4
29	29	1/2	1/2	4/4	2	1	I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
