key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.123, 0.242, 0.0, 0.183, 0.0, 0.819, 0.128, 0.031, 0.0, 0.213, 1.0]	0.0	15.5	15.5	1	11	10
D major	[0.0, 0.471, 1.0, 0.0, 0.307, 0.0, 0.667, 0.222, 0.0, 0.778, 0.0, 0.0]	15.5	18.0	1.0	11	13	2
b minor	[0.0, 0.161, 0.6, 0.0, 0.136, 0.0, 0.825, 0.097, 0.008, 0.006, 0.223, 1.0]	18.0	33.5	1.0	13	23	10
D major	[0.0, 0.471, 1.0, 0.0, 0.307, 0.0, 0.667, 0.222, 0.0, 0.778, 0.0, 0.0]	33.5	36.0	1.0	23	25	2
b minor	[0.0, 0.238, 0.746, 0.0, 0.137, 0.0, 0.865, 0.0, 0.0, 0.0, 0.202, 1.0]	36.0	42.0	1.0	25	29	4
e minor	[0.189, 0.169, 0.0, 0.329, 0.169, 0.0, 0.423, 0.32, 0.0, 0.019, 0.151, 1.0]	42.0	47.5	1.5	29	32	3
C major	[0.643, 0.0, 0.172, 0.0, 0.488, 0.129, 0.0, 1.0, 0.0, 0.0, 0.0, 0.174]	47.5	51.0	0.5	32	35	3
b minor	[0.0, 0.281, 0.779, 0.0, 0.126, 0.0, 0.995, 0.0, 0.0, 0.0, 0.251, 1.0]	51.0	53.5	1.0	35	36	1
C major	[0.643, 0.0, 0.172, 0.0, 0.488, 0.073, 0.056, 1.0, 0.0, 0.0, 0.0, 0.174]	53.5	57.0	0.5	36	39	3
b minor	[0.0, 0.227, 0.405, 0.0, 0.215, 0.0, 1.0, 0.067, 0.018, 0.0, 0.177, 0.986]	57.0	64.5	1.0	39	43	4
