key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e minor	[0.19, 0.048, 0.024, 0.096, 0.897, 0.0, 0.299, 0.396, 0.048, 0.361, 0.048, 1.0]	0.0	66.0	66.0	1	34	33
G major	[0.0, 0.462, 0.615, 0.0, 0.923, 0.0, 0.0, 0.821, 0.0, 0.462, 0.0, 1.0]	66.0	78.0	2.0	34	40	6
b minor	[0.123, 0.326, 0.517, 0.0, 0.416, 0.067, 1.0, 0.304, 0.067, 0.0, 0.169, 0.909]	78.0	104.0	2.0	40	53	13
G major	[0.283, 0.264, 0.977, 0.186, 0.209, 0.0, 0.233, 1.0, 0.0, 0.559, 0.0, 0.744]	104.0	126.0	2.0	53	64	11
e minor	[0.174, 0.0, 0.0, 0.087, 1.0, 0.0, 0.088, 0.717, 0.0, 0.174, 0.0, 0.522]	126.0	134.0	2.0	64	68	4
G major	[0.534, 0.0, 1.0, 0.228, 0.175, 0.0, 0.412, 0.869, 0.0, 0.731, 0.0, 0.566]	134.0	156.0	2.0	68	79	11
e minor	[0.095, 0.056, 0.0, 0.028, 0.17, 0.0, 0.189, 0.255, 0.0, 0.217, 0.113, 1.0]	156.0	176.0	2.0	79	89	10
G major	[0.0, 0.462, 0.615, 0.0, 0.923, 0.0, 0.0, 0.821, 0.0, 0.462, 0.0, 1.0]	176.0	188.0	2.0	89	95	6
b minor	[0.128, 0.338, 0.535, 0.0, 0.43, 0.07, 1.0, 0.314, 0.07, 0.0, 0.175, 0.941]	188.0	214.0	2.0	95	108	13
e minor	[0.341, 0.02, 0.02, 0.161, 1.0, 0.0, 0.167, 0.546, 0.04, 0.208, 0.017, 0.732]	214.0	282.0	2.0	108	141	33
