key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.276, 0.545, 0.0, 0.228, 0.083, 1.0, 0.345, 0.0, 0.0, 0.138, 0.917]	0.0	46.0	46.0	1	24	23
a minor	[0.0, 0.778, 0.553, 0.0, 1.0, 0.881, 0.112, 0.112, 0.553, 0.885, 0.225, 0.881]	46.0	56.0	2.0	24	29	5
c minor	[0.118, 0.0, 0.762, 0.295, 0.0, 0.291, 0.058, 1.0, 0.0, 0.058, 0.0, 0.471]	56.0	60.0	1.0	29	31	2
C major	[0.517, 0.0, 0.138, 0.0, 0.69, 0.069, 0.0, 1.0, 0.0, 0.0, 0.0, 0.138]	60.0	63.5	1.5	31	32	1
b minor	[0.0, 0.083, 0.528, 0.0, 0.083, 0.167, 1.0, 0.222, 0.0, 0.0, 0.056, 0.667]	63.5	70.0	0.5	32	36	4
g minor	[0.5, 0.0, 0.5, 1.0, 0.0, 0.0, 0.5, 0.75, 0.0, 1.0, 0.0, 0.625]	70.0	74.0	2.0	36	38	2
a minor	[0.0, 0.644, 0.427, 0.0, 1.0, 0.565, 0.144, 0.144, 0.427, 0.712, 0.288, 0.565]	74.0	80.0	2.0	38	41	3
c minor	[0.118, 0.0, 0.762, 0.295, 0.0, 0.291, 0.058, 1.0, 0.0, 0.058, 0.0, 0.471]	80.0	84.0	1.0	41	43	2
C major	[0.517, 0.0, 0.138, 0.0, 0.69, 0.069, 0.0, 1.0, 0.0, 0.0, 0.0, 0.138]	84.0	87.5	1.5	43	44	1
b minor	[0.0, 0.062, 0.542, 0.0, 0.062, 0.042, 1.0, 0.083, 0.0, 0.0, 0.042, 0.896]	87.5	96.0	0.5	44	48	4
