mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/4	1/4	4/4	4	1		b.i	b	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1/2	1/2	4/4	4	1		V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	1	1/8	1/8	4/4	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
2	1	1/2	1/2	4/4	4	1		V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	2	0	0	4/4	4	1		iio	b	i		iio	ii	o						o	1	1	2, -1, -4		2	2
3	2	1/2	1/2	4/4	4	1		iio65	b	i		iio65	ii	o	65					o7	1	1	-1, -4, -7, 2		2	-1
4	3	0	0	4/4	4	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	1/4	1/4	4/4	4	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/2	1/2	4/4	4	1		i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
4	3	3/4	3/4	4/4	4	1		V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	0	0	4/4	4	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	4	1/2	1/2	4/4	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
6	5	0	0	4/4	4	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	1/2	1/2	4/4	4	1		#vio65	b	i		#vio65	#vi	o	65					o7	1	1	0, -3, -6, 3		3	0
7	6	0	0	4/4	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
7	6	1/4	1/4	4/4	4	1		V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	6	1/2	1/2	4/4	4	1		i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
7	6	3/4	3/4	4/4	4	1		VII.ii65	b	VII		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
8	7	0	0	4/4	4	1		V7(4)	b	VII		V7(4)	V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
8	7	1/8	1/8	4/4	4	1		V7	b	VII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
8	7	1/2	1/2	4/4	4	1		V43	b	VII		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
9	8	5/8	5/8	4/4	4	1		V2	b	VII		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
9	8	3/4	3/4	4/4	4	1		I6	b	VII		I6	I		6					M	1	0	4, 1, 0		0	4
10	9	0	0	4/4	4	1		IV	b	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	9	1/8	1/8	4/4	4	1		V65/V	b	VII		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
10	9	5/8	5/8	4/4	4	1		V(64)	b	VII		V(64)	V			64				M	1	0	1, 0, 4		1	1
10	9	3/4	3/4	4/4	4	1		V7	b	VII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	10	0	0	4/4	4	1		V7/IV	b	VII		V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
11	10	1/4	1/4	4/4	4	1		iiio2	b	VII		iiio2	iii	o	2					o7	1	0	-5, 4, 1, -2		4	-5
11	10	3/4	3/4	4/4	4	1		I	b	VII		I	I							M	1	0	0, 4, 1		0	0
