mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	4	1		Eb.I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	2/2	4	1		viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
2	2	3/4	3/4	2/2	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	2/2	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	2/2	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	3/4	3/4	2/2	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	2/2	4	1		I[I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	2/2	4	1		V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	2/2	4	1		I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	2/2	4	1		V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	0	0	2/2	4	1		I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
7	7	1/2	1/2	2/2	4	1		V43(+#4)		Eb	I	I	V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
8	8	0	0	2/2	4	1		V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	3/4	3/4	2/2	4	1		V43]		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	0	0	2/2	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	2/2	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	0	0	2/2	4	1		vi43		Eb	I		vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
10	10	1/2	1/2	2/2	4	1		viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
11	11	0	0	2/2	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	2/2	4	1		vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
11	11	1/2	1/2	2/2	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	3/4	3/4	2/2	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
12	12	0	0	2/2	4	1		I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
12	12	1/4	1/4	2/2	4	1		V65/V		Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
12	12	1/2	1/2	2/2	4	1		V\\		Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
