key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
A major	[0.0, 0.626, 0.296, 0.0, 0.678, 0.035, 0.452, 0.0, 0.2, 1.0, 0.0, 0.226]	0.0	42.5	42.5	0	15	15
e minor	[0.126, 0.0, 0.0, 0.0, 0.502, 0.0, 0.126, 0.312, 0.0, 0.125, 0.064, 1.0]	42.5	50.0	1.5	15	17	2
d minor	[0.0, 0.312, 1.0, 0.0, 0.252, 0.374, 0.0, 0.125, 0.127, 0.374, 0.127, 0.062]	50.0	54.5	1.5	17	19	2
g minor	[0.182, 0.093, 1.0, 0.184, 0.0, 0.0, 0.0, 0.578, 0.0, 0.184, 0.364, 0.0]	54.5	60.0	1.5	19	20	1
a minor	[0.252, 0.0, 0.303, 0.034, 0.546, 0.202, 0.0, 0.0, 0.168, 1.0, 0.101, 0.202]	60.0	78.5	0.5	20	27	7
A major	[0.0, 0.347, 0.185, 0.0, 0.726, 0.0, 0.065, 0.065, 0.145, 1.0, 0.0, 0.105]	78.5	98.5	1.0	27	37	10
a minor	[0.172, 0.0, 0.19, 0.0, 0.25, 0.233, 0.0, 0.017, 0.052, 1.0, 0.0, 0.034]	98.5	112.5	2.0	37	44	7
A major	[0.0, 0.531, 0.238, 0.0, 0.545, 0.028, 0.364, 0.0, 0.161, 1.0, 0.0, 0.182]	112.5	157.5	3.0	44	59	15
e minor	[0.126, 0.0, 0.0, 0.0, 0.502, 0.0, 0.126, 0.312, 0.0, 0.125, 0.064, 1.0]	157.5	165.0	1.5	59	61	2
d minor	[0.0, 0.312, 1.0, 0.0, 0.252, 0.374, 0.0, 0.125, 0.127, 0.374, 0.127, 0.062]	165.0	169.5	1.5	61	63	2
g minor	[0.182, 0.093, 1.0, 0.184, 0.0, 0.0, 0.0, 0.547, 0.093, 0.184, 0.364, 0.0]	169.5	175.0	1.5	63	64	1
a minor	[0.252, 0.0, 0.303, 0.034, 0.546, 0.218, 0.0, 0.0, 0.168, 1.0, 0.101, 0.202]	175.0	193.5	0.5	64	71	7
A major	[0.0, 0.347, 0.185, 0.0, 0.726, 0.0, 0.065, 0.065, 0.145, 1.0, 0.0, 0.105]	193.5	213.5	1.0	71	81	10
a minor	[0.243, 0.0, 0.149, 0.0, 0.318, 0.155, 0.014, 0.014, 0.041, 1.0, 0.0, 0.027]	213.5	229.5	2.0	81	88	7
