0,5.5,E-,1,M,2
5.5,8.0,E-,1,M,1
8.0,8.5,E-,2,m7,1
8.5,10.0,E-,2,m,1
10.0,12.0,E-,5/5,D7,1
12.0,16.0,E-,5,D7,0
16.0,21.0,E-,1,M,0
21.0,22.0,E-,5,D7,1
22.0,24.0,E-,1,M,0
24.0,25.0,E-,5,D7,0
25.0,25.5,E-,5,D7,1
25.5,26.0,E-,5,M,1
26.0,27.0,E-,1,M,0
27.0,28.0,E-,5/6,D7,0
28.0,30.0,E-,6,m,0
30.0,32.0,E-,5/5,D7,0
32.0,32.5,E-,5,M,0
32.5,36.0,E-,5,D7,3
36.0,40.0,E-,1,M,1
40.0,41.0,E-,4,M,0
41.0,42.0,E-,2,m7,1
42.0,44.0,E-,5/5,D7,1
44.0,48.0,E-,5,D7,0
48.0,53.0,E-,1,M,0
53.0,54.0,E-,5,D7,1
54.0,57.0,E-,1,M,0
57.0,58.0,E-,5,D7,1
58.0,59.0,E-,1,M,0
59.0,59.5,E-,5/6,D7,2
59.5,60.0,E-,5/6,D7,0
60.0,62.0,E-,6,m,0
62.0,64.0,E-,5/5,D7,0
64.0,64.5,E-,5,M,0
64.5,68.0,E-,5,D7,3
68.0,69.0,E-,1,M,0
69.0,72.0,E-,1,M,1
72.0,72.5,E-,4,M,1
72.5,73.0,E-,5,D7,3
73.0,76.0,E-,5/5,D7,3
76.0,77.0,E-,5,D7,1
77.0,77.5,E-,5,D7,2
77.5,80.0,E-,5,D7,3
80.0,80.5,E-,5,D7,2
80.5,81.5,E-,5,D7,1
81.5,82.0,E-,5,D7,2
82.0,83.0,c,1,m,1
83.0,83.5,E-,4,m,1
83.5,84.0,E-,6,m,1
84.0,85.0,E-,2,m,0
85.0,86.0,E-,2,m,1
86.0,86.5,E-,2,D7,1
86.5,87.0,E-,5,D7,2
87.0,88.0,E-,5,D7,3
88.0,90.0,E-,5,D7,0
90.0,92.0,E-,1,M,1
92.0,94.0,E-,4,M,1
94.0,96.0,E-,2,m,1
96.0,98.0,E-,5,D7,3
98.0,100.0,E-,1,M,1
100.0,101.5,g,4,h7,1
101.5,102.0,g,4,m7,1
102.0,104.0,g,5,D7,1
104.0,106.0,g,1,m,0
106.0,107.0,g,1,m,2
107.0,108.0,g,5,D7,0
108.0,110.0,E-,7,d7,0
110.0,112.0,E-,5,D7,1
112.0,116.0,E-,5,D7,3
116.0,116.5,E-,1,M,1
116.5,117.0,E-,7,M,1
117.0,117.5,E-,5,M,1
117.5,118.0,E-,5,D7,1
118.0,120.0,E-,2,m,1
120.0,124.0,E-,5,D7,0
124.0,129.0,E-,1,M,0
129.0,130.0,E-,5,D7,1
130.0,132.5,E-,1,M,0
132.5,133.0,E-,1,M,1
133.0,134.0,E-,5,M,1
134.0,135.0,E-,1,M,0
135.0,135.5,E-,5/2,D7,2
135.5,136.0,E-,5/2,D7,1
136.0,136.5,c,1,m,0
136.5,137.5,c,6,m,0
137.5,138.0,E-,6,m,0
138.0,139.0,B-,5,D7,0
139.0,139.5,B-,5/5,D7,0
139.5,140.0,E-,5/5,D7,0
140.0,142.0,E-,5,D7,0
142.0,144.0,A-,5,D7,0
144.0,146.0,A-,1,M,0
146.0,147.0,E-,1,M,0
147.0,147.5,E-,5,M,0
147.5,148.0,E-,5,D7,0
148.0,148.5,E-,5,M,0
148.5,150.5,A-,5,D7,1
150.5,151.0,A-,5,D7,0
151.0,152.0,A-,1,M,0
152.0,154.0,A-,5,D7,0
154.0,156.0,A-,1,M,1
156.0,156.5,A-,5,D7,2
156.5,158.5,A-,5,D7,1
158.5,159.0,E-,1,m,0
159.0,160.0,A-,1,m,0
160.0,160.5,D-,7,d7,2
160.5,161.5,b-,7,d7,2
161.5,162.0,D-,7,d7,2
162.0,162.5,D-,1,m,2
162.5,164.0,D-,1,m,0
164.0,164.5,D-,4,m,0
164.5,166.0,D-,4,M,1
166.0,168.0,D-,5,D7,0
168.0,170.0,D-,1,M,0
170.0,171.0,D-,7,d7,2
171.0,171.5,A-,7,d7,2
171.5,172.0,A-,7/5,d7,2
172.0,173.0,g,1,m,0
173.0,173.5,g,1,M,1
173.5,174.0,A-,1,M,1
174.0,174.5,A-,4,m,1
174.5,175.5,f,4,m,2
175.5,176.0,F,4,m7,1
176.0,178.0,F,7,d7,1
178.0,179.0,c,7,d7,1
179.0,179.5,c,5,D7,1
179.5,180.0,c,7/5,d7,0
180.0,181.0,F,5,M,0
181.0,183.0,F,5,D7,3
183.0,184.0,F,1,M,1
184.0,186.0,F,5,D7,0
186.0,188.0,F,1,M,2
188.0,188.5,F,5,D7,0
188.5,189.0,g,5,D7,0
189.0,191.0,g,5,D7,3
191.0,192.0,g,1,m,1
192.0,194.0,g,7,d7,2
194.0,195.0,g,1,m,0
195.0,195.5,g,2,m,0
195.5,196.0,F,2,m,0
196.0,196.5,F,1,m,0
196.5,197.0,g,4,M,1
197.0,198.0,g,1,M,1
198.0,200.0,F,5,D7,0
200.0,201.0,B-,1,M,0
201.0,202.0,F,1,M,0
202.0,202.5,F,7,d7,0
202.5,203.5,F,7,d7,3
203.5,204.0,d,7,d7,3
204.0,205.0,a,1,m,0
205.0,205.5,F,1,m,1
205.5,206.0,F,1,M,1
206.0,207.0,a,4,m,1
