COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Beethoven, Ludwig van",Op018 No1,1,143-144,viio/ii-V43-iio6-VIM43,C minor
"Beethoven, Ludwig van",Op018 No2,1,93-95,I-V-i-V43,Bb major-C minor
"Beethoven, Ludwig van",Op018 No2,1,162-165,I-v-ii-i,G major-E minor
"Beethoven, Ludwig van",Op059 No2,2,1-2,I-V-ii-vi,E major
"Beethoven, Ludwig van",Op074,1,39-41,I-iv6/ii-ii64-vi,Eb major
"Beethoven, Ludwig van",Op130,4,62-63,vi6-i6-V64-V7/V,C major-E minor
"Beethoven, Ludwig van",Op132,1,111-112,viio65-iv7-i6-V43[no3][add4],E minor
"Beethoven, Ludwig van",Op132,5,116-119,iv-V6/iv-v-V6/v,A minor
"Haydn, Franz Joseph",Op20 No5,4,28-31,VII-iv64-i-v64,F minor
"Haydn, Franz Joseph",Op20 No5,4,29-32,iv64-i-v64-iio7,F minor
