COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Beethoven, Ludwig van",Op018 No1,2,35/110,V65/IV-iv-V65-i,F major
"Beethoven, Ludwig van",Op018 No1,2,85/110,#viio7/iv-iv-V65-i,D major
"Beethoven, Ludwig van",Op018 No1,4,358/381,V7/IV-IV-V7-I,F major
"Beethoven, Ludwig van",Op018 No1,4,362/381,V7/IV-IV-V7-I,F major
"Beethoven, Ludwig van",Op018 No2,1,223/249,V65/IV-IV-V43-I6,G major
"Beethoven, Ludwig van",Op018 No2,3,65/86,V7/IV-IV-V65-I,C major
"Beethoven, Ludwig van",Op018 No2,4,30/412,V2/IV-IV6-viio-I,G major
"Beethoven, Ludwig van",Op018 No2,4,276/412,V2/IV-IV6-V65-I,G major
"Beethoven, Ludwig van",Op018 No3,1,28/269,V2/IV-IV6-V65-I[no3][add#2],D major
"Beethoven, Ludwig van",Op018 No3,1,32/269,V2/IV-IV6-V65-I[no3][add#2],D major
"Beethoven, Ludwig van",Op018 No6,2,22/79,#viio6/iv-iv6-V65-i,Bb minor
"Beethoven, Ludwig van",Op059 No1,2,328/476,V2/iv-iv6-viio43[add2]-I,A major
"Beethoven, Ludwig van",Op059 No1,2,332/476,V2/iv-iv6-viio43[add2]-I,A major
"Beethoven, Ludwig van",Op059 No1,3,108/132,V7/iv-iv-#viio6-i6,F minor
"Beethoven, Ludwig van",Op059 No2,2,131/157,V2/iv-iv6-V6-I,E major
"Beethoven, Ludwig van",Op059 No2,2,147/157,V2/IV-iv6-V65-I,E major
"Beethoven, Ludwig van",Op059 No3,2,12/207,V7/iv-iv-V7-i,A minor
"Beethoven, Ludwig van",Op059 No3,4,24/428,V65/IV-IV-V7-I,C major
"Beethoven, Ludwig van",Op059 No3,4,26/428,V65/IV-IV-V7-I,C major
"Beethoven, Ludwig van",Op059 No3,4,213/428,V2/IV-IV6-V2-I6,C major
"Beethoven, Ludwig van",Op059 No3,4,223/428,viio43/IV-IV6-V43-I,G major
"Beethoven, Ludwig van",Op059 No3,4,233/428,viio/IV-IV6-V65-I,C major
"Beethoven, Ludwig van",Op059 No3,4,235/428,V43/IV-IV6-V65-I,C major
"Beethoven, Ludwig van",Op059 No3,4,243/428,V2/IV-IV6-V2-I6,C major
"Beethoven, Ludwig van",Op059 No3,4,245/428,V2/IV-IV6-V2-I6,C major
"Beethoven, Ludwig van",Op059 No3,4,360/428,V2/IV-IV6-viio-I64,C minor
"Beethoven, Ludwig van",Op059 No3,4,362/428,V2/IV-IV6-viio-I,C minor
"Beethoven, Ludwig van",Op059 No3,4,394/428,viio6/IV-IV64-viio-I,C minor
"Beethoven, Ludwig van",Op059 No3,4,396/428,V2/IV-IV64-viio-I,C minor
"Beethoven, Ludwig van",Op074,3,146/467,V2/IV-IV-V-I,C major
"Beethoven, Ludwig van",Op074,3,150/467,V2/IV-IV-V-I,C major
"Beethoven, Ludwig van",Op074,3,315/467,V2/IV-IV-V43-I,C major
"Beethoven, Ludwig van",Op074,3,319/467,V2/IV-IV-V43-I,C major
"Beethoven, Ludwig van",Op074,4,141/195,viio/IV-IV-V7-I,Eb major
"Beethoven, Ludwig van",Op095,1,138/151,V7[add9]/iv-iv-#vii43-i[no3][add9][add4],F minor
"Beethoven, Ludwig van",Op127,4,19/299,V2/IV-IV6-V6-I[no3][add9][add7][add4],Eb major
"Beethoven, Ludwig van",Op127,4,201/299,V2/IV-IV6-viio-I,Eb major
"Beethoven, Ludwig van",Op130,3,14/89,V7/IV-IV-V6-I,Ab major
"Beethoven, Ludwig van",Op130,6,62/493,V7/IV-IV-viio6-I6,F major
"Beethoven, Ludwig van",Op130,6,110/493,V2/IV-IV6-V65-I,Ab major
"Beethoven, Ludwig van",Op130,6,118/493,V2/IV-IV6-V65-I,Ab major
"Beethoven, Ludwig van",Op130,6,252/493,viio6/IV-IV-V43-I,Bb major
"Beethoven, Ludwig van",Op130,6,275/493,V7/IV-IV-V7-I64,Bb major
"Beethoven, Ludwig van",Op130,6,284/493,V43/IV-IV6-V7-I,Bb major
"Beethoven, Ludwig van",Op130,6,354/493,V2/IV-IV6-V65-I,Eb major
"Beethoven, Ludwig van",Op131,1,105/120,V43/iv-iv-V2-i6,C# minor
"Beethoven, Ludwig van",Op131,7,73/386,V7/IV-IV-V43-I,E major
"Beethoven, Ludwig van",Op131,7,233/386,V7/IV-IV64-V43-I,D major
"Beethoven, Ludwig van",Op131,7,255/386,V7/IV-IV64-V43-I,C# major
"Beethoven, Ludwig van",Op131,7,291/386,V6/iv-iv-V65-i6,C# minor
"Beethoven, Ludwig van",Op132,5,374/404,viio/IV-IV-V-I,A major
"Beethoven, Ludwig van",Op135,1,186/193,V65/IV-IV-V2-I6,F major
"Brahms, Johannes",Op51 No1,4,237/248,V7/iv-iv6/4-viio7-i,C minor
"Haydn, Franz Joseph",Op20 No2,3,39/84,V/IV-IV-viio-I6,C major
"Haydn, Franz Joseph",Op20 No2,4,59/162,V7/IV-IV-V6-I,C major
"Haydn, Franz Joseph",Op20 No3,4,100/104,viio6/iv-iv64-viio7-i,G minor
"Haydn, Franz Joseph",Op20 No5,2,21/100,viio43/iv-iv6-V-i,F minor
"Haydn, Franz Joseph",Op20 No6,1,132/166,V/IV-IV-V7-I,G major
"Haydn, Franz Joseph",Op20 No6,2,11/79,V7/IV-IV64-viio-I,E major
"Haydn, Franz Joseph",Op20 No6,2,38/79,V7/IV-IV64-viio-I,E major
"Haydn, Franz Joseph",Op20 No6,2,77/79,V+65/IV-IV-V7-I,E major
"Haydn, Franz Joseph",Op74 No3,1,63/197,V6/5/IV-IV-V7-I,Bb major
"Haydn, Franz Joseph",Op74 No3,1,67/197,V6/5/IV-IV-V7-I,Bb major
"Haydn, Franz Joseph",Op74 No3,1,177/197,V6/5/IV-IV-V7-I,G major
"Haydn, Franz Joseph",Op74 No3,1,181/197,V6/5/IV-IV-V7-I,G major
"Haydn, Franz Joseph",Op74 No3,3,68/74,viio7/iv-IV-viio6/5-i6,C minor
