mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	0	0	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	3/4	4	1		I+	D	I		I+		I	+						+	0	0	0, 4, 8		0	0
3	2	0	0	3/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	1/2	1/2	3/4	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	3	0	0	3/4	4	1		V2(4)	D	I		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
4	3	1/4	1/4	3/4	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	3	1/2	1/2	3/4	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	0	0	3/4	4	1		V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
5	4	1/4	1/4	3/4	4	1		V\\	D	I		V		V						\\	M	0	0	1, 5, 2		1	1
6	5	0	0	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	0	0	3/4	4	1		vi(6)	D	I		vi(6)		vi			6				m	0	0	3, 0, -1		3	3
7	6	1/4	1/4	3/4	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	1/2	1/2	3/4	4	1		iii.#viio43	D	iii		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
8	7	0	0	3/4	4	1		i6	D	iii		i6		i		6					m	0	1	-3, 1, 0		0	-3
8	7	1/4	1/4	3/4	4	1		i	D	iii		i		i							m	0	1	0, -3, 1		0	0
8	7	1/2	1/2	3/4	4	1		V7(6)	D	iii		V7(6)		V		7	6				Mm7	0	1	1, 5, -3, -1		1	1
8	7	5/8	5/8	3/4	4	1		V7	D	iii		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
9	8	0	0	3/4	4	1		i\\	D	iii		i		i						\\	m	0	1	0, -3, 1		0	0
10	8	0	1/2	3/4	4	1		IV.V7/vi	D	IV		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
11	9	1/4	1/4	3/4	4	1		V(64)/vi	D	IV		V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4
11	9	1/2	1/2	3/4	4	1		V2/vi	D	IV		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
12	10	0	0	3/4	4	1		vi6	D	IV		vi6		vi		6					m	0	0	0, 4, 3		3	0
12	10	1/2	1/2	3/4	4	1		vi	D	IV		vi		vi							m	0	0	3, 0, 4		3	3
13	11	0	0	3/4	4	1		V7	D	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	11	1/4	1/4	3/4	4	1		V(6)	D	IV		V(6)		V			6				M	0	0	1, 5, 4		1	1
13	11	1/2	1/2	3/4	4	1		V7(+9)	D	IV		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
14	12	0	0	3/4	4	1		V7	D	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	13	0	0	3/4	4	1		I	D	IV		I		I							M	0	0	0, 4, 1		0	0
15	13	1/2	1/2	3/4	4	1		I+	D	IV		I+		I	+						+	0	0	0, 4, 8		0	0
16	14	0	0	3/4	4	1		IV	D	IV		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	14	1/2	1/2	3/4	4	1		ii6	D	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
17	15	0	0	3/4	4	1		V2(4)	D	IV		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
17	15	1/4	1/4	3/4	4	1		V2	D	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	15	1/2	1/2	3/4	4	1		I6	D	IV		I6		I		6					M	0	0	4, 1, 0		0	4
18	16	0	0	3/4	4	1		V(64)	D	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
18	16	1/4	1/4	3/4	4	1		V\\	D	IV		V		V						\\	M	0	0	1, 5, 2		1	1
18	16	1/2	1/2	3/4	4	1		V+6	D	IV		V+6		V	+	6					+	0	0	5, 9, 1		1	5
19	17	0	0	3/4	4	1		I(4)	D	IV		I(4)		I			4				M	0	0	0, -1, 1		0	0
19	17	1/2	1/2	3/4	4	1		V43/V	D	IV		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
20	18	0	0	3/4	4	1		V6(2)	D	IV		V6(2)		V		6	2				M	0	0	5, 2, 3		1	5
20	18	1/4	1/4	3/4	4	1		V6	D	IV		V6		V		6					M	0	0	5, 2, 1		1	5
20	18	1/2	1/2	3/4	4	1		I.V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	19	0	0	3/4	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
21	19	1/4	1/4	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
21	19	1/2	1/2	3/4	4	1		ii7	D	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
22	20	0	0	3/4	4	1		#viio7/iii	D	I		#viio7/iii		#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
23	21	0	0	3/4	4	1		I6(#4)	D	I		I6(#4)		I		6	#4				M	0	0	4, 6, 0		0	4
24	22	0	0	3/4	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
24	22	1/2	1/2	3/4	4	1		I+6	D	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
26	24	0	0	3/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
27	25	0	0	3/4	4	1		Ger6/vi	D	I		Ger6/vi	Ger	vii	o	65	b3	V/vi			Ger	0	0	-1, 3, 0, 9		9	-1
28	26	0	0	3/4	4	1		V/vi\\	D	I		V/vi		V				vi		\\	M	0	0	4, 8, 5		4	4
30	28	0	0	3/4	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
31	29	0	0	3/4	4	1		V2(4)	D	I		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
32	30	0	0	3/4	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
32	30	1/2	1/2	3/4	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
33	31	0	0	3/4	4	1		ii6(2)	D	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
33	31	1/2	1/2	3/4	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	32	0	0	3/4	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	33	0	0	3/4	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
36	34	0	0	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
37	35	0	0	3/4	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
38	36	1/2	1/2	3/4	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
39	37	0	0	3/4	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
39	37	1/4	1/4	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
40	38	0	0	3/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
40	38	1/2	1/2	3/4	4	1		V7/IV	D	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
41	39	0	0	3/4	4	1		V6(2)/ii	D	I		V6(2)/ii		V		6	2	ii			M	0	0	7, 4, -2		3	7
41	39	1/4	1/4	3/4	4	1		V6/ii	D	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
43	41	0	0	3/4	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
43	41	1/2	1/2	3/4	4	1		viio65/ii	D	I		viio65/ii		vii	o	65		ii			o7	0	0	-3, -6, -9, 0		0	-3
44	42	0	0	3/4	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
