mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		f.viio7/V	f	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
1	1	1/4	1/4	3/4	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
1	1	1/2	1/2	3/4	4	1		viio65/V	f	i		viio65/V	vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
3	3	1/4	1/4	3/4	4	1		v6	f	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	1/2	1/2	3/4	4	1		viio43/V	f	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
5	5	1/4	1/4	3/4	4	1		v.V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	0	0	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
6	6	1/4	1/4	3/4	4	1		i(9)	f	v		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
6	6	5/8	5/8	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
7	7	0	0	3/4	4	1		iv(4)	f	v		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
7	7	3/16	3/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	1/4	1/4	3/4	4	1		iv(9)	f	v		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
7	7	7/16	7/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	1/2	1/2	3/4	4	1		V(6)	f	v		V(6)	V			6				M	1	1	1, 5, -3		1	1
7	7	5/8	5/8	3/4	4	1		V	f	v		V	V							M	1	1	1, 5, 2		1	1
8	8	0	0	3/4	4	1		i2	f	v		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
9	9	0	0	3/4	4	1		i.V	f	i		V	V							M	1	1	1, 5, 2		1	1
9	9	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	1/2	1/2	3/4	4	1		iio6	f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
10	10	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	1/2	1/2	3/4	4	1		V64	f	i		V64	V		64					M	1	1	2, 1, 5		1	2
11	11	0	0	3/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	1/4	1/4	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
12	12	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	1/2	1/2	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
13	13	1/4	1/4	3/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
13	13	5/8	5/8	3/4	4	1		V65	f	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
14	14	0	0	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	1/4	1/4	3/4	4	1		i(9)	f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
14	14	5/8	5/8	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
15	15	0	0	3/4	4	1		iv(4)	f	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
15	15	1/8	1/8	3/4	4	1		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	1/4	1/4	3/4	4	1		iv(9)	f	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
15	15	3/8	3/8	3/4	4	1		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	1/2	1/2	3/4	4	1		V(6)	f	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
