COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Haydn, Franz Joseph	Symphony 104	1	104	viio43	A major
Haydn, Franz Joseph	Symphony 104	1	106	viio43	A major
Haydn, Franz Joseph	Symphony 104	1	186	bVI42[#7]	D major
Haydn, Franz Joseph	Symphony 104	1	187	v7	D major
Haydn, Franz Joseph	Symphony 104	1	240	viio65	D major
Haydn, Franz Joseph	Symphony 104	1	241	iio6	D major
Haydn, Franz Joseph	Symphony 104	1	254	I	E minor
Haydn, Franz Joseph	Symphony 104	1	271	iv	D major
Haydn, Franz Joseph	Symphony 104	1	271	viio43	D major
Haydn, Franz Joseph	Symphony 104	1	273	iv	D major
Haydn, Franz Joseph	Symphony 104	1	273	viio43	D major
