COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Haydn, Franz Joseph	Symphony 104	1	54	viio43/ii	A major
Haydn, Franz Joseph	Symphony 104	1	55	viio43/ii	A major
Haydn, Franz Joseph	Symphony 104	1	56	V65/V	A major
Haydn, Franz Joseph	Symphony 104	1	77	V7/V	A major
Haydn, Franz Joseph	Symphony 104	1	91	V65/V	A major
Haydn, Franz Joseph	Symphony 104	1	108	V7/vi	A major
Haydn, Franz Joseph	Symphony 104	1	110	V7/V	A major
Haydn, Franz Joseph	Symphony 104	1	136	viio7/V	E minor
Haydn, Franz Joseph	Symphony 104	1	177	viio7/V	B minor
Haydn, Franz Joseph	Symphony 104	1	183	V65/ii	D major
Haydn, Franz Joseph	Symphony 104	1	184	viio/V	D major
Haydn, Franz Joseph	Symphony 104	1	204	viio6/V	D major
Haydn, Franz Joseph	Symphony 104	1	225	V7/V	D major
Haydn, Franz Joseph	Symphony 104	1	238	viio65/ii	D major
Haydn, Franz Joseph	Symphony 104	1	239	viio65/ii	D major
Haydn, Franz Joseph	Symphony 104	1	254	viio43/V	D major
