mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	2	1	C.I6{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
2	1	0	0	2/4	2	1	vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
2	1	1/4	1/4	2/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	2	0	0	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1
3	2	1/4	1/4	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	2/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	1/4	1/4	2/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	3	3/8	3/8	2/4	2	1	ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
5	4	0	0	2/4	2	1	V}	C	I		V		V						}	M	0	0	1, 5, 2		1	1
5	4	1/4	1/4	2/4	2	1	I6{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
6	5	0	0	2/4	2	1	vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
6	5	1/4	1/4	2/4	2	1	ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	0	0	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1
7	6	1/4	1/4	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
8	7	0	0	2/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	1/4	1/4	2/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	3/8	3/8	2/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	2/4	2	1	I}	C	I		I		I						}	M	0	0	0, 4, 1		0	0
9	8	1/4	1/4	2/4	2	1	V.IV{	C	V		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
10	9	0	0	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	1/4	1/4	2/4	2	1	V6	C	V		V6		V		6					M	0	0	5, 2, 1		1	5
