mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	4	1		D.I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	0	0	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	2/4	4	1		V7/IV		D	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	7	0	0	2/4	4	1		iv[iv		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
7	7	3/8	3/8	2/4	4	1		#viio6/iv		D	I	iv	#viio6/iv		#vii	o	6		iv			o	0	0	1, -2, 4		4	1
8	8	0	0	2/4	4	1		iv]		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
8	8	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
9	9	1/4	1/4	2/4	4	1		viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
9	9	3/8	3/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
10	10	0	0	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/4	1/4	2/4	4	1		#io		D	I		#io		#i	o						o	0	0	7, 4, 1		7	7
10	10	3/8	3/8	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	2/4	4	1		viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
12	12	1/4	1/4	2/4	4	1		V\\		D	I		V		V						\\	M	0	0	1, 5, 2		1	1
13	13	0	0	2/4	4	1		V(b9)		D	I		V(b9)		V			b9				M	0	0	1, 5, 2	-4	1	1
13	13	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
14	14	0	0	2/4	4	1		I64(b6)		D	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
14	14	1/4	1/4	2/4	4	1		I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
14	14	3/8	3/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	2/4	4	1		V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
16	16	0	0	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	0	0	2/4	4	1		V43(b9)		D	I		V43(b9)		V		43	b9				Mm7	0	0	2, -1, 1, 5	-4	1	2
18	18	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	18	1/4	1/4	2/4	4	1		V65(2)/ii		D	I		V65(2)/ii		V		65	2	ii			Mm7	0	0	7, 4, 1, -2		3	7
19	19	0	0	2/4	4	1		V65/ii		D	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
19	19	1/4	1/4	2/4	4	1		ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
20	20	0	0	2/4	4	1		V43(b2)		D	I		V43(b2)		V		43	b2				Mm7	0	0	2, -1, -4, 5		1	2
20	20	1/4	1/4	2/4	4	1		V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	0	0	2/4	4	1		IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
22	22	1/8	1/8	2/4	4	1		ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
22	22	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
23	23	0	0	2/4	4	1		I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
23	23	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
24	24	0	0	2/4	4	1		iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
24	24	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
25	25	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	3/8	3/8	2/4	4	1		IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	26	0	0	2/4	4	1		V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
27	27	0	0	2/4	4	1		I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
27	27	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
28	28	0	0	2/4	4	1		iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
28	28	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
29	29	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
29	29	3/8	3/8	2/4	4	1		IV64		D	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
30	30	0	0	2/4	4	1		V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
30	30	1/4	1/4	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	0	0	2/4	4	1		I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
31	31	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
31	31	3/8	3/8	2/4	4	1		IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
32	32	0	0	2/4	4	1		vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
32	32	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
33	33	0	0	2/4	4	1		I[I64		D	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
33	33	1/4	1/4	2/4	4	1		viio2		D	I	I	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
34	34	0	0	2/4	4	1		I64]\\		D	I	I	I64		I		64				\\	M	0	0	1, 0, 4		0	1
35	35	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
36	36	0	0	2/4	4	1		@none		D	I		@none		@none							m	0	0				
38	38	1/4	1/4	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
38	38	3/8	3/8	2/4	4	1		V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
39	39	1/4	1/4	2/4	4	1		viio(2)/V		D	I		viio(2)/V		vii	o		2	V			o	0	0	1, 3, 0		6	1
40	40	0	0	2/4	4	1		viio64/IV		D	I		viio64/IV		vii	o	64		IV			o	0	0	-2, 4, 1		4	-2
40	40	1/4	1/4	2/4	4	1		viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
41	41	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
41	41	1/4	1/4	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
42	42	1/4	1/4	2/4	4	1		#ivo2		D	I		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
43	43	0	0	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
43	43	1/8	1/8	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
43	43	1/4	1/4	2/4	4	1		viio64		D	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
43	43	3/8	3/8	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	0	0	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
44	44	1/4	1/4	2/4	4	1		viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
