mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	2	1	C.V{	C	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	1/4	1/4	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	0	0	2/4	2	1	viio	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
3	2	1/4	1/4	2/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	1/4	1/4	2/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	3/8	3/8	2/4	2	1	V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
5	4	0	0	2/4	2	1	V}	C	I		V		V						}	M	0	0	1, 5, 2		1	1
6	5	0	0	2/4	2	1	I6{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
6	5	1/4	1/4	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
7	6	0	0	2/4	2	1	viio	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	6	1/4	1/4	2/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
8	7	1/4	1/4	2/4	2	1	V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	8	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	1/4	1/4	2/4	2	1	V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	9	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
10	9	1/8	1/8	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	1/4	1/4	2/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	9	3/8	3/8	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1
11	10	0	0	2/4	2	1	I}	C	I		I		I						}	M	0	0	0, 4, 1		0	0
11	10	3/8	3/8	2/4	2	1	{	C	I										{		0	0				
12	11	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
13	12	0	0	2/4	2	1	V6	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
15	14	0	0	2/4	2	1	V.V43	C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	15	0	0	2/4	2	1	V7	C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	2/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
17	16	1/4	1/4	2/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
18	17	0	0	2/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	17	3/8	3/8	2/4	2	1	V65/V	C	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	18	0	0	2/4	2	1	V}	C	V		V		V						}	M	0	0	1, 5, 2		1	1
19	18	1/4	1/4	2/4	2	1	V2{	C	V		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
19	18	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
20	19	0	0	2/4	2	1	V64	C	V		V64		V		64					M	0	0	2, 1, 5		1	2
20	19	1/8	1/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
20	19	1/4	1/4	2/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	19	3/8	3/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
21	20	0	0	2/4	2	1	V}	C	V		V		V						}	M	0	0	1, 5, 2		1	1
21	20	1/4	1/4	2/4	2	1	V2{	C	V		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
21	20	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	21	0	0	2/4	2	1	V64	C	V		V64		V		64					M	0	0	2, 1, 5		1	2
22	21	1/8	1/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
22	21	1/4	1/4	2/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	21	3/8	3/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
23	22	0	0	2/4	2	1	V}	C	V		V		V						}	M	0	0	1, 5, 2		1	1
23	22	3/8	3/8	2/4	2	1	{	C	V										{		0	0				
25	24	0	0	2/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
25	24	1/4	1/4	2/4	2	1	viio6/V	C	V		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
25	24	3/8	3/8	2/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
26	25	0	0	2/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
27	26	0	0	2/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
27	26	1/4	1/4	2/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
27	26	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
29	28	0	0	2/4	2	1	ii	C	V		ii		ii							m	0	0	2, -1, 3		2	2
29	28	1/4	1/4	2/4	2	1	viio6	C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	28	3/8	3/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
30	29	0	0	2/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
30	29	1/4	1/4	2/4	2	1	viio/V	C	V		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
31	30	0	0	2/4	2	1	V}	C	V		V		V						}	M	0	0	1, 5, 2		1	1
31	30	3/8	3/8	2/4	2	1	i	C	V		i		i							m	0	0	0, -3, 1		0	0
32	31	0	0	2/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
32	31	3/8	3/8	2/4	2	1	i	C	V		i		i							m	0	0	0, -3, 1		0	0
33	32	0	0	2/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
33	32	1/8	1/8	2/4	2	1	{	C	V										{		0	0				
34	33	0	0	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
34	33	1/8	1/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
34	33	1/4	1/4	2/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
34	33	3/8	3/8	2/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
35	34	0	0	2/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
35	34	1/8	1/8	2/4	2	1	IV6	C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
35	34	1/4	1/4	2/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
35	34	3/8	3/8	2/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
36	35	0	0	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
36	35	1/8	1/8	2/4	2	1	viio6	C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
36	35	1/4	1/4	2/4	2	1	vi6	C	V		vi6		vi		6					m	0	0	0, 4, 3		3	0
36	35	3/8	3/8	2/4	2	1	V6	C	V		V6		V		6					M	0	0	5, 2, 1		1	5
37	36	0	0	2/4	2	1	IV6	C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
37	36	1/8	1/8	2/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
37	36	1/4	1/4	2/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
37	36	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
38	37	0	0	2/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
38	37	1/4	1/4	2/4	2	1	V(64)	C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	37	3/8	3/8	2/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
39	38	0	0	2/4	2	1	I}	C	V		I		I						}	M	0	0	0, 4, 1		0	0
39	38	1/4	1/4	2/4	2	1	IV6{	C	V		IV6		IV		6				{	M	0	0	3, 0, -1		-1	3
40	39	0	0	2/4	2	1	I64	C	V		I64		I		64					M	0	0	1, 0, 4		0	1
40	39	1/4	1/4	2/4	2	1	ii65	C	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
41	40	0	0	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
41	40	1/4	1/4	2/4	2	1	IV6	C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
42	41	0	0	2/4	2	1	I64	C	V		I64		I		64					M	0	0	1, 0, 4		0	1
