mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	4	1		G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	0	0	3/8	4	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	0	0	3/8	4	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	3/8	4	1		V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
4	4	1/8	1/8	3/8	4	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	0	0	3/8	4	1		vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
7	7	0	0	3/8	4	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/8	1/8	3/8	4	1		ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	1/4	1/4	3/8	4	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	1/8	1/8	3/8	4	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	9	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
9	9	1/8	1/8	3/8	4	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	1/4	1/4	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
10	10	0	0	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	11	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
12	12	0	0	3/8	4	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
12	12	1/4	1/4	3/8	4	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	13	0	0	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	1/8	1/8	3/8	4	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	1/4	1/4	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
14	14	0	0	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	1/8	1/8	3/8	4	1		vi7	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
14	14	1/4	1/4	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
15	15	1/8	1/8	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	1/4	1/4	3/8	4	1		viio6/V	G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
16	16	0	0	3/8	4	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
16	16	1/8	1/8	3/8	4	1		viio/V	G	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
16	16	1/4	1/4	3/8	4	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	0	0	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	1/4	1/4	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
18	18	0	0	3/8	4	1		vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
19	19	0	0	3/8	4	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	19	1/8	1/8	3/8	4	1		ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	19	1/4	1/4	3/8	4	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	0	0	3/8	4	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
20	20	1/8	1/8	3/8	4	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
21	21	1/8	1/8	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	1/4	1/4	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
22	22	0	0	3/8	4	1		vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
23	23	0	0	3/8	4	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	23	1/4	1/4	3/8	4	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	1/8	1/8	3/8	4	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
25	25	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
26	26	0	0	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
26	26	1/8	1/8	3/8	4	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
27	27	0	0	3/8	4	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
28	28	0	0	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	28	1/4	1/4	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	29	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
30	30	0	0	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
30	30	3/16	3/16	3/8	4	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
31	31	0	0	3/8	4	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
32	32	0	0	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	1/8	1/8	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
33	33	1/4	1/4	3/8	4	1		IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	34	0	0	3/8	4	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
34	34	1/4	1/4	3/8	4	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
35	35	1/4	1/4	3/8	4	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	36	0	0	3/8	4	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	36	3/16	3/16	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
36	36	1/4	1/4	3/8	4	1		vi6	G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
37	37	0	0	3/8	4	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
38	38	0	0	3/8	4	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
38	38	1/4	1/4	3/8	4	1		V6/V	G	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
39	39	0	0	3/8	4	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	40	0	0	3/8	4	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
40	40	1/4	1/4	3/8	4	1		V2/IV	G	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
41	41	0	0	3/8	4	1		IV.I	G	IV		I	I							M	0	0	0, 4, 1		0	0
42	42	0	0	3/8	4	1		V43	G	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
43	43	0	0	3/8	4	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	1/8	1/8	3/8	4	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
46	46	0	0	3/8	4	1		V43	G	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
47	47	0	0	3/8	4	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	0	0	3/8	4	1		I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
49	49	0	0	3/8	4	1		I(4)	G	IV		I(4)	I			4				M	0	0	0, -1, 1		0	0
49	49	1/8	1/8	3/8	4	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
50	50	0	0	3/8	4	1		V6	G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
50	50	3/16	3/16	3/8	4	1		V	G	IV		V	V							M	0	0	1, 5, 2		1	1
51	51	3/16	3/16	3/8	4	1		V2	G	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
51	51	1/4	1/4	3/8	4	1		I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	5/16	5/16	3/8	4	1		V2	G	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
52	52	0	0	3/8	4	1		I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
52	52	1/8	1/8	3/8	4	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
53	53	0	0	3/8	4	1		I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
53	53	1/4	1/4	3/8	4	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
54	54	0	0	3/8	4	1		V6	G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
55	55	0	0	3/8	4	1		V	G	IV		V	V							M	0	0	1, 5, 2		1	1
56	56	0	0	3/8	4	1		I\\	G	IV		I	I						\\	M	0	0	0, 4, 1		0	0
56	56	1/8	1/8	3/8	4	1		viio64	G	IV		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
56	56	3/16	3/16	3/8	4	1		I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
56	56	1/4	1/4	3/8	4	1		viio	G	IV		viio	vii	o						o	0	0	5, 2, -1		5	5
56	56	5/16	5/16	3/8	4	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
57	57	1/8	1/8	3/8	4	1		V6/vi	G	IV		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
58	58	0	0	3/8	4	1		vi	G	IV		vi	vi							m	0	0	3, 0, 4		3	3
59	59	0	0	3/8	4	1		V7/iii	G	IV		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
59	59	1/8	1/8	3/8	4	1		V(64)/iii	G	IV		V(64)/iii	V			64	iii			M	0	0	5, 4, 1		5	5
59	59	1/4	1/4	3/8	4	1		V7/iii	G	IV		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
60	60	0	0	3/8	4	1		V7/iii	G	IV		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
60	60	1/8	1/8	3/8	4	1		iii	G	IV		iii	iii							m	0	0	4, 1, 5		4	4
61	61	0	0	3/8	4	1		V65/vi	G	IV		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
61	61	1/8	1/8	3/8	4	1		vi	G	IV		vi	vi							m	0	0	3, 0, 4		3	3
61	61	1/4	1/4	3/8	4	1		V43/vi	G	IV		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
62	62	0	0	3/8	4	1		vi	G	IV		vi	vi							m	0	0	3, 0, 4		3	3
62	62	1/4	1/4	3/8	4	1		vi6	G	IV		vi6	vi		6					m	0	0	0, 4, 3		3	0
63	63	0	0	3/8	4	1		vi.i6	G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
63	63	1/8	1/8	3/8	4	1		V64	G	vi		V64	V		64					M	0	1	2, 1, 5		1	2
63	63	1/4	1/4	3/8	4	1		V7/V	G	vi		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
64	64	1/8	1/8	3/8	4	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
64	64	1/4	1/4	3/8	4	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
65	65	0	0	3/8	4	1		VI	G	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
65	65	1/8	1/8	3/8	4	1		V6/iv	G	vi		V6/iv	V		6		iv			M	0	1	4, 1, 0		0	4
66	66	0	0	3/8	4	1		iv	G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
66	66	1/4	1/4	3/8	4	1		iv6	G	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
67	67	0	0	3/8	4	1		V7	G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
67	67	1/8	1/8	3/8	4	1		V(64)	G	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
67	67	1/4	1/4	3/8	4	1		V7	G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
68	68	1/8	1/8	3/8	4	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
69	69	0	0	3/8	4	1		V7/iv	G	vi		V7/iv	V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
70	70	0	0	3/8	4	1		iv6(9)	G	vi		iv6(9)	iv		6	9				m	0	1	-4, 0, -1	1	-1	-4
70	70	1/8	1/8	3/8	4	1		iv6	G	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
71	71	0	0	3/8	4	1		i6	G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
71	71	1/8	1/8	3/8	4	1		V(64)/V	G	vi		V(64)/V	V			64	V			M	0	1	2, 1, 5		2	2
71	71	1/4	1/4	3/8	4	1		V7/V	G	vi		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
72	72	1/8	1/8	3/8	4	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
72	72	1/4	1/4	3/8	4	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
73	73	0	0	3/8	4	1		V43	G	vi		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
73	73	1/8	1/8	3/8	4	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
73	73	1/4	1/4	3/8	4	1		V6	G	vi		V6	V		6					M	0	1	5, 2, 1		1	5
74	74	0	0	3/8	4	1		V2	G	vi		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
74	74	1/8	1/8	3/8	4	1		i64	G	vi		i64	i		64					m	0	1	1, 0, -3		0	1
74	74	1/4	1/4	3/8	4	1		i6	G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
75	75	0	0	3/8	4	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
75	75	1/8	1/8	3/8	4	1		V(64)	G	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
75	75	1/4	1/4	3/8	4	1		V7	G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
76	76	1/8	1/8	3/8	4	1		i\\	G	vi		i	i						\\	m	0	1	0, -3, 1		0	0
77	77	0	0	3/8	4	1		V65	G	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
77	77	1/8	1/8	3/8	4	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
