key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.078, 0.154, 0.0, 0.064, 0.023, 0.283, 0.098, 0.0, 0.0, 0.039, 0.26]	0.0	46.0	46.0	1	24	23
a minor	[0.0, 0.13, 0.092, 0.0, 0.167, 0.147, 0.019, 0.019, 0.092, 0.148, 0.038, 0.147]	46.0	56.0	10.0	24	29	5
c minor	[0.039, 0.0, 0.25, 0.097, 0.0, 0.095, 0.019, 0.327, 0.0, 0.019, 0.0, 0.154]	56.0	60.0	4.0	29	31	2
C major	[0.203, 0.0, 0.054, 0.0, 0.27, 0.027, 0.0, 0.392, 0.0, 0.0, 0.0, 0.054]	60.0	63.5	3.5	31	32	1
b minor	[0.0, 0.03, 0.188, 0.0, 0.03, 0.059, 0.356, 0.079, 0.0, 0.0, 0.02, 0.238]	63.5	70.0	6.5	32	36	4
g minor	[0.103, 0.0, 0.103, 0.205, 0.0, 0.0, 0.103, 0.154, 0.0, 0.205, 0.0, 0.128]	70.0	74.0	4.0	36	38	2
a minor	[0.0, 0.131, 0.087, 0.0, 0.203, 0.115, 0.029, 0.029, 0.087, 0.145, 0.059, 0.115]	74.0	80.0	6.0	38	41	3
c minor	[0.039, 0.0, 0.25, 0.097, 0.0, 0.095, 0.019, 0.327, 0.0, 0.019, 0.0, 0.154]	80.0	84.0	4.0	41	43	2
C major	[0.203, 0.0, 0.054, 0.0, 0.27, 0.027, 0.0, 0.392, 0.0, 0.0, 0.0, 0.054]	84.0	87.5	3.5	43	44	1
b minor	[0.0, 0.023, 0.198, 0.0, 0.023, 0.015, 0.366, 0.031, 0.0, 0.0, 0.015, 0.328]	87.5	96.0	8.5	44	48	4
