key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B- major	[0.076, 0.0, 0.171, 0.041, 0.012, 0.266, 0.0, 0.042, 0.0, 0.054, 0.338, 0.0]	0.0	76.0	76.0	1	20	19
g minor	[0.079, 0.0, 0.329, 0.006, 0.0, 0.0, 0.057, 0.206, 0.0, 0.111, 0.212, 0.0]	76.0	92.0	4.0	20	24	4
F major	[0.225, 0.0, 0.094, 0.03, 0.06, 0.157, 0.0, 0.3, 0.0, 0.045, 0.037, 0.052]	92.0	104.0	2.0	24	27	3
g minor	[0.101, 0.0, 0.339, 0.024, 0.0, 0.0, 0.073, 0.157, 0.0, 0.109, 0.198, 0.0]	104.0	116.0	4.0	27	30	3
F major	[0.234, 0.0, 0.062, 0.0, 0.039, 0.305, 0.0, 0.086, 0.0, 0.195, 0.062, 0.016]	116.0	130.0	2.0	30	33	3
b- minor	[0.062, 0.125, 0.0, 0.125, 0.0, 0.25, 0.0, 0.0, 0.0, 0.188, 0.25, 0.0]	130.0	134.0	2.0	33	34	1
D- major	[0.085, 0.261, 0.0, 0.106, 0.0, 0.122, 0.176, 0.0, 0.138, 0.021, 0.09, 0.0]	134.0	152.0	2.0	34	39	5
b- minor	[0.171, 0.0, 0.0, 0.074, 0.111, 0.259, 0.111, 0.0, 0.0, 0.148, 0.125, 0.0]	152.0	164.0	2.0	39	42	3
B- major	[0.042, 0.0, 0.178, 0.045, 0.0, 0.261, 0.0, 0.045, 0.0, 0.05, 0.38, 0.0]	164.0	204.0	4.0	42	52	10
g minor	[0.109, 0.0, 0.374, 0.074, 0.0, 0.0, 0.114, 0.114, 0.0, 0.114, 0.1, 0.0]	204.0	212.0	2.0	52	54	2
c minor	[0.163, 0.0, 0.081, 0.195, 0.0, 0.089, 0.0, 0.211, 0.13, 0.0, 0.0, 0.13]	212.0	220.0	2.0	54	56	2
A- major	[0.21, 0.0, 0.03, 0.323, 0.0, 0.007, 0.0, 0.046, 0.359, 0.0, 0.024, 0.0]	220.0	248.0	4.0	56	63	7
a- minor	[0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.013, 0.388, 0.0, 0.013, 0.287]	248.0	252.0	2.0	63	64	1
C- major	[0.056, 0.069, 0.0, 0.012, 0.306, 0.0, 0.065, 0.0, 0.194, 0.0, 0.065, 0.234]	252.0	262.0	4.0	64	66	2
B- major	[0.056, 0.028, 0.125, 0.097, 0.028, 0.299, 0.028, 0.0, 0.0, 0.069, 0.271, 0.0]	262.0	276.0	2.0	66	70	4
g minor	[0.0, 0.0, 0.111, 0.222, 0.0, 0.0, 0.014, 0.431, 0.0, 0.014, 0.208, 0.0]	276.0	280.0	2.0	70	71	1
a- minor	[0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.013, 0.388, 0.0, 0.013, 0.287]	280.0	284.0	2.0	71	72	1
C- major	[0.056, 0.069, 0.0, 0.012, 0.306, 0.0, 0.065, 0.0, 0.194, 0.0, 0.065, 0.234]	284.0	294.0	4.0	72	74	2
B- major	[0.058, 0.038, 0.116, 0.079, 0.014, 0.311, 0.014, 0.002, 0.0, 0.068, 0.3, 0.0]	294.0	324.0	2.0	74	81	7
