COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	11	IV6	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	15	IV6	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	23	IV6	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	27	IV6	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	30	I6	B minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	31	I6	A minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	47	vib7	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	51	vib7	E minor
Purcell, Henry	 	Chacony Z730	14	IV	G minor
Purcell, Henry	 	Chacony Z730	32	I	G minor
Purcell, Henry	 	Chacony Z730	38	ii65	G minor
Purcell, Henry	 	Chacony Z730	48	I6	G minor
Purcell, Henry	 	Chacony Z730	53	I	D minor
Purcell, Henry	 	Sonata Z807	10	ii6	G minor
Purcell, Henry	 	Sonata Z807	16	I	G minor
Purcell, Henry	 	Sonata Z807	35	ii65	G minor
Purcell, Henry	 	Sonata Z807	60	ii6	G minor
Purcell, Henry	 	Sonata Z807	70	IV7	G minor
Purcell, Henry	 	Sonata Z807	92	IV	C minor
Purcell, Henry	 	Sonata Z807	94	IV	G minor
Purcell, Henry	 	Sonata Z807	95	IV	G minor
Purcell, Henry	 	Sonata Z807	105	ii65	G minor
Purcell, Henry	 	Sonata Z807	130	ii	C minor
Purcell, Henry	 	Sonata Z807	140	IV	G minor
Purcell, Henry	 	Sonata Z807	141	I	G minor
Purcell, Henry	 	Sonata Z807	145	IV	G minor
Purcell, Henry	 	Sonata Z807	190	IV	G minor
Purcell, Henry	 	Sonata Z807	191	I	G minor
Purcell, Henry	 	Sonata Z807	194	#iii6	G minor
Purcell, Henry	 	Sonata Z807	195	ii65	G minor
Purcell, Henry	 	Sonata Z807	203	IV63	G minor
Purcell, Henry	 	Sonata Z807	204	IV7	G minor
Purcell, Henry	 	Sonata Z807	210	IV	G minor
